,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
152,2019,13094,6211,Mehdi Leris,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,2019,13107,6211,Mehdi Leris,a,FWL,22.0,0.0,0.0,1.0,0.0,0.0,0.0173104796558618,0.0165731366723775,0.0,0.0685045756399631,0.0
612,2019,13114,6211,Mehdi Leris,a,Sub,70.0,0.0,0.0,1.0,0.0,0.0,0.0173104796558618,0.1486128028482197,0.0,0.2005442418158053,0.0
2337,2019,13170,6211,Mehdi Leris,a,MR,92.0,0.0,0.0,2.0,0.0,0.0,0.0242847292684018,0.1486128028482197,0.0,0.2214669906534253,0.0
2663,2019,13186,6211,Mehdi Leris,h,Sub,139.0,0.0,0.0,2.0,0.0,0.0,0.0242847292684018,0.1486128028482197,0.0,0.2214669906534253,0.0
4114,2019,13234,6211,Mehdi Leris,h,Sub,159.0,0.0,0.0,4.0,0.0,0.0,0.0824257410131394,0.1796707417815921,0.0,0.4269479648210106,0.0
4449,2019,13255,6211,Mehdi Leris,h,Sub,189.0,0.0,0.0,4.0,0.0,0.0,0.0824257410131394,0.1796707417815921,0.0,0.4269479648210106,0.0
7243,2019,13334,6211,Mehdi Leris,a,Sub,225.0,0.0,0.0,4.0,0.0,0.0,0.0824257410131394,0.1796707417815921,0.0,0.4269479648210106,0.0
7554,2019,13355,6211,Mehdi Leris,a,Sub,246.0,0.0,0.0,5.0,0.0,0.0,0.1174788563512264,0.1796707417815921,0.0,0.5321073108352719,0.0
7758,2019,13366,6211,Mehdi Leris,h,Sub,272.0,0.0,0.0,6.0,0.0,0.0,0.1503455392085014,0.1796707417815921,0.0,0.6307073594070969,0.0
8120,2019,13377,6211,Mehdi Leris,a,Sub,281.0,0.0,0.0,7.0,0.0,0.0,0.1834488115273414,0.27078042738139596,0.0,0.8211268619634209,0.0
8353,2019,13382,6211,Mehdi Leris,h,Sub,285.0,0.0,0.0,7.0,0.0,0.0,0.1834488115273414,0.27078042738139596,0.0,0.8211268619634209,0.0
10331,2019,13442,6211,Mehdi Leris,a,Sub,303.0,0.0,0.0,7.0,0.0,0.0,0.1834488115273414,0.27078042738139596,0.0,0.8211268619634209,0.0
10503,2019,13456,6211,Mehdi Leris,h,Sub,372.0,0.0,0.0,8.0,0.0,0.0,0.277514604385942,0.5814166199415919,0.0,1.4139604330994187,0.0
10666,2019,13465,6211,Mehdi Leris,a,ML,410.0,0.0,1.0,11.0,0.0,0.0,0.7012039995752273,1.107779754325747,1.0,3.21139175305143,1.0
