,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1183,2019,13136,1425,Nikola Kalinic,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,2019,13156,1425,Nikola Kalinic,h,Sub,13.0,0.0,0.0,1.0,0.0,0.0,0.3237214684486389,0.0649664923548698,0.0,1.0361308977007866,0.0
2090,2019,13166,1425,Nikola Kalinic,a,FW,24.0,0.0,0.0,2.0,0.0,0.0,0.38227434456348414,0.0649664923548698,0.0,1.2117895260453224,0.0
4364,2019,13248,1425,Nikola Kalinic,h,Sub,70.0,0.0,0.0,2.0,0.0,0.0,0.38227434456348414,0.0649664923548698,0.0,1.2117895260453224,0.0
4811,2019,13267,1425,Nikola Kalinic,h,Sub,71.0,0.0,0.0,2.0,0.0,0.0,0.38227434456348414,0.0649664923548698,0.0,1.2117895260453224,0.0
5226,2019,13275,1425,Nikola Kalinic,h,Sub,86.0,0.0,0.0,4.0,0.0,0.0,0.7315918654203415,0.0649664923548698,0.0,2.2597420886158943,0.0
6142,2019,13315,1425,Nikola Kalinic,h,Sub,90.0,0.0,0.0,4.0,1.0,0.0,0.7315918654203415,0.0649664923548698,-0.5,1.7597420886158943,-0.5
6835,2019,13335,1425,Nikola Kalinic,h,Sub,100.0,0.0,0.0,4.0,1.0,0.0,0.7315918654203415,0.0649664923548698,-0.5,1.7597420886158943,0.0
6957,2019,13339,1425,Nikola Kalinic,a,FW,107.0,0.0,0.0,4.0,1.0,0.0,0.7315918654203415,0.1348774433135985,-0.5,1.829653039574623,0.0
7537,2019,13355,1425,Nikola Kalinic,h,Sub,197.0,2.0,1.0,8.0,1.0,0.0,2.134737178683281,0.510895788669586,6.5,6.415107324719429,7.0
7708,2019,13363,1425,Nikola Kalinic,a,Sub,201.0,2.0,1.0,8.0,1.0,0.0,2.134737178683281,0.510895788669586,6.5,6.415107324719429,0.0
8164,2019,13376,1425,Nikola Kalinic,h,FW,219.0,2.0,1.0,8.0,1.0,0.0,2.134737178683281,0.510895788669586,6.5,6.415107324719429,0.0
8864,2019,13407,1425,Nikola Kalinic,a,FW,293.0,2.0,1.0,10.0,1.0,0.0,2.2734149992465973,0.5432965531945225,6.5,6.863541550934315,0.0
9940,2019,13436,1425,Nikola Kalinic,a,FW,371.0,3.0,1.0,15.0,1.0,0.0,3.7963970005512238,0.5692759975790973,9.5,11.458466999232769,3.0
10796,2019,13467,1425,Nikola Kalinic,a,FW,461.0,4.0,1.0,16.0,1.0,0.0,4.39940145611763,0.5692759975790973,12.5,13.267480365931988,3.0
