,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
115,2019,13094,7096,Omar Colley,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,2019,13107,7096,Omar Colley,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,2019,13126,7096,Omar Colley,h,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0799233764410018,0.0,0.0,-0.2602298706769943,0.0
1007,2019,13130,7096,Omar Colley,a,DC,270.0,0.0,0.0,2.0,1.0,0.0,0.09598172828555089,0.0,0.0,-0.21205481514334681,0.0
1186,2019,13146,7096,Omar Colley,h,DC,360.0,0.0,0.0,2.0,1.0,0.0,0.09598172828555089,0.0,0.0,-0.21205481514334681,0.0
1725,2019,13166,7096,Omar Colley,h,DC,450.0,0.0,0.0,3.0,1.0,0.0,0.1568085476756094,0.0,0.0,-0.029574356973171317,0.0
1954,2019,13170,7096,Omar Colley,a,DC,540.0,0.0,0.0,3.0,1.0,0.0,0.1568085476756094,0.0,0.0,-0.029574356973171317,0.0
2224,2019,13186,7096,Omar Colley,h,DC,630.0,0.0,0.0,3.0,2.0,0.0,0.1568085476756094,0.0285508390516042,0.0,-0.501023517921567,0.0
2540,2019,13197,7096,Omar Colley,a,DC,720.0,0.0,0.0,4.0,2.0,0.0,0.2055475525557992,0.0285508390516042,0.0,-0.3548065032809973,0.0
2691,2019,13206,7096,Omar Colley,h,DC,810.0,0.0,0.0,5.0,2.0,0.0,0.2452907711267468,0.0285508390516042,0.0,-0.2355768475681544,0.0
2951,2019,13215,7096,Omar Colley,h,DC,900.0,0.0,0.0,5.0,2.0,0.0,0.2452907711267468,0.1186677571386098,0.0,-0.14545992948114878,0.0
3241,2019,13220,7096,Omar Colley,a,DC,990.0,0.0,0.0,5.0,2.0,0.0,0.2452907711267468,0.1186677571386098,0.0,-0.14545992948114878,0.0
3438,2019,13234,7096,Omar Colley,h,DC,1080.0,0.0,0.0,5.0,3.0,0.0,0.2452907711267468,0.1186677571386098,0.0,-0.6454599294811487,0.0
3544,2019,13243,7096,Omar Colley,a,DC,1170.0,0.0,0.0,8.0,3.0,0.0,0.7166205793619151,0.1186677571386098,0.0,0.7685294952243567,0.0
3713,2019,13255,7096,Omar Colley,h,DC,1260.0,0.0,0.0,8.0,4.0,0.0,0.7166205793619151,0.1186677571386098,0.0,0.26852949522435665,0.0
4113,2019,13265,7096,Omar Colley,a,DC,1350.0,0.0,0.0,8.0,4.0,0.0,0.7166205793619151,0.1186677571386098,0.0,0.26852949522435665,0.0
4407,2019,13284,7096,Omar Colley,a,DC,1440.0,0.0,0.0,8.0,5.0,0.0,0.7166205793619151,0.1186677571386098,0.0,-0.23147050477564335,0.0
4765,2019,13295,7096,Omar Colley,h,DC,1530.0,0.0,0.0,9.0,6.0,0.0,0.7306507918983693,0.1438867282122372,0.0,-0.6641608960926533,0.0
5067,2019,13306,7096,Omar Colley,h,DC,1620.0,0.0,0.0,10.0,7.0,0.0,0.7605014387518162,0.18520862795412518,0.0,-1.0332870557904243,0.0
5168,2019,13317,7096,Omar Colley,a,DC,1710.0,0.0,0.0,11.0,7.0,0.0,0.7764387317001814,0.18520862795412518,0.0,-0.9854751769453287,0.0
5453,2019,13326,7096,Omar Colley,h,DC,1800.0,0.0,0.0,11.0,8.0,0.0,0.7764387317001814,0.18520862795412518,0.0,-1.4854751769453287,0.0
6030,2019,13334,7096,Omar Colley,a,DC,1890.0,0.0,1.0,13.0,9.0,0.0,1.682415802031755,0.7068587038666008,1.0,1.2541061099618673,1.0
6446,2019,13366,7096,Omar Colley,h,DC,1980.0,0.0,1.0,15.0,9.0,0.0,1.9339718408882614,0.7068587038666008,1.0,2.0087742265313864,0.0
6746,2019,13377,7096,Omar Colley,a,DC,2070.0,0.0,1.0,18.0,9.0,0.0,2.1706932373344894,0.7231710590422151,1.0,2.735250771045685,0.0
6933,2019,13382,7096,Omar Colley,h,DC,2160.0,0.0,1.0,18.0,9.0,0.0,2.1706932373344894,0.7231710590422151,1.0,2.735250771045685,0.0
7180,2019,13389,7096,Omar Colley,a,DC,2250.0,0.0,1.0,19.0,9.0,0.0,2.2245762199163432,0.7231710590422151,1.0,2.8968997187912464,0.0
7424,2019,13399,7096,Omar Colley,a,DC,2340.0,0.0,1.0,19.0,9.0,0.0,2.2245762199163432,0.7231710590422151,1.0,2.8968997187912464,0.0
7588,2019,13414,7096,Omar Colley,h,DC,2430.0,0.0,1.0,19.0,9.0,0.0,2.2245762199163432,0.7231710590422151,1.0,2.8968997187912464,0.0
8199,2019,13434,7096,Omar Colley,h,DC,2520.0,0.0,1.0,19.0,9.0,0.0,2.2245762199163432,0.7231710590422151,1.0,2.8968997187912464,0.0
8690,2019,13456,7096,Omar Colley,h,DC,2610.0,0.0,1.0,21.0,10.0,0.0,2.293689407408237,0.7359273852780458,1.0,2.6169956075027585,0.0
8834,2019,13465,7096,Omar Colley,a,Sub,2700.0,0.0,1.0,22.0,10.0,0.0,2.758498109877109,0.7359273852780458,1.0,4.011421714909375,0.0
