,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1631,2019,13143,1311,Rade Krunic,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,2019,13163,1311,Rade Krunic,h,Sub,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2994,2019,13195,1311,Rade Krunic,h,MC,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784965828061103,0.0,0.0784965828061103,0.0
3315,2019,13202,1311,Rade Krunic,a,MC,151.0,0.0,0.0,1.0,1.0,0.0,0.0215747747570276,0.0784965828061103,-0.5,-0.35677909292280685,-0.5
3357,2019,13213,1311,Rade Krunic,h,MC,212.0,0.0,0.0,1.0,2.0,0.0,0.0215747747570276,0.0784965828061103,-1.0,-0.8567790929228069,-0.5
3795,2019,13228,1311,Rade Krunic,a,Sub,302.0,0.0,1.0,3.0,2.0,0.0,0.0979314614087343,0.4091719761490821,0.0,-0.29703363962471496,1.0
4919,2019,13265,1311,Rade Krunic,h,MC,320.0,0.0,1.0,3.0,2.0,0.0,0.0979314614087343,0.44192388653755166,0.0,-0.2642817292362454,0.0
5365,2019,13286,1311,Rade Krunic,h,Sub,408.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,0.44192388653755166,-0.5,0.31928305886685826,-0.5
5573,2019,13289,1311,Rade Krunic,a,Sub,421.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,0.44192388653755166,-0.5,0.31928305886685826,0.0
8272,2019,13379,1311,Rade Krunic,a,Sub,433.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,0.44192388653755166,-0.5,0.31928305886685826,0.0
8537,2019,13394,1311,Rade Krunic,h,Sub,450.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,1.0020721852779386,-0.5,0.8794313576072452,0.0
9080,2019,13401,1311,Rade Krunic,a,Sub,456.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,1.0020721852779386,-0.5,0.8794313576072452,0.0
9186,2019,13416,1311,Rade Krunic,h,Sub,457.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,1.0020721852779386,-0.5,0.8794313576072452,0.0
9500,2019,13424,1311,Rade Krunic,h,Sub,462.0,0.0,1.0,5.0,3.0,0.0,0.45911972410976876,1.0020721852779386,-0.5,0.8794313576072452,0.0
10045,2019,13440,1311,Rade Krunic,h,Sub,487.0,0.0,1.0,6.0,3.0,0.0,0.47976096346974356,1.0939853489398954,-0.5,1.0332682393491266,0.0
