,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
205,2019,13096,1642,Simone Zaza,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,2019,13118,1642,Simone Zaza,h,Sub,90.0,2.0,0.0,4.0,1.0,0.0,0.9206234216690063,0.0,5.5,2.261870265007019,5.5
1054,2019,13126,1642,Simone Zaza,a,FW,132.0,2.0,0.0,4.0,1.0,0.0,0.9206234216690063,0.0905090942978859,5.5,2.352379359304905,0.0
1376,2019,13138,1642,Simone Zaza,h,FW,222.0,2.0,0.0,6.0,2.0,0.0,1.0564989894628525,0.0905090942978859,5.0,2.2600060626864433,-0.5
1672,2019,13145,1642,Simone Zaza,a,Sub,312.0,2.0,0.0,7.0,3.0,0.0,1.169645942747593,0.0905090942978859,4.5,2.0994469225406647,-0.5
2120,2019,13168,1642,Simone Zaza,a,Sub,313.0,2.0,0.0,7.0,3.0,0.0,1.169645942747593,0.0905090942978859,4.5,2.0994469225406647,0.0
2415,2019,13178,1642,Simone Zaza,h,Sub,357.0,2.0,0.0,10.0,3.0,0.0,1.422161377966404,0.0905090942978859,4.5,2.856993228197098,0.0
2648,2019,13182,1642,Simone Zaza,a,FW,399.0,3.0,0.0,11.0,3.0,0.0,1.9620848670601845,0.0905090942978859,7.5,4.476763695478439,3.0
2831,2019,13198,1642,Simone Zaza,h,Sub,466.0,3.0,0.0,11.0,3.0,0.0,1.9620848670601845,0.0905090942978859,7.5,4.476763695478439,0.0
3391,2019,13218,1642,Simone Zaza,h,Sub,480.0,3.0,0.0,12.0,3.0,0.0,2.020524810999632,0.0905090942978859,7.5,4.6520835272967815,0.0
4083,2019,13237,1642,Simone Zaza,h,FW,558.0,3.0,0.0,13.0,3.0,0.0,2.040968634188175,0.0905090942978859,7.5,4.7134149968624115,0.0
4265,2019,13244,1642,Simone Zaza,a,FW,648.0,4.0,0.0,19.0,3.0,0.0,2.834502138197422,0.0905090942978859,10.5,7.094015508890152,3.0
4589,2019,13257,1642,Simone Zaza,h,Sub,738.0,4.0,0.0,22.0,3.0,0.0,3.05175768584013,0.4251025691628456,10.5,8.080375626683235,0.0
6684,2019,13325,1642,Simone Zaza,a,Sub,749.0,4.0,0.0,22.0,3.0,0.0,3.05175768584013,0.4251025691628456,10.5,8.080375626683235,0.0
6902,2019,13344,1642,Simone Zaza,a,FW,773.0,4.0,0.0,22.0,3.0,0.0,3.05175768584013,0.4251025691628456,10.5,8.080375626683235,0.0
7138,2019,13337,1642,Simone Zaza,h,FW,858.0,4.0,0.0,23.0,4.0,0.0,3.141566723585129,0.4251025691628456,10.0,7.849802739918232,-0.5
7446,2019,13357,1642,Simone Zaza,h,FW,948.0,4.0,0.0,26.0,4.0,0.0,3.7754691541194916,0.43973392341285944,10.0,9.766141385771334,0.0
8724,2019,13397,1642,Simone Zaza,h,FW,1027.0,4.0,0.0,26.0,4.0,0.0,3.7754691541194916,0.43973392341285944,10.0,9.766141385771334,0.0
9372,2019,13411,1642,Simone Zaza,h,FW,1117.0,5.0,0.0,31.0,5.0,0.0,4.389549940824509,0.603298575617373,12.5,11.271948398090899,2.5
9600,2019,13421,1642,Simone Zaza,a,FW,1207.0,5.0,0.0,31.0,6.0,0.0,4.389549940824509,0.603298575617373,12.0,10.771948398090899,-0.5
9955,2019,13437,1642,Simone Zaza,h,FW,1273.0,5.0,0.0,31.0,6.0,0.0,4.389549940824509,0.603298575617373,12.0,10.771948398090899,0.0
10239,2019,13445,1642,Simone Zaza,a,FW,1363.0,6.0,0.0,35.0,7.0,0.0,4.7006374299526215,0.603298575617373,14.5,11.205210865475237,2.5
10622,2019,13454,1642,Simone Zaza,h,FW,1453.0,6.0,0.0,42.0,7.0,0.0,5.253046482801437,0.6626306967809796,14.5,12.921770145185292,0.0
10890,2019,13463,1642,Simone Zaza,a,FW,1543.0,6.0,1.0,44.0,7.0,0.0,5.319612450897694,1.3826237516477704,15.5,13.841461104340851,1.0
