,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
83,2019,13092,7932,Stefano Denswil,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2019,13099,7932,Stefano Denswil,h,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
568,2019,13109,7932,Stefano Denswil,a,DC,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
811,2019,13120,7932,Stefano Denswil,h,DC,270.0,1.0,0.0,1.0,2.0,0.0,0.1714923083782196,0.0,3.0,-0.4855230748653412,3.0
1033,2019,13131,7932,Stefano Denswil,a,DC,360.0,1.0,0.0,1.0,2.0,0.0,0.1714923083782196,0.0,3.0,-0.4855230748653412,0.0
1316,2019,13148,7932,Stefano Denswil,a,DC,450.0,1.0,0.0,1.0,3.0,0.0,0.1714923083782196,0.0,3.0,-0.9855230748653412,0.0
2165,2019,13180,7932,Stefano Denswil,a,DC,540.0,1.0,0.0,2.0,3.0,0.0,0.1876755803823471,0.0,3.0,-0.9369732588529587,0.0
2860,2019,13210,7932,Stefano Denswil,h,DC,630.0,1.0,0.0,2.0,3.0,0.0,0.1876755803823471,0.0,3.0,-0.9369732588529587,0.0
3196,2019,13227,7932,Stefano Denswil,a,DL,720.0,1.0,0.0,2.0,3.0,0.0,0.1876755803823471,0.1301706284284591,3.0,-0.8068026304244995,0.0
3463,2019,13230,7932,Stefano Denswil,h,DL,810.0,1.0,0.0,2.0,4.0,0.0,0.1876755803823471,0.1301706284284591,3.0,-1.3068026304244995,0.0
3581,2019,13239,7932,Stefano Denswil,h,DL,900.0,1.0,0.0,2.0,4.0,0.0,0.1876755803823471,0.1301706284284591,3.0,-1.3068026304244995,0.0
3887,2019,13253,7932,Stefano Denswil,a,DL,990.0,1.0,0.0,2.0,4.0,0.0,0.1876755803823471,0.1301706284284591,3.0,-1.3068026304244995,0.0
4036,2019,13260,7932,Stefano Denswil,h,DL,1080.0,1.0,0.0,3.0,4.0,0.0,0.4367368221282959,0.16473939269781102,3.0,-0.5250501409173012,0.0
4860,2019,13300,7932,Stefano Denswil,h,DL,1157.0,1.0,0.0,3.0,4.0,0.0,0.4367368221282959,0.16473939269781102,3.0,-0.5250501409173012,0.0
5127,2019,13315,7932,Stefano Denswil,a,DL,1247.0,1.0,0.0,4.0,4.0,0.0,0.4470293959602713,0.25985465198755253,3.0,-0.3990571601316333,0.0
5366,2019,13320,7932,Stefano Denswil,h,DL,1337.0,1.0,1.0,4.0,4.0,0.0,0.4470293959602713,0.2928955443203447,4.0,-0.3660162677988411,1.0
5723,2019,13341,7932,Stefano Denswil,a,DC,1427.0,1.0,1.0,4.0,4.0,1.0,0.4470293959602713,0.3336285129189489,4.0,-0.8252832992002369,0.0
6091,2019,13350,7932,Stefano Denswil,h,DC,1517.0,1.0,1.0,6.0,4.0,1.0,1.035900398157537,0.3336285129189489,4.0,0.94132970739156,0.0
6896,2019,13387,7932,Stefano Denswil,a,DC,1607.0,1.0,1.0,6.0,4.0,1.0,1.035900398157537,0.3336285129189489,4.0,0.94132970739156,0.0
7190,2019,13390,7932,Stefano Denswil,h,DC,1697.0,1.0,1.0,7.0,4.0,1.0,1.049191502854228,0.3620297349989411,4.0,1.0096042435616255,0.0
7886,2019,13424,7932,Stefano Denswil,a,DC,1787.0,1.0,1.0,9.0,5.0,1.0,1.1209440436214209,0.3935878723859783,4.0,0.7564200032502413,0.0
8081,2019,13429,7932,Stefano Denswil,a,DC,1877.0,1.0,1.0,9.0,5.0,1.0,1.1209440436214209,0.3935878723859783,4.0,0.7564200032502413,0.0
8420,2019,13439,7932,Stefano Denswil,h,DC,1967.0,1.0,1.0,9.0,5.0,1.0,1.1209440436214209,0.4351209849119182,4.0,0.7979531157761812,0.0
8775,2019,13451,7932,Stefano Denswil,a,DL,2057.0,1.0,1.0,9.0,5.0,1.0,1.1209440436214209,0.4351209849119182,4.0,0.7979531157761812,0.0
8991,2019,13463,7932,Stefano Denswil,h,DL,2147.0,1.0,1.0,10.0,5.0,1.0,1.1779611725360155,0.4351209849119182,4.0,0.9690045025199652,0.0
