,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
239,2019,13097,1898,Stefano Sabelli,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,2019,13100,1898,Stefano Sabelli,a,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,2019,13109,1898,Stefano Sabelli,h,DR,180.0,0.0,0.0,2.0,0.0,0.0,0.0528757125139236,0.6377953290939331,0.0,0.796422466635704,0.0
878,2019,13128,1898,Stefano Sabelli,a,DR,270.0,0.0,0.0,2.0,0.0,0.0,0.0528757125139236,0.6377953290939331,0.0,0.796422466635704,0.0
1144,2019,13129,1898,Stefano Sabelli,h,DR,360.0,0.0,0.0,3.0,0.0,0.0,0.0703864321112632,0.6377953290939331,0.0,0.8489546254277228,0.0
1493,2019,13144,1898,Stefano Sabelli,a,DR,450.0,0.0,0.0,3.0,0.0,0.0,0.0703864321112632,0.6377953290939331,0.0,0.8489546254277228,0.0
2179,2019,13159,1898,Stefano Sabelli,h,DR,540.0,0.0,0.0,3.0,1.0,0.0,0.0703864321112632,0.7145009562373161,-0.5,0.42566025257110585,-0.5
2305,2019,13172,1898,Stefano Sabelli,a,DR,630.0,0.0,0.0,4.0,1.0,0.0,0.08388953842222681,0.7145009562373161,-0.5,0.4661695715039966,0.0
2514,2019,13179,1898,Stefano Sabelli,h,DR,720.0,0.0,0.0,4.0,1.0,0.0,0.08388953842222681,1.1024024412035942,-0.5,0.8540710564702747,0.0
2923,2019,13193,1898,Stefano Sabelli,a,MR,810.0,0.0,0.0,4.0,1.0,0.0,0.08388953842222681,1.1604426503181458,-0.5,0.9121112655848262,0.0
3072,2019,13199,1898,Stefano Sabelli,h,DR,900.0,0.0,0.0,4.0,1.0,0.0,0.08388953842222681,1.1604426503181458,-0.5,0.9121112655848262,0.0
