,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
19,2020,14116,1186,Andrea Belotti,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2020,14123,1186,Andrea Belotti,h,FW,90.0,0.0,0.0,2.0,0.0,0.0,0.0807496905326843,0.0,0.0,0.2422490715980529,0.0
860,2020,15462,1186,Andrea Belotti,h,FW,180.0,2.0,0.0,5.0,0.0,0.0,0.5625088214874266,0.0,6.0,1.6875264644622803,6.0
962,2020,15475,1186,Andrea Belotti,a,FW,270.0,4.0,0.0,10.0,0.0,0.0,1.496657907962799,0.0676217675209045,12.0,4.557595491409302,6.0
1327,2020,15483,1186,Andrea Belotti,h,FW,360.0,5.0,1.0,15.0,0.0,0.0,1.809664100408554,0.6124643683433533,16.0,6.0414566695690155,4.0
1468,2020,15448,1186,Andrea Belotti,a,FW,438.0,6.0,1.0,18.0,0.0,0.0,2.6815581619739532,1.292163610458374,19.0,9.336838096380234,3.0
1645,2020,15495,1186,Andrea Belotti,h,FW,528.0,6.0,1.0,20.0,0.0,0.0,2.8603474497795105,1.292163610458374,19.0,9.873205959796906,0.0
2162,2020,15515,1186,Andrea Belotti,h,FW,618.0,6.0,1.0,21.0,1.0,0.0,2.9185767993330956,1.374093919992447,19.0,9.629824317991734,0.0
2254,2020,15519,1186,Andrea Belotti,a,FW,708.0,7.0,1.0,24.0,1.0,0.0,3.654720090329647,1.6481026113033295,22.0,12.11226288229227,3.0
2480,2020,15535,1186,Andrea Belotti,h,FW,798.0,7.0,1.0,25.0,1.0,0.0,3.6962961107492447,2.210338979959488,22.0,12.799227312207222,0.0
2911,2020,15542,1186,Andrea Belotti,a,FW,888.0,8.0,2.0,27.0,1.0,0.0,4.367495968937874,2.5401112735271454,26.0,15.142599180340767,4.0
3000,2020,15555,1186,Andrea Belotti,h,FW,978.0,9.0,2.0,35.0,1.0,0.0,4.894878640770912,2.594841182231903,29.0,16.77947710454464,3.0
3310,2020,15560,1186,Andrea Belotti,a,FW,1068.0,9.0,2.0,41.0,1.0,0.0,5.589746072888374,2.7643703669309616,29.0,19.033608585596085,0.0
3560,2020,15573,1186,Andrea Belotti,a,FW,1158.0,9.0,2.0,45.0,1.0,0.0,5.759467288851738,2.817831490188837,29.0,19.59623335674405,0.0
3840,2020,15585,1186,Andrea Belotti,h,FW,1248.0,9.0,4.0,48.0,1.0,0.0,5.939835608005524,4.017835710197687,31.0,21.337342534214258,2.0
3978,2020,15590,1186,Andrea Belotti,a,FW,1338.0,9.0,4.0,53.0,2.0,0.0,6.098178938031197,4.017835710197687,31.0,21.312372524291277,0.0
4207,2020,15605,1186,Andrea Belotti,h,FW,1427.0,9.0,4.0,55.0,2.0,0.0,6.177160926163197,4.017835710197687,31.0,21.549318488687277,0.0
4437,2020,15606,1186,Andrea Belotti,a,FW,1517.0,9.0,4.0,59.0,2.0,0.0,6.501747734844685,4.017835710197687,31.0,22.52307891473174,0.0
4669,2020,15625,1186,Andrea Belotti,h,FW,1607.0,9.0,5.0,61.0,2.0,0.0,6.615798532962799,4.409958902746439,32.0,23.257354501634836,1.0
4988,2020,15634,1186,Andrea Belotti,a,FW,1697.0,10.0,5.0,66.0,3.0,0.0,7.424184858798981,4.708339635282755,35.0,25.480894211679697,3.0
5201,2020,15639,1186,Andrea Belotti,h,FW,1787.0,11.0,5.0,70.0,3.0,0.0,8.712738692760468,5.047434184700251,38.0,29.685650262981653,3.0
5457,2020,15653,1186,Andrea Belotti,a,FW,1877.0,11.0,5.0,74.0,3.0,0.0,8.915201634168625,5.047434184700251,38.0,30.293039087206125,0.0
6605,2020,15665,1186,Andrea Belotti,h,FW,1967.0,11.0,5.0,76.0,4.0,0.0,9.597619861364365,5.280803296715021,38.0,32.073662880808115,0.0
6792,2020,15705,1186,Andrea Belotti,a,FW,2057.0,11.0,5.0,79.0,4.0,0.0,9.66105655580759,5.344936598092318,38.0,32.32810626551509,0.0
7055,2020,15709,1186,Andrea Belotti,h,FW,2147.0,11.0,5.0,84.0,4.0,0.0,10.205849327147007,5.344936598092318,38.0,33.96248457953334,0.0
