,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
213,2020,14122,7934,Andreas Skov Olsen,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,2020,14132,7934,Andreas Skov Olsen,h,AMR,32.0,0.0,0.0,1.0,0.0,0.0,0.1294568330049514,0.0225021373480558,0.0,0.4108726363629102,0.0
766,2020,15451,7934,Andreas Skov Olsen,a,AMR,122.0,1.0,0.0,2.0,0.0,0.0,0.4775678664445876,0.0225021373480558,3.0,1.455205736681819,3.0
4354,2020,15569,7934,Andreas Skov Olsen,a,Sub,192.0,1.0,0.0,6.0,0.0,0.0,1.2350666671991348,0.1079270001500844,3.0,3.813127001747489,0.0
4907,2020,15588,7934,Andreas Skov Olsen,a,Sub,207.0,1.0,0.0,6.0,0.0,0.0,1.2350666671991348,0.1079270001500844,3.0,3.813127001747489,0.0
5201,2020,15597,7934,Andreas Skov Olsen,h,Sub,223.0,1.0,0.0,7.0,0.0,0.0,1.2692352496087551,0.1079270001500844,3.0,3.91563274897635,0.0
5673,2020,15609,7934,Andreas Skov Olsen,a,Sub,237.0,1.0,0.0,8.0,0.0,0.0,1.3599789999425411,0.599674081429839,3.0,4.6796110812574625,0.0
5840,2020,15619,7934,Andreas Skov Olsen,h,Sub,249.0,1.0,0.0,8.0,0.0,0.0,1.3599789999425411,0.599674081429839,3.0,4.6796110812574625,0.0
6376,2020,15626,7934,Andreas Skov Olsen,a,AMR,272.0,1.0,1.0,9.0,0.0,0.0,1.3725544037297368,0.932616865262389,4.0,5.0502800764516,1.0
6423,2020,15637,7934,Andreas Skov Olsen,h,AMR,340.0,1.0,1.0,10.0,0.0,0.0,1.4283406333997846,0.9798550996929405,4.0,5.264876999892294,0.0
6866,2020,15646,7934,Andreas Skov Olsen,a,Sub,411.0,1.0,1.0,11.0,0.0,0.0,1.458840855397284,0.9798550996929405,4.0,5.356377665884793,0.0
7071,2020,15662,7934,Andreas Skov Olsen,h,Sub,436.0,1.0,1.0,11.0,0.0,0.0,1.458840855397284,0.9798550996929405,4.0,5.356377665884793,0.0
7511,2020,15674,7934,Andreas Skov Olsen,a,Sub,451.0,1.0,1.0,11.0,0.0,0.0,1.458840855397284,0.9798550996929405,4.0,5.356377665884793,0.0
7835,2020,15678,7934,Andreas Skov Olsen,a,AMR,476.0,1.0,1.0,13.0,0.0,0.0,1.5595288509503007,1.0622779596596954,4.0,5.740864512510598,0.0
8036,2020,15692,7934,Andreas Skov Olsen,h,AMR,553.0,1.0,2.0,16.0,0.0,0.0,1.6199690783396363,1.1664342451840637,5.0,6.026341480202973,1.0
8273,2020,15697,7934,Andreas Skov Olsen,a,Sub,637.0,1.0,2.0,18.0,1.0,0.0,2.066853710450232,1.3087933380156753,4.5,7.009354469366372,-0.5
8772,2020,15708,7934,Andreas Skov Olsen,h,AMR,680.0,2.0,2.0,21.0,1.0,0.0,3.0077786529436707,1.3087933380156753,7.5,9.832129296846688,3.0
9092,2020,15717,7934,Andreas Skov Olsen,a,AMR,762.0,2.0,2.0,22.0,1.0,0.0,3.0388124277815223,1.334845809265971,7.5,9.951283092610538,0.0
9390,2020,15733,7934,Andreas Skov Olsen,h,Sub,822.0,2.0,2.0,23.0,1.0,0.0,3.059974250383675,1.5376167129725216,7.5,10.217539464123547,0.0
9696,2020,15745,7934,Andreas Skov Olsen,h,Sub,845.0,2.0,2.0,23.0,1.0,0.0,3.059974250383675,1.5376167129725216,7.5,10.217539464123547,0.0
10003,2020,15746,7934,Andreas Skov Olsen,a,DR,848.0,2.0,2.0,23.0,1.0,0.0,3.059974250383675,1.5376167129725216,7.5,10.217539464123547,0.0
10277,2020,15759,7934,Andreas Skov Olsen,h,Sub,921.0,2.0,2.0,26.0,1.0,0.0,3.4603498252108693,1.5376167129725216,7.5,11.41866618860513,0.0
10400,2020,15767,7934,Andreas Skov Olsen,a,AMR,933.0,2.0,2.0,26.0,1.0,0.0,3.4603498252108693,1.5376167129725216,7.5,11.41866618860513,0.0
10795,2020,15778,7934,Andreas Skov Olsen,h,Sub,995.0,2.0,2.0,26.0,1.0,0.0,3.4603498252108693,2.0004726480692625,7.5,11.88152212370187,0.0
11294,2020,15787,7934,Andreas Skov Olsen,a,AMR,1022.0,2.0,2.0,28.0,1.0,0.0,3.769558367319405,2.0093893073499203,7.5,12.818064409308136,0.0
11495,2020,15799,7934,Andreas Skov Olsen,h,AMR,1112.0,2.0,2.0,29.0,1.0,0.0,3.7957200510427356,2.020193038508296,7.5,12.907353191636503,0.0
