,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
7779,2020,15685,2217,Antonio Sanabria,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8068,2020,15688,2217,Antonio Sanabria,h,FW,25.0,1.0,0.0,2.0,0.0,0.0,0.0424968153238296,0.0,3.0,0.1274904459714889,3.0
8194,2020,15665,2217,Antonio Sanabria,h,FW,115.0,2.0,0.0,3.0,0.0,0.0,0.4857982546091079,0.0493230819702148,6.0,1.5067178457975388,3.0
8424,2020,15705,2217,Antonio Sanabria,a,FW,205.0,2.0,1.0,5.0,1.0,0.0,0.6470684111118317,0.3357024490833282,6.5,1.7769076824188232,0.5
8747,2020,15709,2217,Antonio Sanabria,h,FW,264.0,2.0,1.0,5.0,1.0,0.0,0.6470684111118317,0.3584034238010644,6.5,1.7996086571365595,0.0
8941,2020,15725,2217,Antonio Sanabria,a,FW,354.0,4.0,1.0,8.0,2.0,0.0,1.3642899096012115,0.3584034238010644,12.0,3.451273152604699,5.5
9419,2020,15732,2217,Antonio Sanabria,h,FW,419.0,4.0,1.0,9.0,2.0,0.0,1.7491563260555267,0.3584034238010644,12.0,4.605872401967645,0.0
9712,2020,15745,2217,Antonio Sanabria,a,Sub,490.0,5.0,1.0,12.0,2.0,0.0,2.8837269246578217,0.3584034238010644,15.0,8.00958419777453,3.0
10027,2020,15750,2217,Antonio Sanabria,h,FW,504.0,5.0,1.0,12.0,2.0,0.0,2.8837269246578217,0.3584034238010644,15.0,8.00958419777453,0.0
10360,2020,15763,2217,Antonio Sanabria,h,FW,594.0,5.0,1.0,13.0,2.0,0.0,2.9362019076943398,0.4232471752911805,15.0,8.2318528983742,0.0
10623,2020,15775,2217,Antonio Sanabria,a,FW,684.0,5.0,1.0,15.0,2.0,0.0,3.030510038137436,0.4232471752911805,15.0,8.514777289703488,0.0
11051,2020,15795,2217,Antonio Sanabria,a,FW,764.0,5.0,1.0,15.0,2.0,0.0,3.030510038137436,0.4232471752911805,15.0,8.514777289703488,0.0
11329,2020,15671,2217,Antonio Sanabria,a,FW,829.0,5.0,1.0,15.0,2.0,0.0,3.030510038137436,0.4666103329509495,15.0,8.558140447363257,0.0
11466,2020,15796,2217,Antonio Sanabria,h,FW,916.0,5.0,1.0,19.0,2.0,0.0,3.234693482518196,0.4666103329509495,15.0,9.170690780505538,0.0
