,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1615,2020,15482,9090,Ardian Ismajli,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3814,2020,15550,9090,Ardian Ismajli,a,DC,1.0,0.0,0.0,1.0,0.0,0.0,0.0090478342026472,0.0,0.0,0.0271435026079416,0.0
4457,2020,15575,9090,Ardian Ismajli,h,Sub,91.0,0.0,0.0,1.0,0.0,0.0,0.0090478342026472,0.0,0.0,0.0271435026079416,0.0
4803,2020,15582,9090,Ardian Ismajli,a,DC,111.0,0.0,0.0,1.0,0.0,0.0,0.0090478342026472,0.0,0.0,0.0271435026079416,0.0
6162,2020,15633,9090,Ardian Ismajli,a,Sub,189.0,0.0,0.0,1.0,0.0,1.0,0.0090478342026472,0.0,-0.5,-0.4728564973920584,-0.5
6507,2020,15642,9090,Ardian Ismajli,h,DC,224.0,0.0,1.0,2.0,0.0,1.0,0.030496323481202098,0.614541232585907,0.5,0.20603020302951336,1.0
6734,2020,15652,9090,Ardian Ismajli,a,DC,314.0,0.0,1.0,2.0,0.0,1.0,0.030496323481202098,0.614541232585907,0.5,0.20603020302951336,0.0
7028,2020,15664,9090,Ardian Ismajli,h,DC,404.0,0.0,1.0,3.0,0.0,1.0,0.0828043539077043,0.614541232585907,0.5,0.36295429430901993,0.0
7577,2020,15677,9090,Ardian Ismajli,h,DC,494.0,0.0,1.0,3.0,0.0,1.0,0.0828043539077043,0.614541232585907,0.5,0.36295429430901993,0.0
7925,2020,15693,9090,Ardian Ismajli,a,DC,584.0,0.0,1.0,4.0,0.0,1.0,0.4555322844535112,0.614541232585907,0.5,1.4811380859464407,0.0
8280,2020,15698,9090,Ardian Ismajli,h,DC,664.0,0.0,1.0,4.0,0.0,1.0,0.4555322844535112,0.614541232585907,0.5,1.4811380859464407,0.0
8858,2020,15719,9090,Ardian Ismajli,h,DC,754.0,0.0,1.0,4.0,0.0,1.0,0.4555322844535112,0.614541232585907,0.5,1.4811380859464407,0.0
9395,2020,15733,9090,Ardian Ismajli,a,DC,844.0,0.0,1.0,5.0,1.0,1.0,0.5640980992466211,0.614541232585907,0.0,1.3068355303257704,-0.5
9594,2020,15740,9090,Ardian Ismajli,h,DC,934.0,1.0,1.0,6.0,1.0,1.0,0.668644929304719,0.614541232585907,3.0,1.620476020500064,3.0
10100,2020,15765,9090,Ardian Ismajli,a,DC,1024.0,1.0,1.0,6.0,1.0,1.0,0.668644929304719,0.614541232585907,3.0,1.620476020500064,0.0
10411,2020,15772,9090,Ardian Ismajli,h,DC,1114.0,1.0,1.0,6.0,1.0,1.0,0.668644929304719,0.6446986775845289,3.0,1.6506334654986858,0.0
11028,2020,15795,9090,Ardian Ismajli,h,DC,1204.0,1.0,1.0,6.0,1.0,1.0,0.668644929304719,0.6446986775845289,3.0,1.6506334654986858,0.0
