,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
201,2020,14122,6421,Brahim Diaz,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,2020,14130,6421,Brahim Diaz,a,AML,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,2020,15454,6421,Brahim Diaz,h,AMC,104.0,1.0,0.0,5.0,0.0,0.0,1.0071163177490234,0.0221322979778051,3.0,3.0434812512248755,3.0
1599,2020,15484,6421,Brahim Diaz,a,Sub,178.0,1.0,0.0,9.0,0.0,0.0,1.4509362578392029,0.1078101824969052,3.0,4.460618956014514,0.0
2102,2020,15492,6421,Brahim Diaz,h,Sub,211.0,1.0,0.0,9.0,0.0,0.0,1.4509362578392029,0.1078101824969052,3.0,4.460618956014514,0.0
2586,2020,15512,6421,Brahim Diaz,h,AMC,223.0,1.0,1.0,9.0,0.0,0.0,1.4509362578392029,0.1561504770070313,4.0,4.50895925052464,1.0
2967,2020,15522,6421,Brahim Diaz,a,AMC,300.0,1.0,1.0,10.0,0.0,0.0,1.5569877177476883,0.1561504770070313,4.0,4.827113630250096,0.0
3290,2020,15532,6421,Brahim Diaz,h,AMC,349.0,1.0,1.0,11.0,0.0,0.0,1.6291575208306313,0.2287018541246651,4.0,5.116174416616559,0.0
3458,2020,15538,6421,Brahim Diaz,a,Sub,398.0,1.0,1.0,14.0,0.0,0.0,2.112479753792286,0.2287018541246651,4.0,6.566141115501523,0.0
3852,2020,15554,6421,Brahim Diaz,a,AMC,411.0,1.0,1.0,14.0,0.0,0.0,2.112479753792286,0.2709188405424354,4.0,6.608358101919293,0.0
4498,2020,15567,6421,Brahim Diaz,a,AMR,471.0,1.0,1.0,14.0,0.0,0.0,2.112479753792286,0.2709188405424354,4.0,6.608358101919293,0.0
4827,2020,15581,6421,Brahim Diaz,h,Sub,506.0,1.0,1.0,15.0,0.0,0.0,2.1337532680481672,0.2709188405424354,4.0,6.672178644686937,0.0
4920,2020,15590,6421,Brahim Diaz,h,AMC,529.0,1.0,1.0,15.0,0.0,0.0,2.1337532680481672,0.3142586667090651,4.0,6.715518470853567,0.0
5454,2020,15598,6421,Brahim Diaz,a,AMC,592.0,1.0,2.0,15.0,1.0,0.0,2.1337532680481672,0.6691814083606,4.5,6.570441212505102,0.5
5564,2020,15611,6421,Brahim Diaz,h,Sub,675.0,1.0,2.0,15.0,1.0,0.0,2.1337532680481672,0.6691814083606,4.5,6.570441212505102,0.0
7298,2020,15663,6421,Brahim Diaz,a,Sub,719.0,1.0,2.0,17.0,1.0,0.0,2.1851998548954725,0.7226259913295502,4.5,6.778225556015968,0.0
7428,2020,15672,6421,Brahim Diaz,h,AMC,762.0,1.0,2.0,17.0,1.0,0.0,2.1851998548954725,0.7226259913295502,4.5,6.778225556015968,0.0
8169,2020,15690,6421,Brahim Diaz,h,Sub,827.0,1.0,2.0,18.0,1.0,0.0,2.209510186687112,0.7468069158494467,4.5,6.875337475910783,0.0
8454,2020,15701,6421,Brahim Diaz,a,AML,856.0,1.0,2.0,18.0,1.0,0.0,2.209510186687112,0.7468069158494467,4.5,6.875337475910783,0.0
9299,2020,15728,6421,Brahim Diaz,h,Sub,938.0,2.0,2.0,19.0,1.0,0.0,2.716566065326333,1.047113504260778,7.5,8.696811700239778,3.0
9511,2020,15744,6421,Brahim Diaz,h,Sub,964.0,2.0,2.0,19.0,1.0,0.0,2.716566065326333,1.0603440450504418,7.5,8.710042241029441,0.0
10080,2020,15749,6421,Brahim Diaz,a,Sub,968.0,2.0,2.0,20.0,1.0,0.0,2.7838062439113855,1.1814773576334114,7.5,9.032896089367568,0.0
10154,2020,15757,6421,Brahim Diaz,h,Sub,994.0,2.0,2.0,20.0,1.0,0.0,2.7838062439113855,1.1941920071840282,7.5,9.045610738918185,0.0
10681,2020,15771,6421,Brahim Diaz,a,AMC,995.0,2.0,2.0,21.0,1.0,0.0,2.887776540592313,1.1941920071840282,7.5,9.357521628960967,0.0
10865,2020,15780,6421,Brahim Diaz,a,AMC,1068.0,3.0,2.0,25.0,2.0,0.0,3.161702649667859,1.1941920071840282,10.0,9.679299956187606,2.5
11247,2020,15788,6421,Brahim Diaz,h,AMC,1133.0,4.0,3.0,26.0,2.0,0.0,3.5914489794522524,1.2398782484233375,14.0,11.014225186780095,4.0
11575,2020,15801,6421,Brahim Diaz,a,AMC,1191.0,4.0,3.0,26.0,2.0,0.0,3.5914489794522524,1.32543296739459,14.0,11.099779905751348,0.0
