,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
129,2020,14121,2371,Cristiano Ronaldo,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,2020,14131,2371,Cristiano Ronaldo,a,FW,90.0,1.0,1.0,10.0,0.0,0.0,0.7412741184234619,0.1700837314128875,4.0,2.3939060866832733,4.0
1316,2020,15482,2371,Cristiano Ronaldo,a,Sub,180.0,3.0,1.0,14.0,0.0,0.0,2.485795736312866,0.1700837314128875,10.0,7.627470940351486,6.0
1585,2020,15491,2371,Cristiano Ronaldo,a,FWL,212.0,5.0,1.0,16.0,0.0,0.0,3.9254380464553833,0.1700837314128875,16.0,11.946397870779037,6.0
1766,2020,15499,2371,Cristiano Ronaldo,h,FW,290.0,6.0,1.0,21.0,0.0,0.0,4.835196435451508,0.19296713732182968,19.0,14.698556443676353,3.0
2242,2020,15519,2371,Cristiano Ronaldo,h,FW,380.0,8.0,1.0,26.0,0.0,0.0,5.671386420726776,0.3176018651574849,25.0,17.331761127337813,6.0
2647,2020,15530,2371,Cristiano Ronaldo,a,FW,470.0,8.0,1.0,29.0,0.0,0.0,5.799579665064812,0.7255248185247182,25.0,18.124263813719153,0.0
2728,2020,15540,2371,Cristiano Ronaldo,h,FW,560.0,10.0,1.0,37.0,0.0,0.0,8.453838631510735,0.7255248185247182,31.0,26.087040713056922,6.0
2990,2020,15552,2371,Cristiano Ronaldo,a,FW,650.0,10.0,1.0,40.0,0.0,0.0,9.654253050684929,1.2631315346807241,31.0,30.22589068673551,0.0
3196,2020,15558,2371,Cristiano Ronaldo,h,FW,732.0,12.0,1.0,45.0,0.0,0.0,10.426188811659813,1.3963827099651098,37.0,32.67494914494455,6.0
3643,2020,15572,2371,Cristiano Ronaldo,h,FW,822.0,12.0,1.0,51.0,0.0,0.0,10.628790497779846,1.4597542639821768,37.0,33.346125757321715,0.0
3898,2020,15581,2371,Cristiano Ronaldo,a,FW,912.0,14.0,2.0,55.0,0.0,0.0,11.064405262470245,2.002631461247802,44.0,35.19584724865854,7.0
4111,2020,15589,2371,Cristiano Ronaldo,h,FW,1002.0,14.0,2.0,57.0,0.0,0.0,11.189777821302414,2.49786583147943,44.0,36.06719929538667,0.0
4365,2020,15600,2371,Cristiano Ronaldo,a,FW,1092.0,15.0,2.0,63.0,0.0,0.0,12.362170904874802,2.5343926530331373,47.0,39.62090536765754,3.0
4548,2020,15609,2371,Cristiano Ronaldo,h,FW,1182.0,15.0,2.0,66.0,0.0,0.0,12.42148220539093,2.5343926530331373,47.0,39.79883926920593,0.0
4732,2020,15617,2371,Cristiano Ronaldo,a,FW,1272.0,15.0,3.0,71.0,0.0,0.0,13.161803305149078,3.156985042616725,48.0,42.64239495806396,1.0
5001,2020,15631,2371,Cristiano Ronaldo,h,FW,1362.0,15.0,3.0,76.0,0.0,0.0,13.579268902540207,3.156985042616725,48.0,43.894791750237346,0.0
5236,2020,15640,2371,Cristiano Ronaldo,a,FW,1452.0,16.0,3.0,79.0,1.0,0.0,13.830324083566666,3.156985042616725,51.0,44.14795729331672,3.0
5643,2020,15647,2371,Cristiano Ronaldo,h,FW,1542.0,16.0,3.0,87.0,1.0,0.0,14.837784200906754,3.156985042616725,51.0,47.170337645336986,0.0
5732,2020,15661,2371,Cristiano Ronaldo,a,FW,1632.0,18.0,3.0,98.0,1.0,0.0,17.27891555428505,3.186855273321271,57.0,54.52360193617642,6.0
5892,2020,15670,2371,Cristiano Ronaldo,h,FW,1722.0,19.0,3.0,105.0,1.0,0.0,17.939856380224228,3.186855273321271,60.0,56.506424413993955,3.0
6167,2020,15681,2371,Cristiano Ronaldo,h,Sub,1812.0,20.0,3.0,112.0,1.0,0.0,18.686511129140854,3.269259424880147,63.0,58.82879281230271,3.0
6566,2020,15689,2371,Cristiano Ronaldo,a,FW,1833.0,20.0,3.0,112.0,1.0,0.0,18.686511129140854,3.269259424880147,63.0,58.82879281230271,0.0
6757,2020,15704,2371,Cristiano Ronaldo,h,FW,1923.0,23.0,3.0,118.0,2.0,0.0,20.32555815577507,3.325740350410342,72.0,63.30241481773555,9.0
7067,2020,15709,2371,Cristiano Ronaldo,a,FW,2013.0,23.0,3.0,127.0,2.0,0.0,21.00237873196602,3.325740350410342,72.0,65.3328765463084,0.0
7106,2020,15455,2371,Cristiano Ronaldo,h,FW,2103.0,24.0,3.0,135.0,2.0,0.0,23.299429923295975,3.4565255772322416,75.0,72.35481534712017,3.0
7251,2020,15720,2371,Cristiano Ronaldo,h,FW,2193.0,25.0,3.0,137.0,2.0,0.0,24.184662729501724,3.4857326932251453,78.0,75.03972088173032,3.0
7777,2020,15742,2371,Cristiano Ronaldo,h,FW,2283.0,25.0,3.0,143.0,2.0,0.0,24.82669672369957,3.4857326932251453,78.0,76.96582286432385,0.0
8016,2020,15748,2371,Cristiano Ronaldo,a,FW,2373.0,25.0,3.0,148.0,3.0,0.0,25.268510401248932,3.4857326932251453,78.0,77.79126389697194,0.0
8344,2020,15762,2371,Cristiano Ronaldo,a,FW,2463.0,25.0,3.0,153.0,3.0,0.0,25.87487667798996,3.543961249291897,78.0,79.66859128326178,0.0
8637,2020,15771,2371,Cristiano Ronaldo,h,FW,2553.0,27.0,3.0,159.0,3.0,0.0,27.928752839565277,3.609107792377472,84.0,85.8953663110733,6.0
8776,2020,15779,2371,Cristiano Ronaldo,a,FW,2643.0,27.0,3.0,161.0,3.0,0.0,28.001830369234085,3.675605960190296,84.0,86.18109706789255,0.0
8968,2020,15790,2371,Cristiano Ronaldo,h,FW,2733.0,28.0,3.0,165.0,3.0,0.0,28.475185573101044,3.7799947559833527,87.0,87.70555147528648,3.0
