,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
235,2020,14125,8882,Daam Foulon,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,2020,14133,8882,Daam Foulon,h,Sub,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,2020,15451,8882,Daam Foulon,h,DL,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,2020,15464,8882,Daam Foulon,a,DL,215.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
1072,2020,15467,8882,Daam Foulon,h,DL,305.0,0.0,1.0,0.0,2.0,0.0,0.0,0.029216231778264,1.0,-0.970783768221736,1.0
1434,2020,15485,8882,Daam Foulon,a,DL,370.0,0.0,1.0,0.0,3.0,0.0,0.0,0.041676609776914,1.0,-1.4583233902230859,0.0
2708,2020,15536,8882,Daam Foulon,h,Sub,460.0,0.0,1.0,0.0,3.0,0.0,0.0,0.056226990185677804,1.0,-1.443773009814322,0.0
3413,2020,15564,8882,Daam Foulon,a,Sub,504.0,0.0,1.0,0.0,3.0,0.0,0.0,0.056226990185677804,1.0,-1.443773009814322,0.0
3621,2020,15567,8882,Daam Foulon,h,Sub,522.0,0.0,1.0,0.0,3.0,0.0,0.0,0.056226990185677804,1.0,-1.443773009814322,0.0
3679,2020,15578,8882,Daam Foulon,a,Sub,547.0,0.0,1.0,1.0,3.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.4139349348843098,0.0
3907,2020,15586,8882,Daam Foulon,h,DL,562.0,0.0,1.0,1.0,3.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.4139349348843098,0.0
4757,2020,15624,8882,Daam Foulon,a,Sub,608.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
5053,2020,15632,8882,Daam Foulon,h,Sub,628.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
5612,2020,15650,8882,Daam Foulon,h,DL,643.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
5847,2020,15657,8882,Daam Foulon,a,DL,733.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
6015,2020,15673,8882,Daam Foulon,h,Sub,797.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
6764,2020,15704,8882,Daam Foulon,a,DML,834.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
9305,2020,15796,8882,Daam Foulon,a,DML,909.0,0.0,1.0,1.0,4.0,0.0,0.0099460249766707,0.056226990185677804,1.0,-1.9139349348843098,0.0
