,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
314,2020,14126,1523,Danilo D&#039;Ambrosio,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,2020,15452,1523,Danilo D&#039;Ambrosio,a,Sub,90.0,1.0,0.0,1.0,0.0,0.0,0.2772372663021087,0.0,3.0,0.8317117989063263,3.0
902,2020,15457,1523,Danilo D&#039;Ambrosio,h,DC,99.0,1.0,0.0,1.0,0.0,0.0,0.2772372663021087,0.0,3.0,0.8317117989063263,0.0
1254,2020,15470,1523,Danilo D&#039;Ambrosio,a,DC,189.0,1.0,0.0,1.0,0.0,0.0,0.2772372663021087,0.0,3.0,0.8317117989063263,0.0
2001,2020,15486,1523,Danilo D&#039;Ambrosio,a,Sub,279.0,2.0,0.0,3.0,0.0,0.0,0.9135260879993439,0.0609203875064849,6.0,2.8014986515045166,3.0
2247,2020,15498,1523,Danilo D&#039;Ambrosio,h,DC,286.0,2.0,0.0,3.0,0.0,0.0,0.9135260879993439,0.0609203875064849,6.0,2.8014986515045166,0.0
2803,2020,15518,1523,Danilo D&#039;Ambrosio,h,Sub,353.0,2.0,0.0,3.0,1.0,0.0,0.9135260879993439,0.0609203875064849,5.5,2.3014986515045166,-0.5
3153,2020,15528,1523,Danilo D&#039;Ambrosio,a,Sub,360.0,2.0,0.0,3.0,1.0,0.0,0.9135260879993439,0.0609203875064849,5.5,2.3014986515045166,0.0
3471,2020,15539,1523,Danilo D&#039;Ambrosio,h,Sub,366.0,3.0,0.0,4.0,1.0,0.0,1.442698746919632,0.0609203875064849,8.5,3.889016628265381,3.0
3809,2020,15550,1523,Danilo D&#039;Ambrosio,h,Sub,368.0,3.0,0.0,4.0,2.0,0.0,1.442698746919632,0.0609203875064849,8.0,3.389016628265381,-0.5
4717,2020,15583,1523,Danilo D&#039;Ambrosio,a,Sub,376.0,3.0,0.0,5.0,2.0,0.0,1.4886211231350899,0.0609203875064849,8.0,3.5267837569117546,0.0
6667,2020,15641,1523,Danilo D&#039;Ambrosio,h,Sub,382.0,3.0,0.0,5.0,2.0,0.0,1.4886211231350899,0.0609203875064849,8.0,3.5267837569117546,0.0
7219,2020,15660,1523,Danilo D&#039;Ambrosio,h,Sub,383.0,3.0,0.0,5.0,2.0,0.0,1.4886211231350899,0.0609203875064849,8.0,3.5267837569117546,0.0
7856,2020,15676,1523,Danilo D&#039;Ambrosio,h,Sub,388.0,3.0,0.0,6.0,2.0,0.0,1.5619471967220306,0.0609203875064849,8.0,3.746761977672577,0.0
8956,2020,15718,1523,Danilo D&#039;Ambrosio,h,Sub,392.0,3.0,0.0,6.0,2.0,0.0,1.5619471967220306,0.0609203875064849,8.0,3.746761977672577,0.0
9934,2020,15755,1523,Danilo D&#039;Ambrosio,h,Sub,398.0,3.0,0.0,6.0,2.0,0.0,1.5619471967220306,0.0609203875064849,8.0,3.746761977672577,0.0
10442,2020,15773,1523,Danilo D&#039;Ambrosio,h,DC,409.0,3.0,0.0,6.0,2.0,0.0,1.5619471967220306,0.0609203875064849,8.0,3.746761977672577,0.0
10907,2020,15782,1523,Danilo D&#039;Ambrosio,h,DC,499.0,3.0,0.0,7.0,2.0,0.0,1.611198801547289,0.2012898623943328,8.0,4.0348862670362,0.0
11428,2020,15804,1523,Danilo D&#039;Ambrosio,h,DC,589.0,3.0,0.0,8.0,2.0,0.0,1.9678718633949757,0.2012898623943328,8.0,5.10490545257926,0.0
