,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
267,2020,14126,7084,Dusan Vlahovic,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,2020,15446,7084,Dusan Vlahovic,h,FW,27.0,0.0,0.0,2.0,0.0,0.0,0.355481743812561,0.0,0.0,1.066445231437683,0.0
848,2020,15461,7084,Dusan Vlahovic,a,FW,117.0,1.0,0.0,6.0,0.0,0.0,0.990489661693573,0.0906422510743141,3.0,3.062111236155033,3.0
1131,2020,15469,7084,Dusan Vlahovic,h,FW,190.0,1.0,0.0,8.0,0.0,0.0,1.441815048456192,0.0906422510743141,3.0,4.41608739644289,0.0
1392,2020,15480,7084,Dusan Vlahovic,a,Sub,257.0,1.0,0.0,8.0,0.0,0.0,1.441815048456192,0.0906422510743141,3.0,4.41608739644289,0.0
1792,2020,15497,7084,Dusan Vlahovic,h,FW,290.0,1.0,0.0,10.0,0.0,0.0,1.5256289094686508,0.0906422510743141,3.0,4.667528979480267,0.0
2101,2020,15512,7084,Dusan Vlahovic,a,FW,380.0,1.0,0.0,12.0,0.0,0.0,2.4938089698553085,0.0906422510743141,3.0,7.57206916064024,0.0
2407,2020,15517,7084,Dusan Vlahovic,h,FW,459.0,1.0,0.0,13.0,0.0,0.0,2.761657640337944,0.3080459609627723,3.0,8.593018881976604,0.0
2570,2020,15526,7084,Dusan Vlahovic,a,FW,539.0,1.0,0.0,18.0,0.0,0.0,3.963008925318718,0.3080459609627723,3.0,12.197072736918926,0.0
2753,2020,15537,7084,Dusan Vlahovic,h,FW,611.0,1.0,0.0,20.0,0.0,0.0,4.373121812939644,0.3080459609627723,3.0,13.427411399781704,0.0
2925,2020,15549,7084,Dusan Vlahovic,h,FW,687.0,2.0,0.0,22.0,0.0,0.0,5.159006789326668,0.3728386759757994,6.0,15.849859043955803,3.0
3210,2020,15558,7084,Dusan Vlahovic,a,FW,777.0,3.0,0.0,26.0,0.0,0.0,6.098906889557838,0.3728386759757994,9.0,18.669559344649315,3.0
3497,2020,15569,7084,Dusan Vlahovic,h,FW,853.0,4.0,0.0,27.0,0.0,0.0,6.593859508633614,0.5735982209444044,12.0,20.355176746845245,3.0
3774,2020,15580,7084,Dusan Vlahovic,a,FW,925.0,4.0,0.0,29.0,0.0,0.0,6.714333929121494,0.5735982209444044,12.0,20.716600008308887,0.0
4090,2020,15587,7084,Dusan Vlahovic,h,FW,1015.0,5.0,0.0,32.0,0.0,0.0,7.560887850821018,0.5735982209444044,15.0,23.25626177340746,3.0
4268,2020,15602,7084,Dusan Vlahovic,a,FW,1099.0,6.0,0.0,35.0,0.0,0.0,8.623929657042027,0.5735982209444044,18.0,26.445387192070484,3.0
4524,2020,15607,7084,Dusan Vlahovic,h,FW,1189.0,6.0,0.0,40.0,0.0,0.0,9.133192278444767,1.0161634534597395,18.0,28.41574028879404,0.0
4681,2020,15625,7084,Dusan Vlahovic,a,FW,1259.0,7.0,0.0,44.0,0.0,0.0,9.820829428732395,1.0161634534597395,21.0,30.478651739656925,3.0
4924,2020,15629,7084,Dusan Vlahovic,h,FW,1343.0,7.0,0.0,46.0,0.0,0.0,10.279136545956135,1.0161634534597395,21.0,31.853573091328144,0.0
5333,2020,15638,7084,Dusan Vlahovic,a,FW,1417.0,7.0,0.0,46.0,0.0,0.0,10.279136545956135,1.0161634534597395,21.0,31.853573091328144,0.0
5420,2020,15652,7084,Dusan Vlahovic,h,FW,1507.0,8.0,0.0,49.0,0.0,0.0,10.854263611137867,1.045428095385432,24.0,33.60821892879903,3.0
5806,2020,15659,7084,Dusan Vlahovic,a,FW,1597.0,9.0,1.0,52.0,0.0,0.0,11.967619843780994,1.6127531509846447,28.0,37.51561268232763,4.0
5941,2020,15668,7084,Dusan Vlahovic,h,FW,1687.0,9.0,1.0,54.0,0.0,0.0,12.117492072284222,1.6127531509846447,28.0,37.96522936783731,0.0
6241,2020,15683,7084,Dusan Vlahovic,h,FW,1777.0,9.0,1.0,57.0,0.0,0.0,12.27590648084879,1.7089466731995342,28.0,38.5366661157459,0.0
6448,2020,15687,7084,Dusan Vlahovic,a,FW,1867.0,9.0,1.0,57.0,0.0,0.0,12.27590648084879,1.7089466731995342,28.0,38.5366661157459,0.0
6805,2020,15701,7084,Dusan Vlahovic,h,FW,1948.0,12.0,1.0,62.0,0.0,0.0,12.99264995008707,1.7089466731995342,37.0,40.686896523460746,9.0
6919,2020,15707,7084,Dusan Vlahovic,a,FW,2038.0,12.0,2.0,62.0,0.0,0.0,12.99264995008707,1.822887113317847,38.0,40.80083696357906,1.0
7351,2020,15716,7084,Dusan Vlahovic,h,FW,2127.0,13.0,2.0,65.0,0.0,0.0,13.1093038469553,1.822887113317847,41.0,41.150798654183745,3.0
7463,2020,15727,7084,Dusan Vlahovic,a,FW,2217.0,15.0,2.0,70.0,0.0,0.0,14.148901119828224,1.8943590726703403,47.0,44.34106243215501,6.0
7672,2020,15739,7084,Dusan Vlahovic,a,FW,2307.0,15.0,2.0,70.0,0.0,0.0,14.148901119828224,1.9605401959270237,47.0,44.407243555411696,0.0
8003,2020,15748,7084,Dusan Vlahovic,h,FW,2397.0,16.0,3.0,72.0,0.0,0.0,14.92307861149311,2.1500422414392233,51.0,46.919278075918555,4.0
8323,2020,15759,7084,Dusan Vlahovic,a,FW,2487.0,17.0,3.0,76.0,0.0,0.0,15.83784706890583,2.1500422414392233,54.0,49.663583448156714,3.0
8481,2020,15770,7084,Dusan Vlahovic,h,FW,2577.0,19.0,3.0,81.0,0.0,0.0,17.31572552025318,2.1500422414392233,60.0,54.09721880219877,6.0
8695,2020,15777,7084,Dusan Vlahovic,a,FW,2667.0,21.0,3.0,85.0,1.0,0.0,18.44123835861683,2.182206368073821,66.0,57.00592144392431,6.0
9020,2020,15792,7084,Dusan Vlahovic,h,FW,2757.0,21.0,3.0,85.0,1.0,0.0,18.44123835861683,2.182206368073821,66.0,57.00592144392431,0.0
9204,2020,15797,7084,Dusan Vlahovic,a,FW,2847.0,21.0,3.0,85.0,1.0,0.0,18.44123835861683,2.182206368073821,66.0,57.00592144392431,0.0
