,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
176,2020,14121,1624,Fabio Depaoli,a,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,2020,14125,1624,Fabio Depaoli,h,Sub,46.0,0.0,0.0,1.0,0.0,0.0,0.0502480342984199,0.0,0.0,0.1507441028952598,0.0
889,2020,15456,1624,Fabio Depaoli,a,DMR,76.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.0763702765107154,0.0,0.3317923694849013,0.0
1209,2020,15466,1624,Fabio Depaoli,h,MR,166.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.1026095487177371,0.0,0.35803164169192303,0.0
2170,2020,15503,1624,Fabio Depaoli,a,DMR,227.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.1648921333253382,0.0,0.42031422629952414,0.0
4274,2020,15566,1624,Fabio Depaoli,h,Sub,251.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.1648921333253382,0.0,0.42031422629952414,0.0
4879,2020,15586,1624,Fabio Depaoli,a,Sub,264.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.1648921333253382,0.0,0.42031422629952414,0.0
5903,2020,15624,1624,Fabio Depaoli,a,DR,267.0,0.0,0.0,2.0,0.0,0.0,0.0851406976580619,0.23205291107296921,0.0,0.48747500404715516,0.0
6260,2020,15632,1624,Fabio Depaoli,h,DR,357.0,0.0,0.0,2.0,1.0,0.0,0.0851406976580619,0.23205291107296921,-0.5,-0.012524995952844842,-0.5
6432,2020,15637,1624,Fabio Depaoli,a,DR,447.0,0.0,0.0,3.0,2.0,0.0,0.1317938193678855,0.23205291107296921,-1.0,-0.372565630823374,-0.5
6965,2020,15650,1624,Fabio Depaoli,h,DR,537.0,0.0,0.0,3.0,2.0,0.0,0.1317938193678855,0.23205291107296921,-1.0,-0.372565630823374,0.0
7253,2020,15657,1624,Fabio Depaoli,a,DR,627.0,0.0,0.0,3.0,2.0,0.0,0.1317938193678855,0.23205291107296921,-1.0,-0.372565630823374,0.0
7451,2020,15673,1624,Fabio Depaoli,h,DR,717.0,0.0,0.0,4.0,2.0,0.0,0.1878107748925685,0.23205291107296921,-1.0,-0.20451476424932502,0.0
8589,2020,15710,1624,Fabio Depaoli,h,DMR,764.0,0.0,0.0,4.0,2.0,0.0,0.1878107748925685,0.23205291107296921,-1.0,-0.20451476424932502,0.0
9135,2020,15724,1624,Fabio Depaoli,h,DMR,854.0,0.0,0.0,4.0,2.0,0.0,0.1878107748925685,0.23205291107296921,-1.0,-0.20451476424932502,0.0
9334,2020,15726,1624,Fabio Depaoli,a,DR,944.0,0.0,0.0,6.0,2.0,0.0,0.24483045935630782,0.3024494238197801,-1.0,0.03694080188870408,0.0
9550,2020,15737,1624,Fabio Depaoli,a,DMR,1034.0,0.0,0.0,7.0,2.0,0.0,0.26972572319209553,0.35616470500826813,-1.0,0.16534187458455538,0.0
9868,2020,15754,1624,Fabio Depaoli,h,DMR,1124.0,0.0,0.0,8.0,2.0,0.0,0.2828397080302235,0.41663879156112643,-1.0,0.26515791565179797,0.0
10159,2020,15757,1624,Fabio Depaoli,a,DR,1184.0,0.0,0.0,9.0,2.0,0.0,0.3058827444910999,0.48063825815916034,-1.0,0.39828649163246127,0.0
10567,2020,15768,1624,Fabio Depaoli,h,DR,1274.0,0.0,0.0,10.0,2.0,0.0,0.3405780941247935,0.510022500529885,-1.0,0.531756782904267,0.0
10778,2020,15776,1624,Fabio Depaoli,a,Sub,1348.0,0.0,0.0,10.0,2.0,0.0,0.3405780941247935,0.6042873505502936,-1.0,0.6260216329246756,0.0
11147,2020,15789,1624,Fabio Depaoli,h,DR,1364.0,0.0,0.0,10.0,2.0,0.0,0.3405780941247935,0.6042873505502936,-1.0,0.6260216329246756,0.0
