,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
51,2020,14118,1165,Gastón Brugman,h,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,2020,14132,1165,Gastón Brugman,a,MC,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175187196582555,0.0,0.0175187196582555,0.0
651,2020,15453,1165,Gastón Brugman,h,MC,151.0,0.0,1.0,2.0,0.0,0.0,0.2999676764011383,0.33705421350896353,1.0,1.2369572427123785,1.0
887,2020,15463,1165,Gastón Brugman,a,MC,241.0,0.0,1.0,3.0,0.0,0.0,0.3636606708168983,0.35869213379919523,1.0,1.4496741462498903,0.0
1100,2020,15474,1165,Gastón Brugman,h,MC,306.0,0.0,1.0,3.0,1.0,0.0,0.3636606708168983,0.43969602324068535,1.0,1.0306780356913805,0.0
2317,2020,15520,1165,Gastón Brugman,h,Sub,359.0,0.0,1.0,4.0,1.0,0.0,0.4078912958502769,0.5569529775530099,1.0,1.2806268651038408,0.0
2667,2020,15532,1165,Gastón Brugman,a,MC,375.0,0.0,1.0,4.0,1.0,0.0,0.4078912958502769,0.5569529775530099,1.0,1.2806268651038408,0.0
4009,2020,15591,1165,Gastón Brugman,h,MC,465.0,0.0,1.0,4.0,1.0,0.0,0.4078912958502769,0.5569529775530099,1.0,1.2806268651038408,0.0
4315,2020,15604,1165,Gastón Brugman,a,MC,530.0,0.0,1.0,5.0,2.0,0.0,0.4267418943345546,0.5569529775530099,1.0,0.837178660556674,0.0
4646,2020,15612,1165,Gastón Brugman,h,Sub,618.0,0.0,1.0,7.0,3.0,0.0,0.5420360900461674,0.7927932981401681,1.0,0.9189015682786703,0.0
4884,2020,15620,1165,Gastón Brugman,a,MC,642.0,0.0,1.0,8.0,3.0,0.0,0.5499442210420966,0.7927932981401681,1.0,0.942625961266458,0.0
5121,2020,15626,1165,Gastón Brugman,h,MC,722.0,0.0,1.0,8.0,4.0,0.0,0.5499442210420966,0.7927932981401681,1.0,0.44262596126645803,0.0
5543,2020,15654,1165,Gastón Brugman,h,MC,778.0,0.0,1.0,9.0,4.0,0.0,0.5820144442841411,0.7927932981401681,1.0,0.5388366309925914,0.0
6087,2020,15666,1165,Gastón Brugman,h,MC,849.0,0.0,1.0,9.0,5.0,0.0,0.5820144442841411,1.131578678265214,1.0,0.37762201111763716,0.0
6249,2020,15683,1165,Gastón Brugman,a,MC,939.0,0.0,1.0,9.0,5.0,0.0,0.5820144442841411,1.131578678265214,1.0,0.37762201111763716,0.0
6525,2020,15691,1165,Gastón Brugman,h,MC,1029.0,0.0,1.0,9.0,5.0,0.0,0.5820144442841411,1.256812373176217,1.0,0.5028557060286403,0.0
6627,2020,15699,1165,Gastón Brugman,h,MC,1119.0,0.0,1.0,9.0,5.0,0.0,0.5820144442841411,1.256812373176217,1.0,0.5028557060286403,0.0
6937,2020,15710,1165,Gastón Brugman,a,MC,1199.0,0.0,1.0,10.0,6.0,0.0,0.6816104231402278,1.4041543249040842,1.0,0.4489855943247677,0.0
7486,2020,15731,1165,Gastón Brugman,a,MC,1247.0,0.0,1.0,10.0,6.0,0.0,0.6816104231402278,1.4041543249040842,1.0,0.4489855943247677,0.0
7786,2020,15742,1165,Gastón Brugman,a,MC,1337.0,0.0,1.0,10.0,6.0,0.0,0.6816104231402278,2.2214229349046946,1.0,1.266254204325378,0.0
7924,2020,15747,1165,Gastón Brugman,h,MC,1408.0,1.0,1.0,11.0,6.0,0.0,0.7369347503408789,2.5280919019132853,4.0,1.7388961529359221,3.0
8387,2020,15763,1165,Gastón Brugman,a,MC,1498.0,1.0,1.0,14.0,7.0,0.0,0.8971977969631552,2.5794812086969614,4.0,1.7710745995864272,0.0
9098,2020,15794,1165,Gastón Brugman,h,Sub,1529.0,1.0,1.0,15.0,7.0,0.0,0.9184597143903372,2.5794812086969614,4.0,1.8348603518679738,0.0
9252,2020,15802,1165,Gastón Brugman,a,MC,1563.0,1.0,1.0,17.0,7.0,0.0,0.9628770845010874,2.600517950952053,4.0,1.989149204455316,0.0
