,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
144,2020,14121,952,Gastón Ramírez,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,2020,14125,952,Gastón Ramírez,h,Sub,44.0,0.0,0.0,1.0,0.0,0.0,0.0118261026218533,0.0709450095891952,0.0,0.1064233174547553,0.0
521,2020,15446,952,Gastón Ramírez,a,FW,70.0,0.0,0.0,1.0,1.0,0.0,0.0118261026218533,0.1017106864601373,0.0,-0.3628110056743026,0.0
756,2020,15458,952,Gastón Ramírez,h,FW,140.0,0.0,0.0,4.0,1.0,0.0,0.38643560279160727,0.2045939955860375,0.0,0.8639008039608598,0.0
990,2020,15466,952,Gastón Ramírez,a,FW,197.0,0.0,0.0,4.0,2.0,0.0,0.38643560279160727,0.2045939955860375,0.0,0.3639008039608598,0.0
1401,2020,15481,952,Gastón Ramírez,h,FW,264.0,0.0,0.0,4.0,2.0,0.0,0.38643560279160727,0.7698389086872338,0.0,0.9291457170620561,0.0
1514,2020,15489,952,Gastón Ramírez,a,FW,330.0,0.0,1.0,4.0,2.0,0.0,0.38643560279160727,0.7876286972314118,1.0,0.9469355056062341,1.0
1869,2020,15502,952,Gastón Ramírez,h,Sub,372.0,0.0,1.0,4.0,2.0,0.0,0.38643560279160727,0.8053385000675916,1.0,0.9646453084424138,0.0
2625,2020,15533,952,Gastón Ramírez,a,Sub,396.0,0.0,1.0,5.0,3.0,0.0,0.4463734263554214,0.8053385000675916,1.0,0.6444587791338563,0.0
2887,2020,15545,952,Gastón Ramírez,a,Sub,421.0,0.0,1.0,5.0,4.0,0.0,0.4463734263554214,0.8053385000675916,1.0,0.1444587791338563,0.0
2952,2020,15553,952,Gastón Ramírez,h,Sub,440.0,0.0,1.0,6.0,4.0,0.0,0.5057276310399172,0.8053385000675916,1.0,0.32252139318734396,0.0
3344,2020,15562,952,Gastón Ramírez,h,FW,467.0,0.0,1.0,7.0,4.0,0.0,0.5268490063026544,0.8053385000675916,1.0,0.3858855189755558,0.0
4235,2020,15603,952,Gastón Ramírez,h,Sub,542.0,0.0,1.0,8.0,4.0,0.0,0.5834235893562432,1.0000855457037685,1.0,0.7503563137724993,0.0
4655,2020,15612,952,Gastón Ramírez,a,AMC,558.0,0.0,1.0,8.0,4.0,0.0,0.5834235893562432,1.108571885153651,1.0,0.8588426532223818,0.0
4723,2020,15617,952,Gastón Ramírez,h,Sub,628.0,0.0,2.0,8.0,4.0,0.0,0.5834235893562432,1.4975692611187694,2.0,1.2478400291875003,1.0
5321,2020,15638,952,Gastón Ramírez,h,AMC,649.0,0.0,2.0,8.0,4.0,0.0,0.5834235893562432,1.4975692611187694,2.0,1.2478400291875003,0.0
5479,2020,15651,952,Gastón Ramírez,a,AMC,739.0,0.0,3.0,8.0,4.0,0.0,0.5834235893562432,2.0418652277439833,3.0,1.7921359958127139,1.0
5748,2020,15656,952,Gastón Ramírez,h,Sub,785.0,0.0,3.0,8.0,4.0,0.0,0.5834235893562432,2.106775915250182,3.0,1.8570466833189128,0.0
6290,2020,15679,952,Gastón Ramírez,h,Sub,808.0,0.0,3.0,8.0,4.0,0.0,0.5834235893562432,2.147862995043397,3.0,1.8981337631121276,0.0
6495,2020,15692,952,Gastón Ramírez,a,Sub,852.0,0.0,4.0,10.0,4.0,0.0,0.658803914673626,2.2458953950554132,4.0,2.222307139076292,1.0
8359,2020,15764,952,Gastón Ramírez,h,Sub,873.0,0.0,4.0,11.0,5.0,0.0,0.6663797027431424,2.29791353456676,4.0,1.7970526427961881,0.0
8465,2020,15773,952,Gastón Ramírez,a,AMC,889.0,0.0,4.0,11.0,5.0,0.0,0.6663797027431424,2.347396882250905,4.0,1.8465359904803331,0.0
