,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1039,2020,15461,2143,Germán Pezzella,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393,2020,15469,2143,Germán Pezzella,h,DC,72.0,1.0,0.0,1.0,0.0,0.0,0.2722187042236328,0.0,3.0,0.8166561126708984,3.0
2217,2020,15497,2143,Germán Pezzella,h,DC,109.0,1.0,0.0,1.0,0.0,0.0,0.2722187042236328,0.0,3.0,0.8166561126708984,0.0
2594,2020,15512,2143,Germán Pezzella,a,DC,199.0,1.0,0.0,3.0,0.0,0.0,0.33967146277427673,0.0,3.0,1.0190143883228302,0.0
2975,2020,15517,2143,Germán Pezzella,h,DC,289.0,1.0,0.0,4.0,1.0,0.0,0.36289120651781553,0.0,2.5,0.5886736195534468,-0.5
3176,2020,15526,2143,Germán Pezzella,a,DC,379.0,1.0,0.0,5.0,1.0,0.0,0.38059111125767225,0.0497872233390808,2.5,0.6915605571120976,0.0
3399,2020,15537,2143,Germán Pezzella,h,DC,469.0,1.0,0.0,5.0,1.0,0.0,0.38059111125767225,0.0497872233390808,2.5,0.6915605571120976,0.0
3613,2020,15549,2143,Germán Pezzella,h,DC,559.0,1.0,0.0,6.0,1.0,0.0,0.40327163040637953,0.0497872233390808,2.5,0.7596021145582197,0.0
3969,2020,15558,2143,Germán Pezzella,a,DC,649.0,1.0,0.0,6.0,1.0,0.0,0.40327163040637953,0.6715251803398132,2.5,1.381340071558952,0.0
4327,2020,15569,2143,Germán Pezzella,h,DC,739.0,1.0,0.0,6.0,1.0,0.0,0.40327163040637953,0.6715251803398132,2.5,1.381340071558952,0.0
4678,2020,15580,2143,Germán Pezzella,a,DC,829.0,1.0,0.0,6.0,2.0,0.0,0.40327163040637953,0.6715251803398132,2.0,0.8813400715589521,-0.5
5063,2020,15587,2143,Germán Pezzella,h,DC,919.0,1.0,0.0,6.0,2.0,0.0,0.40327163040637953,0.6715251803398132,2.0,0.8813400715589521,0.0
5297,2020,15602,2143,Germán Pezzella,a,DC,956.0,1.0,0.0,8.0,2.0,0.0,0.7866294533014295,0.6715251803398132,2.0,2.031413540244102,0.0
5613,2020,15607,2143,Germán Pezzella,h,DC,1046.0,1.0,0.0,8.0,2.0,0.0,0.7866294533014295,0.6715251803398132,2.0,2.031413540244102,0.0
5812,2020,15625,2143,Germán Pezzella,a,DC,1136.0,1.0,0.0,8.0,2.0,0.0,0.7866294533014295,0.6715251803398132,2.0,2.031413540244102,0.0
6107,2020,15629,2143,Germán Pezzella,h,DC,1226.0,1.0,0.0,8.0,2.0,0.0,0.7866294533014295,0.6715251803398132,2.0,2.031413540244102,0.0
6612,2020,15638,2143,Germán Pezzella,a,DC,1316.0,1.0,0.0,9.0,2.0,0.0,0.821947522461414,0.6834293222054838,2.0,2.1492718895897265,0.0
6718,2020,15652,2143,Germán Pezzella,h,DC,1400.0,1.0,0.0,9.0,2.0,0.0,0.821947522461414,0.6834293222054838,2.0,2.1492718895897265,0.0
7193,2020,15659,2143,Germán Pezzella,a,DC,1490.0,1.0,0.0,9.0,2.0,0.0,0.821947522461414,0.6834293222054838,2.0,2.1492718895897265,0.0
7365,2020,15668,2143,Germán Pezzella,h,DC,1579.0,1.0,0.0,11.0,2.0,0.0,0.8864675760269161,0.6834293222054838,2.0,2.342832050286233,0.0
7727,2020,15683,2143,Germán Pezzella,h,DC,1669.0,1.0,0.0,11.0,2.0,0.0,0.8864675760269161,0.6834293222054838,2.0,2.342832050286233,0.0
7988,2020,15687,2143,Germán Pezzella,a,DC,1759.0,1.0,0.0,12.0,2.0,0.0,0.938112266361713,0.6834293222054838,2.0,2.4977661212906237,0.0
8433,2020,15701,2143,Germán Pezzella,h,DC,1849.0,1.0,0.0,12.0,2.0,0.0,0.938112266361713,0.6834293222054838,2.0,2.4977661212906237,0.0
8572,2020,15707,2143,Germán Pezzella,a,DC,1939.0,1.0,0.0,13.0,2.0,0.0,1.080131463706493,0.6834293222054838,2.0,2.9238237133249636,0.0
9103,2020,15716,2143,Germán Pezzella,h,DC,2029.0,1.0,0.0,13.0,2.0,0.0,1.080131463706493,0.6834293222054838,2.0,2.9238237133249636,0.0
9240,2020,15727,2143,Germán Pezzella,a,DC,2119.0,1.0,0.0,13.0,3.0,0.0,1.080131463706493,0.6834293222054838,1.5,2.4238237133249636,-0.5
9486,2020,15739,2143,Germán Pezzella,a,DC,2209.0,1.0,0.0,13.0,3.0,0.0,1.080131463706493,0.6834293222054838,1.5,2.4238237133249636,0.0
9895,2020,15748,2143,Germán Pezzella,h,DC,2299.0,1.0,0.0,13.0,3.0,0.0,1.080131463706493,0.6834293222054838,1.5,2.4238237133249636,0.0
10281,2020,15759,2143,Germán Pezzella,a,DC,2389.0,1.0,0.0,13.0,3.0,0.0,1.080131463706493,0.6834293222054838,1.5,2.4238237133249636,0.0
10473,2020,15770,2143,Germán Pezzella,h,DC,2479.0,1.0,0.0,14.0,3.0,0.0,1.173217542469501,0.6834293222054838,1.5,2.703081949613988,0.0
10735,2020,15777,2143,Germán Pezzella,a,DC,2569.0,1.0,0.0,15.0,4.0,0.0,1.2200462259352203,0.6834293222054838,1.0,2.3435680000111456,-0.5
11118,2020,15792,2143,Germán Pezzella,h,DC,2659.0,1.0,0.0,15.0,4.0,0.0,1.2200462259352203,0.6834293222054838,1.0,2.3435680000111456,0.0
