,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
162,2020,14121,5028,Gianluca Frabotta,h,ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,2020,14131,5028,Gianluca Frabotta,a,Sub,67.0,0.0,0.0,1.0,1.0,0.0,0.0344064980745315,0.0,-0.5,-0.3967805057764053,-0.5
980,2020,15459,5028,Gianluca Frabotta,a,DML,70.0,0.0,0.0,1.0,2.0,0.0,0.0344064980745315,0.0,-1.0,-0.8967805057764053,-0.5
1436,2020,15471,5028,Gianluca Frabotta,h,Sub,160.0,0.0,0.0,1.0,2.0,0.0,0.0344064980745315,0.0,-1.0,-0.8967805057764053,0.0
1630,2020,15482,5028,Gianluca Frabotta,a,Sub,173.0,0.0,0.0,1.0,2.0,0.0,0.0344064980745315,0.0,-1.0,-0.8967805057764053,0.0
1961,2020,15491,5028,Gianluca Frabotta,a,DML,184.0,0.0,0.0,1.0,2.0,0.0,0.0344064980745315,0.0,-1.0,-0.8967805057764053,0.0
2477,2020,15507,5028,Gianluca Frabotta,a,DL,274.0,0.0,0.0,1.0,2.0,0.0,0.0344064980745315,0.0,-1.0,-0.8967805057764053,0.0
3966,2020,15558,5028,Gianluca Frabotta,h,Sub,364.0,0.0,0.0,2.0,2.0,0.0,0.1295228898525237,0.1745190769433975,-1.0,-0.4369122534990311,0.0
4519,2020,15572,5028,Gianluca Frabotta,h,Sub,365.0,0.0,0.0,2.0,2.0,0.0,0.1295228898525237,0.1745190769433975,-1.0,-0.4369122534990311,0.0
4836,2020,15581,5028,Gianluca Frabotta,a,DL,370.0,0.0,0.0,2.0,2.0,0.0,0.1295228898525237,0.1745190769433975,-1.0,-0.4369122534990311,0.0
5097,2020,15589,5028,Gianluca Frabotta,h,DL,457.0,0.0,0.0,3.0,2.0,0.0,0.18319290503859498,0.5559742003679274,-1.0,0.1055529154837131,0.0
5421,2020,15600,5028,Gianluca Frabotta,a,DL,547.0,0.0,1.0,5.0,3.0,0.0,0.3011200390756128,0.935463026165962,-0.5,0.3388231433928012,0.5
7005,2020,15647,5028,Gianluca Frabotta,h,Sub,607.0,0.0,1.0,5.0,3.0,0.0,0.3011200390756128,0.935463026165962,-0.5,0.3388231433928012,0.0
7303,2020,15670,5028,Gianluca Frabotta,h,DL,608.0,0.0,1.0,5.0,4.0,0.0,0.3011200390756128,0.935463026165962,-1.0,-0.16117685660719883,-0.5
8153,2020,15689,5028,Gianluca Frabotta,a,Sub,669.0,0.0,1.0,5.0,5.0,0.0,0.3011200390756128,0.935463026165962,-1.5,-0.6611768566071988,-0.5
