,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
186,2020,14122,1116,Gianluigi Donnarumma,h,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,2020,14130,1116,Gianluigi Donnarumma,a,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837,2020,15454,1116,Gianluigi Donnarumma,h,GK,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,2020,15457,1116,Gianluigi Donnarumma,a,GK,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585,2020,15484,1116,Gianluigi Donnarumma,a,GK,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,2020,15492,1116,Gianluigi Donnarumma,h,GK,450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
2410,2020,15500,1116,Gianluigi Donnarumma,a,GK,540.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2578,2020,15512,1116,Gianluigi Donnarumma,h,GK,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
2959,2020,15522,1116,Gianluigi Donnarumma,a,GK,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3282,2020,15532,1116,Gianluigi Donnarumma,h,GK,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3445,2020,15538,1116,Gianluigi Donnarumma,a,GK,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
3844,2020,15554,1116,Gianluigi Donnarumma,a,GK,990.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
4042,2020,15559,1116,Gianluigi Donnarumma,h,GK,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
4491,2020,15567,1116,Gianluigi Donnarumma,a,GK,1170.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
4816,2020,15581,1116,Gianluigi Donnarumma,h,GK,1260.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
4912,2020,15590,1116,Gianluigi Donnarumma,h,GK,1350.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
5446,2020,15598,1116,Gianluigi Donnarumma,a,GK,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
5551,2020,15611,1116,Gianluigi Donnarumma,h,GK,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
5842,2020,15619,1116,Gianluigi Donnarumma,a,GK,1620.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6291,2020,15628,1116,Gianluigi Donnarumma,h,GK,1710.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6517,2020,15642,1116,Gianluigi Donnarumma,a,GK,1800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
6903,2020,15648,1116,Gianluigi Donnarumma,h,GK,1890.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
7283,2020,15663,1116,Gianluigi Donnarumma,a,GK,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
7420,2020,15672,1116,Gianluigi Donnarumma,h,GK,2070.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
7714,2020,15682,1116,Gianluigi Donnarumma,a,GK,2160.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
8154,2020,15690,1116,Gianluigi Donnarumma,h,GK,2250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
8445,2020,15701,1116,Gianluigi Donnarumma,a,GK,2340.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
8491,2020,15712,1116,Gianluigi Donnarumma,h,GK,2430.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
8900,2020,15722,1116,Gianluigi Donnarumma,a,GK,2520.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
9285,2020,15728,1116,Gianluigi Donnarumma,h,GK,2610.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
9499,2020,15744,1116,Gianluigi Donnarumma,h,GK,2700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
10066,2020,15749,1116,Gianluigi Donnarumma,a,GK,2790.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
10142,2020,15757,1116,Gianluigi Donnarumma,h,GK,2880.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
10673,2020,15771,1116,Gianluigi Donnarumma,a,GK,2970.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
10857,2020,15780,1116,Gianluigi Donnarumma,a,GK,3060.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
11239,2020,15788,1116,Gianluigi Donnarumma,h,GK,3150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
11567,2020,15801,1116,Gianluigi Donnarumma,a,GK,3240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
