,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
157,2020,14121,1576,Giorgio Chiellini,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,2020,14131,1576,Giorgio Chiellini,a,DC,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4520,2020,15572,1576,Giorgio Chiellini,h,Sub,173.0,0.0,0.0,1.0,0.0,0.0,0.0295164566487073,0.0,0.0,0.0885493699461221,0.0
5419,2020,15600,1576,Giorgio Chiellini,a,DC,178.0,0.0,0.0,1.0,0.0,0.0,0.0295164566487073,0.0,0.0,0.0885493699461221,0.0
5644,2020,15609,1576,Giorgio Chiellini,h,DC,268.0,0.0,0.0,1.0,0.0,0.0,0.0295164566487073,0.0,0.0,0.0885493699461221,0.0
5874,2020,15617,1576,Giorgio Chiellini,a,DC,358.0,0.0,0.0,1.0,1.0,0.0,0.0295164566487073,0.0,-0.5,-0.4114506300538779,-0.5
6200,2020,15631,1576,Giorgio Chiellini,h,DC,448.0,0.0,0.0,1.0,1.0,0.0,0.0295164566487073,0.0,-0.5,-0.4114506300538779,0.0
6494,2020,15640,1576,Giorgio Chiellini,a,DC,538.0,0.0,0.0,1.0,1.0,0.0,0.0295164566487073,0.0,-0.5,-0.4114506300538779,0.0
8141,2020,15689,1576,Giorgio Chiellini,a,DC,628.0,0.0,0.0,2.0,2.0,0.0,0.0897499006241559,0.0,-1.0,-0.730750298127532,-0.5
8753,2020,15709,1576,Giorgio Chiellini,a,DC,702.0,0.0,0.0,2.0,2.0,0.0,0.0897499006241559,0.0,-1.0,-0.730750298127532,0.0
8799,2020,15455,1576,Giorgio Chiellini,h,DC,792.0,0.0,1.0,3.0,2.0,0.0,0.1497331615537404,0.6475933194160461,0.0,0.09679280407726765,1.0
8979,2020,15720,1576,Giorgio Chiellini,h,DC,882.0,0.0,1.0,3.0,2.0,0.0,0.1497331615537404,0.6475933194160461,0.0,0.09679280407726765,0.0
9366,2020,15730,1576,Giorgio Chiellini,a,DC,972.0,0.0,1.0,3.0,2.0,0.0,0.1497331615537404,0.6475933194160461,0.0,0.09679280407726765,0.0
9911,2020,15748,1576,Giorgio Chiellini,a,DC,1062.0,0.0,1.0,4.0,2.0,0.0,0.2023148108273743,0.6475933194160461,0.0,0.2545377518981694,0.0
10662,2020,15771,1576,Giorgio Chiellini,h,DC,1152.0,0.0,1.0,4.0,2.0,0.0,0.2023148108273743,0.6475933194160461,0.0,0.2545377518981694,0.0
11059,2020,15790,1576,Giorgio Chiellini,h,DC,1242.0,0.0,1.0,6.0,3.0,0.0,0.5776772666722534,0.6716464981436729,-0.5,0.9046782981604337,-0.5
11507,2020,15799,1576,Giorgio Chiellini,a,DC,1332.0,0.0,1.0,6.0,4.0,0.0,0.5776772666722534,0.6716464981436729,-1.0,0.40467829816043366,-0.5
