,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
850,2020,15461,7943,Igor Julio,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551,2020,15493,7943,Igor Julio,a,DC,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785,2020,15497,7943,Igor Julio,h,DC,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2754,2020,15537,7943,Igor Julio,h,Sub,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2916,2020,15549,7943,Igor Julio,h,DC,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3201,2020,15558,7943,Igor Julio,a,DC,272.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3488,2020,15569,7943,Igor Julio,h,DC,362.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
3767,2020,15580,7943,Igor Julio,a,DC,452.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0
4081,2020,15587,7943,Igor Julio,h,DC,542.0,0.0,0.0,1.0,2.0,0.0,0.5328999161720276,0.0,0.0,0.5986997485160828,0.0
4260,2020,15602,7943,Igor Julio,a,DC,632.0,0.0,0.0,1.0,2.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.6417453214526175,0.0
4517,2020,15607,7943,Igor Julio,h,DC,722.0,0.0,0.0,1.0,2.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.6417453214526175,0.0
4684,2020,15625,7943,Igor Julio,a,Sub,792.0,0.0,0.0,1.0,3.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.14174532145261753,0.0
4916,2020,15629,7943,Igor Julio,h,DC,808.0,0.0,0.0,1.0,3.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.14174532145261753,0.0
5937,2020,15668,7943,Igor Julio,h,DML,898.0,0.0,0.0,1.0,3.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.14174532145261753,0.0
7998,2020,15748,7943,Igor Julio,h,DML,939.0,0.0,0.0,1.0,3.0,0.0,0.5328999161720276,0.0430455729365348,0.0,0.14174532145261753,0.0
8324,2020,15759,7943,Igor Julio,a,Sub,1012.0,0.0,0.0,1.0,4.0,0.0,0.5328999161720276,0.1196160838007926,0.0,-0.28168416768312465,0.0
8689,2020,15777,7943,Igor Julio,a,DC,1032.0,0.0,0.0,1.0,5.0,0.0,0.5328999161720276,0.1196160838007926,0.0,-0.7816841676831247,0.0
9022,2020,15792,7943,Igor Julio,h,Sub,1122.0,0.0,0.0,1.0,5.0,0.0,0.5328999161720276,0.1196160838007926,0.0,-0.7816841676831247,0.0
