,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
137,2020,14121,1146,Jakub Jankto,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2020,14125,1146,Jakub Jankto,h,ML,90.0,0.0,0.0,1.0,0.0,0.0,0.0314320027828216,0.0456161089241504,0.0,0.1399121172726154,0.0
755,2020,15458,1146,Jakub Jankto,h,ML,180.0,0.0,0.0,3.0,0.0,0.0,0.0901275053620337,0.0805087722837924,0.0,0.350891288369894,0.0
985,2020,15466,1146,Jakub Jankto,a,MR,248.0,0.0,0.0,3.0,0.0,0.0,0.0901275053620337,0.0805087722837924,0.0,0.350891288369894,0.0
1397,2020,15481,1146,Jakub Jankto,h,MR,338.0,1.0,1.0,6.0,1.0,0.0,0.5815369263291357,0.6628576554358004,4.0,1.9074684344232082,4.0
1513,2020,15489,1146,Jakub Jankto,a,ML,422.0,2.0,1.0,7.0,2.0,0.0,0.5993267148733137,0.6628576554358004,7.0,1.4608378000557423,3.0
1868,2020,15502,1146,Jakub Jankto,h,Sub,501.0,2.0,1.0,9.0,2.0,0.0,0.6406454890966413,0.6628576554358004,7.0,1.5847941227257252,0.0
2173,2020,15515,1146,Jakub Jankto,a,ML,520.0,2.0,1.0,9.0,2.0,0.0,0.6406454890966413,0.7227954789996145,7.0,1.6447319462895393,0.0
2378,2020,15522,1146,Jakub Jankto,h,MR,567.0,2.0,1.0,9.0,2.0,0.0,0.6406454890966413,0.7227954789996145,7.0,1.6447319462895393,0.0
2622,2020,15533,1146,Jakub Jankto,a,ML,616.0,2.0,1.0,9.0,3.0,0.0,0.6406454890966413,0.7227954789996145,7.0,1.1447319462895393,0.0
2881,2020,15545,1146,Jakub Jankto,a,MR,696.0,3.0,1.0,11.0,3.0,0.0,0.9787618964910505,0.7607447169721124,10.0,2.197030406445265,3.0
2946,2020,15553,1146,Jakub Jankto,h,MR,773.0,3.0,1.0,12.0,3.0,0.0,1.0190999545156953,0.7974708117544649,10.0,2.354770675301552,0.0
3340,2020,15562,1146,Jakub Jankto,h,MC,863.0,4.0,2.0,14.0,3.0,0.0,1.6551948823034761,1.9599236287176607,14.0,5.42550827562809,4.0
3581,2020,15574,1146,Jakub Jankto,a,ML,946.0,4.0,2.0,17.0,3.0,0.0,1.8023233599960802,2.1550286598503585,14.0,6.0619987398386,0.0
3787,2020,15583,1146,Jakub Jankto,h,ML,1036.0,4.0,2.0,17.0,4.0,0.0,1.8023233599960802,2.183090396225452,14.0,5.590060476213694,0.0
4143,2020,15593,1146,Jakub Jankto,a,MR,1114.0,4.0,2.0,19.0,4.0,0.0,1.9374255575239656,2.2348717078566547,14.0,6.047148380428553,0.0
5060,2020,15632,1146,Jakub Jankto,a,MC,1196.0,4.0,3.0,20.0,5.0,0.0,1.9723237752914426,2.3152003884315486,15.0,5.732171714305878,1.0
5320,2020,15638,1146,Jakub Jankto,h,ML,1286.0,4.0,3.0,21.0,5.0,0.0,2.083935022354126,2.4444813728332515,15.0,6.19628643989563,0.0
5482,2020,15651,1146,Jakub Jankto,a,Sub,1352.0,4.0,3.0,21.0,5.0,0.0,2.083935022354126,2.4444813728332515,15.0,6.19628643989563,0.0
5739,2020,15656,1146,Jakub Jankto,h,MR,1396.0,4.0,3.0,22.0,5.0,0.0,2.490501970052719,2.4444813728332515,15.0,7.415987282991409,0.0
5978,2020,15669,1146,Jakub Jankto,a,Sub,1463.0,4.0,3.0,25.0,5.0,0.0,2.624816507101059,2.4444813728332515,15.0,7.818930894136429,0.0
6286,2020,15679,1146,Jakub Jankto,h,ML,1494.0,4.0,3.0,25.0,5.0,0.0,2.624816507101059,2.4444813728332515,15.0,7.818930894136429,0.0
6490,2020,15692,1146,Jakub Jankto,a,MC,1584.0,4.0,3.0,27.0,5.0,0.0,2.6966328397393227,2.528172597289085,15.0,8.118071116507053,0.0
6779,2020,15705,1146,Jakub Jankto,h,ML,1653.0,4.0,3.0,28.0,5.0,0.0,3.1129397824406624,2.528172597289085,15.0,9.366991944611073,0.0
7301,2020,15723,1146,Jakub Jankto,h,ML,1743.0,4.0,3.0,29.0,5.0,0.0,3.238405816257,2.528172597289085,15.0,9.743390046060085,0.0
7421,2020,15735,1146,Jakub Jankto,h,MR,1829.0,4.0,3.0,29.0,5.0,0.0,3.238405816257,2.6965747773647304,15.0,9.91179222613573,0.0
7814,2020,15743,1146,Jakub Jankto,a,ML,1915.0,5.0,3.0,31.0,5.0,0.0,3.7339080199599266,2.7861715406179424,18.0,11.487895600497723,3.0
