,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
814,2020,15453,1492,Jasmin Kurtic,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,2020,15463,1492,Jasmin Kurtic,a,MC,76.0,1.0,0.0,3.0,0.0,0.0,0.7781075835227966,0.0,3.0,2.33432275056839,3.0
1369,2020,15474,1492,Jasmin Kurtic,h,MC,141.0,1.0,0.0,4.0,0.0,0.0,0.9074766337871552,0.0,3.0,2.7224299013614655,0.0
1531,2020,15478,1492,Jasmin Kurtic,a,MC,220.0,1.0,0.0,5.0,0.0,0.0,0.9438945837318896,0.2647354900836944,3.0,3.0964192412793636,0.0
1920,2020,15493,1492,Jasmin Kurtic,h,MC,296.0,1.0,0.0,6.0,0.0,0.0,0.9906790219247339,0.2647354900836944,3.0,3.236772555857897,0.0
2305,2020,15501,1492,Jasmin Kurtic,a,Sub,386.0,1.0,0.0,6.0,0.0,0.0,0.9906790219247339,0.2647354900836944,3.0,3.236772555857897,0.0
2721,2020,15510,1492,Jasmin Kurtic,a,MC,414.0,1.0,0.0,6.0,0.0,0.0,0.9906790219247339,0.2647354900836944,3.0,3.236772555857897,0.0
2857,2020,15520,1492,Jasmin Kurtic,h,MC,504.0,1.0,0.0,6.0,0.0,0.0,0.9906790219247339,0.5838727653026581,3.0,3.5559098310768604,0.0
3302,2020,15532,1492,Jasmin Kurtic,a,MC,594.0,1.0,0.0,7.0,1.0,0.0,1.015932813286781,0.5838727653026581,2.5,3.131671205163002,-0.5
3494,2020,15541,1492,Jasmin Kurtic,h,MC,671.0,2.0,0.0,8.0,1.0,0.0,1.0794831067323682,0.5838727653026581,5.5,3.3223220854997635,3.0
3682,2020,15552,1492,Jasmin Kurtic,h,MC,761.0,2.0,0.0,11.0,1.0,0.0,1.2236630767583845,0.6058665197342634,5.5,3.7768557500094175,0.0
3943,2020,15557,1492,Jasmin Kurtic,a,MC,846.0,2.0,0.0,11.0,1.0,0.0,1.2236630767583845,1.0658851247280836,5.5,4.236874355003238,0.0
4393,2020,15573,1492,Jasmin Kurtic,h,MC,936.0,2.0,0.0,13.0,2.0,0.0,1.2986456006765363,1.0658851247280836,5.0,3.9618219267576933,-0.5
4594,2020,15576,1492,Jasmin Kurtic,a,ML,1026.0,2.0,0.0,16.0,2.0,0.0,1.3863314166665075,1.116433558985591,5.0,4.275427808985114,0.0
4979,2020,15591,1492,Jasmin Kurtic,h,MC,1116.0,2.0,0.0,16.0,2.0,0.0,1.3863314166665075,1.116433558985591,5.0,4.275427808985114,0.0
5364,2020,15604,1492,Jasmin Kurtic,a,MC,1206.0,2.0,0.0,18.0,2.0,0.0,1.4148633386939762,1.1799647193402052,5.0,4.424554735422134,0.0
5771,2020,15612,1492,Jasmin Kurtic,h,MC,1296.0,2.0,0.0,19.0,2.0,0.0,1.441560076549649,1.1799647193402052,5.0,4.504644948989153,0.0
6062,2020,15620,1492,Jasmin Kurtic,a,MC,1386.0,2.0,0.0,20.0,2.0,0.0,1.452846536412835,1.1799647193402052,5.0,4.538504328578711,0.0
6360,2020,15626,1492,Jasmin Kurtic,h,MC,1467.0,2.0,0.0,22.0,2.0,0.0,1.637714037671685,1.1799647193402052,5.0,5.093106832355261,0.0
6705,2020,15643,1492,Jasmin Kurtic,a,MC,1538.0,2.0,0.0,22.0,2.0,0.0,1.637714037671685,1.1930558858439326,5.0,5.106197998858988,0.0
