,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1570,2020,15484,6262,Jens Stryger Larsen,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1836,2020,15494,6262,Jens Stryger Larsen,a,DR,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2370,2020,15504,6262,Jens Stryger Larsen,h,DMR,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539,2020,15511,6262,Jens Stryger Larsen,a,DMR,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151665993034839,0.0,0.0151665993034839,0.0
3085,2020,15535,6262,Jens Stryger Larsen,a,DMR,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151665993034839,0.0,0.0151665993034839,0.0
3323,2020,15544,6262,Jens Stryger Larsen,h,Sub,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151665993034839,0.0,0.0151665993034839,0.0
3784,2020,15548,6262,Jens Stryger Larsen,a,DMR,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151665993034839,0.0,0.0151665993034839,0.0
4204,2020,15564,6262,Jens Stryger Larsen,h,DMR,542.0,0.0,0.0,1.0,0.0,0.0,0.401570200920105,0.0996952168643474,0.0,1.3044058196246624,0.0
4526,2020,15572,6262,Jens Stryger Larsen,a,DMR,632.0,0.0,0.0,2.0,0.0,0.0,0.40903173247352237,0.0996952168643474,0.0,1.3267904142849147,0.0
4619,2020,15577,6262,Jens Stryger Larsen,a,DMR,722.0,0.0,0.0,3.0,0.0,0.0,0.847492499742657,0.0996952168643474,0.0,2.6421727160923183,0.0
5008,2020,15594,6262,Jens Stryger Larsen,h,DML,800.0,0.0,0.0,3.0,0.0,0.0,0.847492499742657,0.0996952168643474,0.0,2.6421727160923183,0.0
5267,2020,15603,6262,Jens Stryger Larsen,a,DMR,874.0,0.0,0.0,5.0,0.0,0.0,1.5471983388997614,0.0996952168643474,0.0,4.741290233563632,0.0
5465,2020,15524,6262,Jens Stryger Larsen,h,DMR,958.0,0.0,0.0,6.0,0.0,0.0,1.5639643804170191,0.0996952168643474,0.0,4.791588358115405,0.0
5586,2020,15614,6262,Jens Stryger Larsen,h,DMR,1048.0,0.0,0.0,7.0,0.0,0.0,1.575076621491462,0.0996952168643474,0.0,4.824925081338733,0.0
5938,2020,15622,6262,Jens Stryger Larsen,a,DMR,1127.0,0.0,0.0,8.0,0.0,0.0,1.6186586287803948,0.0996952168643474,0.0,4.955671103205532,0.0
6326,2020,15635,6262,Jens Stryger Larsen,h,DMR,1217.0,0.0,0.0,8.0,0.0,0.0,1.6186586287803948,0.0996952168643474,0.0,4.955671103205532,0.0
6552,2020,15645,6262,Jens Stryger Larsen,a,DMR,1307.0,0.0,0.0,9.0,0.0,0.0,2.018173721153289,0.6908627264201641,0.0,6.745383889880031,0.0
6891,2020,15654,6262,Jens Stryger Larsen,a,DMR,1370.0,0.0,0.0,9.0,0.0,0.0,2.018173721153289,0.6908627264201641,0.0,6.745383889880031,0.0
7181,2020,15659,6262,Jens Stryger Larsen,h,DML,1460.0,0.0,0.0,9.0,0.0,0.0,2.018173721153289,0.6908627264201641,0.0,6.745383889880031,0.0
7446,2020,15672,6262,Jens Stryger Larsen,a,Sub,1550.0,0.0,0.0,12.0,0.0,0.0,2.371770348865539,0.6908627264201641,0.0,7.806173773016781,0.0
7611,2020,15684,6262,Jens Stryger Larsen,h,DML,1567.0,0.0,0.0,12.0,0.0,0.0,2.371770348865539,0.6908627264201641,0.0,7.806173773016781,0.0
8021,2020,15694,6262,Jens Stryger Larsen,a,DML,1657.0,0.0,0.0,14.0,0.0,0.0,2.433095541317016,0.8129261918365955,0.0,8.112212815787643,0.0
8346,2020,15700,6262,Jens Stryger Larsen,h,DML,1747.0,0.0,0.0,16.0,0.0,0.0,2.484772760886699,1.1296010203659534,0.0,8.58391930302605,0.0
8704,2020,15714,6262,Jens Stryger Larsen,a,Sub,1837.0,0.0,0.0,17.0,0.0,0.0,2.8813143563456833,1.1296010203659534,0.0,9.773544089403003,0.0
8921,2020,15725,6262,Jens Stryger Larsen,h,DML,1868.0,1.0,0.0,18.0,0.0,0.0,3.2884015035815537,1.1296010203659534,3.0,10.994805531110615,3.0
9183,2020,15734,6262,Jens Stryger Larsen,a,DML,1954.0,1.0,0.0,18.0,0.0,0.0,3.2884015035815537,1.1424656035378575,3.0,11.007670114282519,0.0
9567,2020,15738,6262,Jens Stryger Larsen,h,DML,2044.0,1.0,0.0,18.0,0.0,0.0,3.2884015035815537,1.1814309926703572,3.0,11.046635503415018,0.0
9885,2020,15754,6262,Jens Stryger Larsen,a,DML,2133.0,1.0,0.0,19.0,0.0,0.0,3.305355448741466,1.1915194587782025,3.0,11.1075858050026,0.0
10297,2020,15762,6262,Jens Stryger Larsen,h,DML,2207.0,2.0,0.0,20.0,0.0,0.0,3.5520863723941147,1.1915194587782025,6.0,11.847778575960547,3.0
10385,2020,15767,6262,Jens Stryger Larsen,h,DML,2297.0,2.0,0.0,22.0,0.0,0.0,3.633555729407817,1.1915194587782025,6.0,12.092186647001654,0.0
10709,2020,15784,6262,Jens Stryger Larsen,a,DML,2387.0,2.0,0.0,22.0,0.0,0.0,3.633555729407817,1.1915194587782025,6.0,12.092186647001654,0.0
11182,2020,15793,6262,Jens Stryger Larsen,h,DML,2477.0,2.0,0.0,22.0,0.0,0.0,3.633555729407817,1.1915194587782025,6.0,12.092186647001654,0.0
11447,2020,15804,6262,Jens Stryger Larsen,a,MC,2567.0,2.0,0.0,22.0,0.0,0.0,3.633555729407817,1.1915194587782025,6.0,12.092186647001654,0.0
