,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
215,2020,14124,1809,Joaquín Correa,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,2020,15452,1809,Joaquín Correa,h,FW,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,2020,15458,1809,Joaquín Correa,a,FW,161.0,0.0,0.0,2.0,0.0,0.0,0.1887260824441909,0.0,0.0,0.5661782473325729,0.0
1030,2020,15472,1809,Joaquín Correa,h,FW,251.0,0.0,0.0,4.0,0.0,0.0,0.285355433821678,0.0264419969171285,0.0,0.882508298382163,0.0
1338,2020,15483,1809,Joaquín Correa,a,FW,317.0,0.0,0.0,5.0,0.0,0.0,0.3065067790448664,0.4460677262395619,0.0,1.3655880633741617,0.0
1571,2020,15491,1809,Joaquín Correa,h,FW,391.0,0.0,0.0,5.0,0.0,0.0,0.3065067790448664,0.4460677262395619,0.0,1.3655880633741617,0.0
1727,2020,15496,1809,Joaquín Correa,a,FW,481.0,0.0,1.0,8.0,0.0,0.0,0.4617875628173349,0.5958019848912953,1.0,1.9811646733433008,1.0
2041,2020,15511,1809,Joaquín Correa,h,FW,544.0,1.0,1.0,11.0,0.0,0.0,0.6517119370400903,0.5958019848912953,4.0,2.550937796011567,3.0
2509,2020,15531,1809,Joaquín Correa,h,Sub,634.0,1.0,1.0,13.0,0.0,0.0,0.7878924570977686,0.7409827765077351,4.0,3.1046601478010416,0.0
2718,2020,15536,1809,Joaquín Correa,a,FW,658.0,1.0,1.0,13.0,0.0,0.0,0.7878924570977686,0.81861556135118,4.0,3.1822929326444864,0.0
3282,2020,15559,1809,Joaquín Correa,a,FW,748.0,1.0,1.0,14.0,0.0,0.0,0.8453743681311605,0.8809269499033687,4.0,3.417050054296851,0.0
4622,2020,15610,1809,Joaquín Correa,h,FW,779.0,1.0,1.0,15.0,0.0,0.0,0.8946476429700849,0.8809269499033687,4.0,3.5648698788136244,0.0
4838,2020,15618,1809,Joaquín Correa,a,FW,847.0,1.0,2.0,19.0,0.0,0.0,1.1255517750978468,1.3953851889818905,5.0,4.772040514275432,1.0
5152,2020,15627,1809,Joaquín Correa,h,FW,928.0,2.0,2.0,21.0,0.0,0.0,2.044712319970131,1.3953851889818905,8.0,7.529522148892283,3.0
5380,2020,15641,1809,Joaquín Correa,a,FW,1001.0,2.0,2.0,22.0,1.0,0.0,2.102136917412281,1.5157171469181774,8.0,7.322127899155021,0.0
5467,2020,15651,1809,Joaquín Correa,h,FW,1074.0,2.0,2.0,23.0,1.0,0.0,2.1266234312206507,1.5359925124794243,8.0,7.4158628061413765,0.0
5705,2020,15662,1809,Joaquín Correa,a,FW,1129.0,2.0,2.0,24.0,1.0,0.0,2.3783557508140802,1.6310591939836738,8.0,8.266126446425915,0.0
6178,2020,15681,1809,Joaquín Correa,a,FW,1219.0,2.0,2.0,27.0,1.0,0.0,2.523056859150529,1.6310591939836738,8.0,8.70022977143526,0.0
6360,2020,15686,1809,Joaquín Correa,h,FW,1309.0,3.0,2.0,31.0,1.0,0.0,2.8146699611097574,1.727675901725888,11.0,9.67168578505516,3.0
6974,2020,15713,1809,Joaquín Correa,h,FW,1385.0,3.0,2.0,34.0,1.0,0.0,2.9441090766340494,1.727675901725888,11.0,10.060003131628036,0.0
7530,2020,15726,1809,Joaquín Correa,h,FW,1475.0,3.0,3.0,37.0,1.0,1.0,3.869272882118821,2.1260498035699125,12.0,12.733868449926376,1.0
7887,2020,15741,1809,Joaquín Correa,a,FW,1545.0,4.0,3.0,39.0,1.0,1.0,4.70196651853621,2.256078721955418,15.0,15.361978277564049,3.0
8137,2020,15749,1809,Joaquín Correa,h,FW,1635.0,4.0,3.0,41.0,1.0,1.0,4.919154429808259,2.332921469584107,15.0,16.090384759008884,0.0
8238,2020,15760,1809,Joaquín Correa,h,FW,1712.0,6.0,3.0,46.0,1.0,1.0,6.479229951277375,2.332921469584107,21.0,20.770611323416233,6.0
8491,2020,15770,1809,Joaquín Correa,a,FW,1795.0,8.0,3.0,49.0,1.0,1.0,6.76650913991034,2.332921469584107,27.0,21.63244888931513,6.0
8817,2020,15781,1809,Joaquín Correa,h,Sub,1885.0,8.0,3.0,51.0,1.0,1.0,7.253463739529252,2.4808262381702657,27.0,23.241217456758022,0.0
9366,2020,15800,1809,Joaquín Correa,a,FW,1916.0,8.0,3.0,53.0,1.0,1.0,7.353702927008271,2.4808262381702657,27.0,23.54193501919508,0.0
