,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2488,2020,15535,3951,Kevin Bonifazi,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2674,2020,15544,3951,Kevin Bonifazi,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052,2020,15548,3951,Kevin Bonifazi,a,DC,180.0,0.0,0.0,2.0,0.0,0.0,0.1345499455928802,0.0,0.0,0.4036498367786407,0.0
3390,2020,15564,3951,Kevin Bonifazi,h,DC,270.0,0.0,0.0,4.0,0.0,0.0,0.2706986218690871,0.0,0.0,0.8120958656072617,0.0
3646,2020,15572,3951,Kevin Bonifazi,a,DC,337.0,0.0,0.0,4.0,0.0,0.0,0.2706986218690871,0.0,0.0,0.8120958656072617,0.0
3718,2020,15577,3951,Kevin Bonifazi,a,DC,427.0,0.0,0.0,4.0,0.0,0.0,0.2706986218690871,0.0,0.0,0.8120958656072617,0.0
4030,2020,15594,3951,Kevin Bonifazi,h,DC,517.0,0.0,0.0,4.0,0.0,0.0,0.2706986218690871,0.0,0.0,0.8120958656072617,0.0
4237,2020,15603,3951,Kevin Bonifazi,a,DC,607.0,0.0,0.0,5.0,0.0,0.0,0.3265699706971644,0.0,0.0,0.9797099120914936,0.0
4394,2020,15524,3951,Kevin Bonifazi,h,DC,697.0,0.0,0.0,5.0,0.0,0.0,0.3265699706971644,0.0,0.0,0.9797099120914936,0.0
4491,2020,15614,3951,Kevin Bonifazi,h,DC,787.0,0.0,0.0,6.0,1.0,0.0,0.34456126950681193,0.0,0.0,0.5336838085204363,0.0
4776,2020,15622,3951,Kevin Bonifazi,a,DC,851.0,0.0,0.0,6.0,1.0,0.0,0.34456126950681193,0.0,0.0,0.5336838085204363,0.0
5092,2020,15635,3951,Kevin Bonifazi,h,DC,940.0,0.0,0.0,6.0,2.0,0.0,0.34456126950681193,0.0,0.0,0.03368380852043629,0.0
5277,2020,15645,3951,Kevin Bonifazi,a,DC,1030.0,0.0,0.0,8.0,2.0,0.0,0.920824935659766,0.0,0.0,1.7624748069792986,0.0
5552,2020,15654,3951,Kevin Bonifazi,a,DC,1120.0,0.0,0.0,8.0,2.0,0.0,0.920824935659766,0.0,0.0,1.7624748069792986,0.0
5788,2020,15659,3951,Kevin Bonifazi,h,DC,1210.0,0.0,0.0,9.0,2.0,0.0,0.9710007812827823,0.0,0.0,1.9130023438483477,0.0
5995,2020,15672,3951,Kevin Bonifazi,a,DC,1300.0,0.0,0.0,9.0,2.0,0.0,0.9710007812827823,0.0,0.0,1.9130023438483477,0.0
6134,2020,15684,3951,Kevin Bonifazi,h,DC,1390.0,0.0,0.0,9.0,2.0,0.0,0.9710007812827823,0.0,0.0,1.9130023438483477,0.0
6725,2020,15700,3951,Kevin Bonifazi,h,DC,1477.0,0.0,0.0,10.0,2.0,0.0,1.0080590415745971,0.0,0.0,2.024177124723792,0.0
7007,2020,15714,3951,Kevin Bonifazi,a,DC,1567.0,0.0,0.0,10.0,2.0,0.0,1.0080590415745971,0.0,0.0,2.024177124723792,0.0
7196,2020,15725,3951,Kevin Bonifazi,h,DC,1657.0,0.0,0.0,13.0,2.0,0.0,1.084082620218396,0.0,0.0,2.2522478606551886,0.0
7405,2020,15734,3951,Kevin Bonifazi,a,DC,1747.0,0.0,0.0,14.0,2.0,0.0,1.1106495354324577,0.0,0.0,2.3319486062973738,0.0
7723,2020,15738,3951,Kevin Bonifazi,h,DC,1837.0,0.0,0.0,14.0,2.0,0.0,1.1106495354324577,0.0,0.0,2.3319486062973738,0.0
7982,2020,15754,3951,Kevin Bonifazi,a,DC,1927.0,0.0,0.0,15.0,2.0,0.0,1.1234241491183636,0.0,0.0,2.3702724473550916,0.0
8327,2020,15762,3951,Kevin Bonifazi,h,DC,2017.0,0.0,0.0,15.0,2.0,0.0,1.1234241491183636,0.0,0.0,2.3702724473550916,0.0
8397,2020,15767,3951,Kevin Bonifazi,h,DC,2101.0,0.0,0.0,16.0,2.0,0.0,1.180354203097522,0.0,0.0,2.5410626092925668,0.0
8663,2020,15784,3951,Kevin Bonifazi,a,DC,2191.0,0.0,0.0,16.0,2.0,0.0,1.180354203097522,0.0,0.0,2.5410626092925668,0.0
9062,2020,15793,3951,Kevin Bonifazi,h,DC,2281.0,0.0,0.0,16.0,3.0,0.0,1.180354203097522,0.0,0.0,2.0410626092925668,0.0
9276,2020,15804,3951,Kevin Bonifazi,a,DC,2371.0,0.0,0.0,16.0,4.0,0.0,1.180354203097522,0.1646861433982849,0.0,1.7057487526908517,0.0
