,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1112,2020,15474,8165,Lucien Agoume,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2844,2020,15543,8165,Lucien Agoume,h,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0847635641694068,0.0315219424664974,0.0,0.2858126349747181,0.0
3589,2020,15575,8165,Lucien Agoume,h,MC,171.0,0.0,0.0,1.0,1.0,0.0,0.0847635641694068,0.0315219424664974,0.0,-0.2141873650252819,0.0
3873,2020,15582,8165,Lucien Agoume,a,MC,261.0,0.0,0.0,1.0,2.0,0.0,0.0847635641694068,0.0315219424664974,0.0,-0.7141873650252819,0.0
4132,2020,15593,8165,Lucien Agoume,h,MC,351.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.0315219424664974,0.0,-0.6514090672135353,0.0
4217,2020,15605,8165,Lucien Agoume,a,MC,441.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.0315219424664974,0.0,-0.6514090672135353,0.0
4457,2020,15613,8165,Lucien Agoume,a,MC,531.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.0315219424664974,0.0,-0.6514090672135353,0.0
4766,2020,15622,8165,Lucien Agoume,h,MC,621.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.0315219424664974,0.0,-0.6514090672135353,0.0
6990,2020,15713,8165,Lucien Agoume,a,Sub,692.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.10135857388377181,0.0,-0.581572435796261,0.0
9395,2020,15803,8165,Lucien Agoume,h,MC,716.0,0.0,0.0,2.0,2.0,0.0,0.10568966343998899,0.10135857388377181,0.0,-0.581572435796261,0.0
