,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1648,2020,15483,6177,Luiz Felipe,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941,2020,15491,6177,Luiz Felipe,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2748,2020,15523,6177,Luiz Felipe,a,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113684851676225,0.0,0.0113684851676225,0.0
3358,2020,15536,6177,Luiz Felipe,a,DC,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113684851676225,0.0,0.0113684851676225,0.0
3891,2020,15551,6177,Luiz Felipe,h,DC,328.0,0.0,0.0,2.0,1.0,0.0,0.0435073412954807,0.0113684851676225,-0.5,-0.3581094909459353,-0.5
4059,2020,15559,6177,Luiz Felipe,a,DC,413.0,0.0,0.0,3.0,1.0,0.0,0.1204801015555858,0.0113684851676225,-0.5,-0.1271912101656199,0.0
4387,2020,15570,6177,Luiz Felipe,a,Sub,503.0,0.0,0.0,4.0,1.0,0.0,0.1566011458635329,0.0113684851676225,-0.5,-0.018828077241778512,0.0
4660,2020,15580,6177,Luiz Felipe,h,DC,545.0,0.0,0.0,4.0,1.0,0.0,0.1566011458635329,0.0310404319316148,-0.5,0.0008438695222137867,0.0
4989,2020,15591,6177,Luiz Felipe,a,DC,592.0,0.0,0.0,4.0,2.0,0.0,0.1566011458635329,0.42335233278572554,-1.0,-0.10684422962367542,-0.5
5157,2020,15601,6177,Luiz Felipe,h,DC,682.0,0.0,0.0,4.0,2.0,0.0,0.1566011458635329,0.42335233278572554,-1.0,-0.10684422962367542,0.0
10500,2020,15770,6177,Luiz Felipe,a,Sub,753.0,0.0,0.0,4.0,3.0,0.0,0.1566011458635329,0.42335233278572554,-1.5,-0.6068442296236755,-0.5
10888,2020,15781,6177,Luiz Felipe,h,Sub,780.0,0.0,0.0,4.0,4.0,0.0,0.1566011458635329,0.42335233278572554,-2.0,-1.1068442296236753,-0.5
11116,2020,15791,6177,Luiz Felipe,a,Sub,811.0,0.0,0.0,4.0,4.0,0.0,0.1566011458635329,0.42335233278572554,-2.0,-1.1068442296236753,0.0
11304,2020,15671,6177,Luiz Felipe,h,DC,842.0,0.0,0.0,4.0,4.0,0.0,0.1566011458635329,0.42335233278572554,-2.0,-1.1068442296236753,0.0
