,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
295,2020,14125,1383,Manolo Gabbiadini,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2695,2020,15515,1383,Manolo Gabbiadini,a,Sub,5.0,0.0,0.0,1.0,0.0,0.0,0.0429601073265075,0.0,0.0,0.1288803219795227,0.0
2952,2020,15522,1383,Manolo Gabbiadini,h,FW,48.0,0.0,0.0,2.0,0.0,0.0,0.0855444893240928,0.0,0.0,0.2566334679722786,0.0
7417,2020,15669,1383,Manolo Gabbiadini,a,Sub,108.0,0.0,0.0,3.0,0.0,0.0,0.09576860256493079,0.0,0.0,0.2873058076947927,0.0
7795,2020,15679,1383,Manolo Gabbiadini,h,Sub,127.0,0.0,0.0,4.0,0.0,0.0,0.11811228469014148,0.0,0.0,0.3543368540704249,0.0
8056,2020,15692,1383,Manolo Gabbiadini,a,Sub,154.0,1.0,0.0,5.0,1.0,0.0,0.1621960438787935,0.0,2.5,-0.013411868363618962,2.5
8409,2020,15705,1383,Manolo Gabbiadini,h,FW,175.0,1.0,0.0,6.0,1.0,0.0,0.262951139360666,0.0526443347334861,2.5,0.34149775281548483,0.0
8516,2020,15712,1383,Manolo Gabbiadini,a,FW,242.0,1.0,1.0,6.0,1.0,0.0,0.262951139360666,0.5547343119978904,3.5,0.8435877300798891,1.0
9049,2020,15723,1383,Manolo Gabbiadini,h,FW,305.0,1.0,1.0,7.0,1.0,0.0,0.2996166869997975,0.5547343119978904,3.5,0.9535843729972837,0.0
9204,2020,15735,1383,Manolo Gabbiadini,h,Sub,395.0,1.0,1.0,13.0,1.0,0.0,0.6791235730051991,0.5547343119978904,3.5,2.0921050310134888,0.0
9677,2020,15743,1383,Manolo Gabbiadini,a,FW,439.0,2.0,1.0,17.0,1.0,0.0,1.6448288485407827,0.5547343119978904,6.5,4.989220857620239,3.0
9859,2020,15752,1383,Manolo Gabbiadini,a,FW,529.0,2.0,2.0,18.0,1.0,0.0,1.7304520606994627,1.5478399023413656,7.5,6.2391960844397545,1.0
10331,2020,15764,1383,Manolo Gabbiadini,h,FW,593.0,2.0,2.0,19.0,1.0,0.0,1.8575436919927595,1.6506565213203428,7.5,6.723287597298622,0.0
10946,2020,15783,1383,Manolo Gabbiadini,h,FW,667.0,2.0,2.0,20.0,1.0,0.0,1.9325213506817815,1.6506565213203428,7.5,6.948220573365688,0.0
11201,2020,15793,1383,Manolo Gabbiadini,a,FW,730.0,2.0,2.0,22.0,1.0,0.0,2.3583312407135963,1.6695007402449844,7.5,8.244494462385774,0.0
11402,2020,15802,1383,Manolo Gabbiadini,h,FW,805.0,2.0,2.0,26.0,1.0,0.0,2.446990802884102,1.718311561271548,7.5,8.559283969923854,0.0
