,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
369,2020,14131,6324,Marash Kumbulla,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,2020,15449,6324,Marash Kumbulla,a,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
1185,2020,15473,6324,Marash Kumbulla,a,DC,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
2330,2020,15521,6324,Marash Kumbulla,h,DC,270.0,1.0,0.0,1.0,1.0,0.0,0.6614295244216919,0.0,3.0,1.484288573265076,3.0
2592,2020,15527,6324,Marash Kumbulla,a,DC,360.0,1.0,0.0,1.0,1.0,0.0,0.6614295244216919,0.0,3.0,1.484288573265076,0.0
2901,2020,15542,6324,Marash Kumbulla,h,Sub,429.0,1.0,0.0,1.0,1.0,0.0,0.6614295244216919,0.0,3.0,1.484288573265076,0.0
3312,2020,15561,6324,Marash Kumbulla,h,DC,472.0,1.0,0.0,2.0,1.0,0.0,0.6841190084815025,0.3958200514316559,3.0,1.9481770768761637,0.0
3752,2020,15579,6324,Marash Kumbulla,a,Sub,537.0,1.0,0.0,3.0,2.0,0.0,0.7367682196199893,0.4211038053035736,3.0,1.631408464163542,0.0
4443,2020,15613,6324,Marash Kumbulla,h,DC,562.0,1.0,0.0,3.0,2.0,0.0,0.7367682196199893,0.4211038053035736,3.0,1.631408464163542,0.0
4899,2020,15623,6324,Marash Kumbulla,h,Sub,652.0,1.0,0.0,3.0,2.0,0.0,0.7367682196199893,0.4211038053035736,3.0,1.631408464163542,0.0
5006,2020,15631,6324,Marash Kumbulla,a,DC,731.0,1.0,0.0,3.0,3.0,0.0,0.7367682196199893,0.4211038053035736,3.0,1.131408464163542,0.0
5946,2020,15668,6324,Marash Kumbulla,a,DC,821.0,1.0,0.0,3.0,4.0,0.0,0.7367682196199893,0.4211038053035736,3.0,0.631408464163542,0.0
6534,2020,15691,6324,Marash Kumbulla,a,DC,905.0,1.0,0.0,3.0,5.0,0.0,0.7367682196199893,0.4211038053035736,3.0,0.13140846416354202,0.0
8361,2020,15764,6324,Marash Kumbulla,a,DC,965.0,1.0,0.0,3.0,5.0,0.0,0.7367682196199893,0.46160576865077013,3.0,0.1719104275107385,0.0
8605,2020,15769,6324,Marash Kumbulla,h,DC,1030.0,1.0,0.0,4.0,6.0,0.0,0.7568493355065583,0.46160576865077013,3.0,-0.26784622482955434,0.0
8847,2020,15782,6324,Marash Kumbulla,a,DC,1120.0,1.0,0.0,5.0,6.0,0.0,0.8370230142027139,0.46160576865077013,3.0,-0.027325188741087747,0.0
8996,2020,15791,6324,Marash Kumbulla,h,Sub,1210.0,1.0,0.0,5.0,7.0,0.0,0.8370230142027139,0.46160576865077013,3.0,-0.5273251887410877,0.0
9406,2020,15803,6324,Marash Kumbulla,a,DC,1263.0,1.0,0.0,6.0,7.0,0.0,0.8511868631467222,0.46160576865077013,3.0,-0.4848336419090627,0.0
