,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
103,2020,14119,1577,Marko Pjaca,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,2020,14128,1577,Marko Pjaca,a,FW,21.0,1.0,0.0,1.0,0.0,0.0,0.3059069216251373,0.3235947787761688,3.0,1.2413155436515808,3.0
1245,2020,15470,1577,Marko Pjaca,h,FW,93.0,1.0,0.0,1.0,0.0,0.0,0.3059069216251373,0.34798338264226913,3.0,1.2657041475176811,0.0
1752,2020,15481,1577,Marko Pjaca,a,Sub,158.0,1.0,0.0,1.0,0.0,0.0,0.3059069216251373,0.36083417851477856,3.0,1.2785549433901906,0.0
1797,2020,15448,1577,Marko Pjaca,h,AMC,175.0,1.0,0.0,2.0,0.0,0.0,0.33205649815499766,0.36083417851477856,3.0,1.357003672979772,0.0
2010,2020,15490,1577,Marko Pjaca,h,AMC,245.0,1.0,0.0,4.0,0.0,0.0,0.5298483874648807,0.43876006174832577,3.0,2.0283052241429687,0.0
2712,2020,15510,1577,Marko Pjaca,h,Sub,308.0,2.0,0.0,5.0,0.0,0.0,0.8897187914699314,0.47246714029461134,6.0,3.1416235147044063,3.0
3000,2020,15517,1577,Marko Pjaca,a,Sub,315.0,2.0,0.0,5.0,0.0,0.0,0.8897187914699314,0.47246714029461134,6.0,3.1416235147044063,0.0
3261,2020,15530,1577,Marko Pjaca,h,FW,338.0,3.0,0.0,7.0,0.0,0.0,1.2235003020614383,0.9425206640735267,9.0,4.6130215702578425,3.0
3437,2020,15538,1577,Marko Pjaca,h,ML,412.0,3.0,0.0,7.0,0.0,0.0,1.2235003020614383,0.9635514887049792,9.0,4.634052394889295,0.0
3757,2020,15547,1577,Marko Pjaca,a,ML,481.0,3.0,0.0,7.0,0.0,0.0,1.2235003020614383,1.0547683136537669,9.0,4.725269219838083,0.0
4195,2020,15563,1577,Marko Pjaca,a,Sub,571.0,3.0,0.0,9.0,0.0,0.0,1.270261639729142,1.0547683136537669,9.0,4.865553232841194,0.0
4366,2020,15570,1577,Marko Pjaca,h,FW,577.0,3.0,0.0,9.0,0.0,0.0,1.270261639729142,1.0547683136537669,9.0,4.865553232841194,0.0
4748,2020,15584,1577,Marko Pjaca,a,Sub,625.0,3.0,0.0,11.0,0.0,0.0,1.3757123891264198,1.0547683136537669,9.0,5.181905481033027,0.0
4892,2020,15588,1577,Marko Pjaca,h,Sub,656.0,3.0,0.0,11.0,0.0,0.0,1.3757123891264198,1.0547683136537669,9.0,5.181905481033027,0.0
5396,2020,15596,1577,Marko Pjaca,a,FW,665.0,3.0,0.0,11.0,0.0,0.0,1.3757123891264198,1.0547683136537669,9.0,5.181905481033027,0.0
5686,2020,15608,1577,Marko Pjaca,h,Sub,733.0,3.0,0.0,13.0,0.0,0.0,1.5238367710262535,1.3773572044447062,9.0,5.9488675175234675,0.0
5978,2020,15616,1577,Marko Pjaca,a,Sub,746.0,3.0,0.0,13.0,0.0,0.0,1.5238367710262535,1.980303128249943,9.0,6.551813441328704,0.0
6475,2020,15639,1577,Marko Pjaca,a,Sub,773.0,3.0,0.0,14.0,0.0,0.0,1.6319044549018142,1.980303128249943,9.0,6.876016492955387,0.0
6818,2020,15655,1577,Marko Pjaca,h,FW,785.0,3.0,0.0,15.0,0.0,0.0,1.6729593407362697,1.980303128249943,9.0,6.999181150458753,0.0
7231,2020,15660,1577,Marko Pjaca,a,FW,842.0,3.0,0.0,17.0,0.0,0.0,1.8189330529421566,1.980303128249943,9.0,7.437102287076414,0.0
7403,2020,15669,1577,Marko Pjaca,h,Sub,932.0,3.0,0.0,17.0,0.0,0.0,1.8189330529421566,1.980303128249943,9.0,7.437102287076414,0.0
7693,2020,15680,1577,Marko Pjaca,a,FW,940.0,3.0,0.0,18.0,0.0,0.0,1.8486652374267576,1.980303128249943,9.0,7.526298840530217,0.0
8014,2020,15694,1577,Marko Pjaca,h,Sub,986.0,3.0,0.0,18.0,0.0,0.0,1.8486652374267576,1.980303128249943,9.0,7.526298840530217,0.0
8246,2020,15699,1577,Marko Pjaca,a,Sub,987.0,3.0,0.0,18.0,0.0,0.0,1.8486652374267576,2.0529203685000534,9.0,7.598916080780327,0.0
8567,2020,15707,1577,Marko Pjaca,h,Sub,1030.0,3.0,1.0,18.0,0.0,0.0,1.8486652374267576,2.067678708583116,10.0,7.61367442086339,1.0
9004,2020,15720,1577,Marko Pjaca,a,Sub,1050.0,3.0,1.0,18.0,0.0,0.0,1.8486652374267576,2.067678708583116,10.0,7.61367442086339,0.0
9315,2020,15728,1577,Marko Pjaca,a,Sub,1094.0,3.0,1.0,20.0,0.0,0.0,2.2969458103179927,2.067678708583116,10.0,8.958516139537096,0.0
9542,2020,15737,1577,Marko Pjaca,h,Sub,1126.0,3.0,1.0,24.0,0.0,0.0,2.51309023797512,2.067678708583116,10.0,9.606949422508478,0.0
9779,2020,15753,1577,Marko Pjaca,h,MC,1144.0,3.0,1.0,25.0,0.0,0.0,2.5479268617928024,2.067678708583116,10.0,9.711459293961525,0.0
