,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
45,2020,14117,1958,Mattia Zaccagni,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,2020,14129,1958,Mattia Zaccagni,h,AMC,41.0,0.0,0.0,1.0,0.0,0.0,0.0277896765619516,0.0,0.0,0.0833690296858549,0.0
830,2020,15453,1958,Mattia Zaccagni,a,AMC,120.0,0.0,0.0,2.0,0.0,0.0,0.1502665448933839,0.0,0.0,0.45079963468015194,0.0
1157,2020,15465,1958,Mattia Zaccagni,h,Sub,180.0,0.0,0.0,2.0,0.0,0.0,0.1502665448933839,0.0,0.0,0.45079963468015194,0.0
1448,2020,15471,1958,Mattia Zaccagni,a,FWL,188.0,0.0,0.0,2.0,0.0,0.0,0.1502665448933839,0.0,0.0,0.45079963468015194,0.0
1765,2020,15485,1958,Mattia Zaccagni,h,AMC,278.0,0.0,1.0,3.0,0.0,0.0,0.1697466261684893,0.3437660634517669,1.0,0.8530059419572353,1.0
2114,2020,15492,1958,Mattia Zaccagni,a,AMC,368.0,0.0,2.0,5.0,1.0,0.0,0.2492302469909189,1.8125786483287811,1.5,2.0602693893015385,0.5
2343,2020,15505,1958,Mattia Zaccagni,h,ML,458.0,1.0,2.0,6.0,1.0,0.0,0.29446870088577237,2.7589904367923737,4.5,3.1423965394496918,3.0
2512,2020,15506,1958,Mattia Zaccagni,a,AMC,548.0,1.0,2.0,8.0,1.0,0.0,0.3656113967299458,3.4306754767894745,4.5,4.027509666979313,0.0
2831,2020,15525,1958,Mattia Zaccagni,h,AMC,638.0,2.0,2.0,9.0,1.0,0.0,0.6653930470347401,3.4306754767894745,7.5,4.926854617893696,3.0
3122,2020,15531,1958,Mattia Zaccagni,a,AML,705.0,3.0,2.0,10.0,1.0,0.0,1.2134925052523609,3.4306754767894745,10.5,6.571152992546558,3.0
3559,2020,15545,1958,Mattia Zaccagni,h,AMC,793.0,3.0,2.0,11.0,1.0,0.0,1.4954311475157733,3.4743195436894894,10.5,7.460612986236811,0.0
3636,2020,15549,1958,Mattia Zaccagni,a,AMC,883.0,4.0,2.0,12.0,1.0,0.0,2.256690047681331,3.562864560633898,13.5,9.832934703677893,3.0
3991,2020,15565,1958,Mattia Zaccagni,h,AMC,964.0,4.0,2.0,13.0,1.0,0.0,2.2954309135675426,3.562864560633898,13.5,9.949157301336527,0.0
4470,2020,15575,1958,Mattia Zaccagni,a,AMC,1020.0,4.0,2.0,13.0,2.0,0.0,2.2954309135675426,3.652848284691572,13.0,9.539141025394201,-0.5
4778,2020,15585,1958,Mattia Zaccagni,a,AMC,1108.0,5.0,2.0,16.0,2.0,0.0,2.434084221720695,3.6858513802289963,16.0,9.988104045391083,3.0
5042,2020,15595,1958,Mattia Zaccagni,h,AMC,1193.0,5.0,3.0,17.0,2.0,0.0,2.459128743037581,3.718780267983675,17.0,10.09616649709642,1.0
5210,2020,15597,1958,Mattia Zaccagni,a,AMC,1269.0,5.0,4.0,18.0,2.0,0.0,2.4790754523128267,3.7885205559432507,18.0,10.225746912881732,1.0
5713,2020,15615,1958,Mattia Zaccagni,h,AMC,1359.0,5.0,4.0,19.0,3.0,0.0,2.5438107978552575,3.7885205559432507,17.5,9.919952949509025,-0.5
6097,2020,15623,1958,Mattia Zaccagni,a,AMC,1444.0,6.0,5.0,21.0,4.0,0.0,3.1841327678412195,4.170613866299391,21.0,11.72301216982305,3.5
6346,2020,15635,1958,Mattia Zaccagni,a,AMC,1503.0,6.0,5.0,21.0,4.0,0.0,3.1841327678412195,4.170613866299391,21.0,11.72301216982305,0.0
6833,2020,15655,1958,Mattia Zaccagni,a,AMC,1579.0,6.0,5.0,21.0,5.0,0.0,3.1841327678412195,4.256969068199396,20.5,11.309367371723056,-0.5
7098,2020,15661,1958,Mattia Zaccagni,h,AMC,1663.0,6.0,5.0,23.0,5.0,0.0,3.318594856187701,4.59414217248559,20.5,12.049926741048694,0.0
7475,2020,15673,1958,Mattia Zaccagni,a,AMC,1748.0,6.0,5.0,23.0,5.0,0.0,3.318594856187701,4.702702064067125,20.5,12.158486632630229,0.0
7707,2020,15682,1958,Mattia Zaccagni,h,AMC,1828.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,4.9255709387362,20.5,12.497706661000848,0.0
7963,2020,15695,1958,Mattia Zaccagni,a,AMC,1882.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,4.9255709387362,20.5,12.497706661000848,0.0
8318,2020,15696,1958,Mattia Zaccagni,h,AMC,1967.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,4.99377154186368,20.5,12.565907264128327,0.0
8731,2020,15715,1958,Mattia Zaccagni,a,AMC,2057.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,4.99377154186368,20.5,12.565907264128327,0.0
9016,2020,15721,1958,Mattia Zaccagni,h,AMC,2135.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,4.99377154186368,20.5,12.565907264128327,0.0
9215,2020,15735,1958,Mattia Zaccagni,a,AMC,2212.0,6.0,5.0,24.0,5.0,0.0,3.3573785740882154,5.040431838482618,20.5,12.612567560747266,0.0
9484,2020,15739,1958,Mattia Zaccagni,h,Sub,2270.0,6.0,5.0,26.0,5.0,0.0,3.614275904372334,5.06654398329556,20.5,13.409371696412563,0.0
10090,2020,15765,1958,Mattia Zaccagni,h,AMC,2289.0,6.0,5.0,26.0,5.0,0.0,3.614275904372334,5.06654398329556,20.5,13.409371696412563,0.0
10606,2020,15775,1958,Mattia Zaccagni,h,AMC,2350.0,6.0,5.0,26.0,6.0,0.0,3.614275904372334,5.06654398329556,20.0,12.909371696412563,-0.5
10987,2020,15785,1958,Mattia Zaccagni,a,AMC,2409.0,6.0,5.0,28.0,6.0,0.0,3.7258800286799665,5.585057960823178,20.0,13.762698046863079,0.0
11279,2020,15787,1958,Mattia Zaccagni,h,AMC,2480.0,6.0,5.0,30.0,6.0,0.0,3.8161772135645147,5.69108165986836,20.0,14.139613300561905,0.0
11636,2020,15805,1958,Mattia Zaccagni,a,AMC,2566.0,6.0,5.0,31.0,6.0,0.0,4.105168426409363,5.765667015686631,20.0,15.081172294914722,0.0
