,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
612,2020,15451,6974,Mattias Svanberg,a,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,2020,15460,6974,Mattias Svanberg,h,MC,81.0,0.0,0.0,3.0,1.0,0.0,0.0413965992629528,0.4334787428379059,0.0,0.0576685406267643,0.0
1038,2020,15472,6974,Mattias Svanberg,a,DMC,148.0,1.0,0.0,5.0,2.0,0.0,0.3270390443503856,0.4816496036946773,3.0,0.4627667367458343,3.0
1248,2020,15476,6974,Mattias Svanberg,h,DMC,223.0,1.0,0.0,8.0,3.0,0.0,0.3995047397911548,0.4816496036946773,3.0,0.18016382306814188,0.0
1671,2020,15488,6974,Mattias Svanberg,h,Sub,306.0,1.0,1.0,12.0,3.0,0.0,0.4835243560373782,0.5084243919700383,4.0,0.4589974600821733,1.0
1877,2020,15502,6974,Mattias Svanberg,a,MC,334.0,1.0,1.0,13.0,3.0,0.0,0.5264221541583536,0.5084243919700383,4.0,0.5876908544450997,0.0
2064,2020,15508,6974,Mattias Svanberg,h,DMC,403.0,1.0,1.0,13.0,3.0,0.0,0.5264221541583536,0.9853294696658847,4.0,1.0645959321409462,0.0
2275,2020,15518,6974,Mattias Svanberg,a,MC,481.0,1.0,1.0,13.0,3.0,0.0,0.5264221541583536,0.9853294696658847,4.0,1.0645959321409462,0.0
2580,2020,15527,6974,Mattias Svanberg,h,DMC,544.0,1.0,1.0,15.0,3.0,0.0,0.6157000847160814,1.0321704503148792,4.0,1.379270704463124,0.0
2862,2020,15543,6974,Mattias Svanberg,a,Sub,592.0,1.0,1.0,16.0,3.0,0.0,0.6324189286679027,1.0321704503148792,4.0,1.429427236318588,0.0
3009,2020,15555,6974,Mattias Svanberg,a,DMC,627.0,1.0,1.0,16.0,3.0,0.0,0.6324189286679027,1.0321704503148792,4.0,1.429427236318588,0.0
3249,2020,15556,6974,Mattias Svanberg,h,Sub,705.0,1.0,1.0,19.0,4.0,0.0,0.7901800852268931,1.0321704503148792,4.0,1.4027107059955595,0.0
3710,2020,15577,6974,Mattias Svanberg,h,DMC,729.0,1.0,1.0,20.0,4.0,0.0,0.8167001139372583,1.0321704503148792,4.0,1.4822707921266554,0.0
4186,2020,15597,6974,Mattias Svanberg,h,Sub,777.0,2.0,1.0,24.0,4.0,1.0,1.294170273467898,1.344229346141219,7.0,2.7267401665449142,3.0
4554,2020,15609,6974,Mattias Svanberg,a,DMC,792.0,2.0,1.0,25.0,4.0,1.0,1.7859173547476526,1.344229346141219,7.0,4.201981410384178,0.0
4696,2020,15619,6974,Mattias Svanberg,h,Sub,858.0,2.0,1.0,26.0,4.0,1.0,1.8007418401539321,1.344229346141219,7.0,4.246454866603017,0.0
5135,2020,15626,6974,Mattias Svanberg,a,DMC,881.0,2.0,1.0,27.0,4.0,1.0,1.8701912425458427,1.344229346141219,7.0,4.4548030737787485,0.0
5529,2020,15646,6974,Mattias Svanberg,a,DMC,948.0,2.0,1.0,29.0,5.0,1.0,1.9339522086083885,1.344229346141219,7.0,4.146085971966386,0.0
5689,2020,15662,6974,Mattias Svanberg,h,DMC,981.0,2.0,1.0,30.0,5.0,1.0,1.9685472957789893,1.344229346141219,7.0,4.2498712334781885,0.0
6048,2020,15674,6974,Mattias Svanberg,a,DMC,1055.0,2.0,1.0,33.0,5.0,1.0,2.0751219801604743,1.3836200069636104,7.0,4.608985947445035,0.0
6319,2020,15678,6974,Mattias Svanberg,a,DMC,1131.0,2.0,1.0,36.0,5.0,1.0,2.1990681104362007,1.4078833386301992,7.0,5.005087669938803,0.0
6476,2020,15692,6974,Mattias Svanberg,h,DMC,1208.0,2.0,1.0,39.0,5.0,1.0,2.320573668926954,1.417295068502426,7.0,5.379016075283289,0.0
6664,2020,15697,6974,Mattias Svanberg,a,DMC,1292.0,3.0,2.0,42.0,5.0,1.0,2.8286133818328376,2.015406459569931,11.0,7.501246605068445,4.0
7083,2020,15708,6974,Mattias Svanberg,h,Sub,1339.0,3.0,2.0,43.0,5.0,1.0,2.8864287622272964,2.015406459569931,11.0,7.6746927462518215,0.0
7334,2020,15717,6974,Mattias Svanberg,a,DMC,1358.0,3.0,2.0,44.0,5.0,1.0,3.155995804816484,2.015406459569931,11.0,8.483393874019384,0.0
7580,2020,15733,6974,Mattias Svanberg,h,DMC,1427.0,3.0,2.0,46.0,5.0,1.0,3.7392863817512985,2.015406459569931,11.0,10.233265604823828,0.0
7828,2020,15745,6974,Mattias Svanberg,h,Sub,1494.0,5.0,2.0,49.0,5.0,1.0,4.8738185949623585,2.5797281563282013,17.0,14.201183941215277,6.0
8094,2020,15746,6974,Mattias Svanberg,a,MC,1524.0,5.0,2.0,50.0,5.0,1.0,4.89849460683763,2.5797281563282013,17.0,14.275211976841092,0.0
8310,2020,15759,6974,Mattias Svanberg,h,MC,1588.0,5.0,2.0,51.0,5.0,1.0,4.931123500689864,2.593579118140042,17.0,14.386949620209634,0.0
8418,2020,15767,6974,Mattias Svanberg,a,Sub,1678.0,5.0,2.0,51.0,6.0,1.0,4.931123500689864,2.654709071852267,17.0,13.94807957392186,0.0
8734,2020,15778,6974,Mattias Svanberg,h,DMC,1706.0,5.0,2.0,52.0,6.0,1.0,4.946934141218662,2.654709071852267,17.0,13.995511495508254,0.0
9318,2020,15799,6974,Mattias Svanberg,h,DMC,1777.0,5.0,2.0,54.0,6.0,1.0,5.044136844575405,2.654709071852267,17.0,14.287119605578482,0.0
