,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
37,2020,14117,1098,Miguel Veloso,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,2020,14129,1098,Miguel Veloso,h,MC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2349,2020,15505,1098,Miguel Veloso,h,Sub,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2515,2020,15506,1098,Miguel Veloso,a,Sub,200.0,0.0,0.0,1.0,0.0,0.0,0.0663908794522285,0.0143067361786961,0.0,0.2134793745353818,0.0
2828,2020,15525,1098,Miguel Veloso,h,MC,243.0,1.0,1.0,3.0,1.0,0.0,0.846461720764637,0.3140883864834904,3.5,2.353473548777402,3.5
3119,2020,15531,1098,Miguel Veloso,a,DMC,333.0,1.0,1.0,3.0,1.0,0.0,0.846461720764637,0.3250714018940924,3.5,2.364456564188004,0.0
3557,2020,15545,1098,Miguel Veloso,h,MC,423.0,1.0,1.0,3.0,1.0,0.0,0.846461720764637,0.4570906832814215,3.5,2.496475845575333,0.0
3635,2020,15549,1098,Miguel Veloso,a,MC,485.0,1.0,1.0,5.0,1.0,0.0,0.8862958066165447,0.4570906832814215,3.5,2.6159781031310563,0.0
3988,2020,15565,1098,Miguel Veloso,h,MC,575.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4570906832814215,6.5,4.899874608963728,3.0
4468,2020,15575,1098,Miguel Veloso,a,MC,665.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4851464871317146,6.5,4.927930412814021,0.0
4776,2020,15585,1098,Miguel Veloso,a,MC,755.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4851464871317146,6.5,4.927930412814021,0.0
6697,2020,15643,1098,Miguel Veloso,h,Sub,779.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4973503882065413,6.5,4.940134313888848,0.0
6836,2020,15655,1098,Miguel Veloso,a,Sub,780.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4973503882065413,6.5,4.940134313888848,0.0
7102,2020,15661,1098,Miguel Veloso,h,Sub,786.0,2.0,1.0,6.0,1.0,0.0,1.647594641894102,0.4973503882065413,6.5,4.940134313888848,0.0
7472,2020,15673,1098,Miguel Veloso,a,MC,829.0,2.0,1.0,8.0,1.0,0.0,1.6952571086585522,0.5612693810835478,6.5,5.147040707059205,0.0
7705,2020,15682,1098,Miguel Veloso,h,MC,919.0,2.0,1.0,8.0,1.0,0.0,1.6952571086585522,0.5790410982444879,6.5,5.164812424220145,0.0
7961,2020,15695,1098,Miguel Veloso,a,MC,976.0,2.0,1.0,8.0,1.0,0.0,1.6952571086585522,0.5790410982444879,6.5,5.164812424220145,0.0
8315,2020,15696,1098,Miguel Veloso,h,MC,1066.0,2.0,1.0,8.0,1.0,0.0,1.6952571086585522,0.6009958377107975,6.5,5.186767163686454,0.0
8728,2020,15715,1098,Miguel Veloso,a,MC,1113.0,2.0,1.0,9.0,1.0,0.0,1.7073262091726065,0.6009958377107975,6.5,5.222974465228617,0.0
9015,2020,15721,1098,Miguel Veloso,h,MC,1203.0,2.0,2.0,11.0,1.0,0.0,1.7533491384238005,0.6269579427316782,7.5,5.38700535800308,1.0
11284,2020,15787,1098,Miguel Veloso,h,Sub,1273.0,2.0,2.0,11.0,1.0,0.0,1.7533491384238005,0.6269579427316782,7.5,5.38700535800308,0.0
