,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
182,2020,14121,8859,Mikkel Damsgaard,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,2020,15446,8859,Mikkel Damsgaard,a,ML,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,2020,15458,8859,Mikkel Damsgaard,h,Sub,90.0,0.0,0.0,2.0,0.0,0.0,0.1697029620409011,0.025809084996581,0.0,0.5349179711192846,0.0
1229,2020,15466,8859,Mikkel Damsgaard,a,ML,112.0,1.0,0.0,4.0,0.0,0.0,0.6780859977006911,0.025809084996581,3.0,2.0600670780986547,3.0
1733,2020,15481,8859,Mikkel Damsgaard,h,ML,186.0,1.0,1.0,4.0,0.0,0.0,0.6780859977006911,0.1247100513428448,4.0,2.1589680444449186,1.0
1875,2020,15489,8859,Mikkel Damsgaard,a,Sub,260.0,1.0,1.0,5.0,0.0,0.0,1.0023900121450424,0.2954620551317928,4.0,3.3026320915669203,0.0
2317,2020,15502,8859,Mikkel Damsgaard,h,FWL,308.0,1.0,1.0,5.0,0.0,0.0,1.0023900121450424,0.3182422518730161,4.0,3.3254122883081436,0.0
2693,2020,15515,8859,Mikkel Damsgaard,a,Sub,398.0,1.0,1.0,6.0,0.0,0.0,1.0598873645067215,0.3508786819875237,4.0,3.5305407755076885,0.0
2955,2020,15522,8859,Mikkel Damsgaard,h,Sub,441.0,1.0,1.0,7.0,0.0,0.0,1.0775285102427006,0.393463063985109,4.0,3.626048594713211,0.0
3249,2020,15533,8859,Mikkel Damsgaard,a,Sub,482.0,1.0,2.0,7.0,0.0,0.0,1.0775285102427006,0.4904684908688065,5.0,3.7230540215969086,1.0
3575,2020,15545,8859,Mikkel Damsgaard,a,ML,492.0,1.0,2.0,7.0,0.0,0.0,1.0775285102427006,0.4904684908688065,5.0,3.7230540215969086,0.0
3652,2020,15553,8859,Mikkel Damsgaard,h,ML,582.0,1.0,2.0,9.0,1.0,0.0,1.1312757097184658,0.4904684908688065,4.5,3.3842956200242043,-0.5
4140,2020,15562,8859,Mikkel Damsgaard,h,DMR,672.0,2.0,2.0,11.0,1.0,0.0,2.065913077443838,0.623905766755342,7.5,6.321644999086857,3.0
4443,2020,15574,8859,Mikkel Damsgaard,a,Sub,747.0,2.0,2.0,11.0,1.0,0.0,2.065913077443838,0.623905766755342,7.5,6.321644999086857,0.0
4700,2020,15583,8859,Mikkel Damsgaard,h,FW,774.0,2.0,2.0,11.0,1.0,0.0,2.065913077443838,0.623905766755342,7.5,6.321644999086857,0.0
5150,2020,15593,8859,Mikkel Damsgaard,a,AMC,864.0,2.0,3.0,11.0,1.0,0.0,2.065913077443838,0.7539385147392745,8.5,6.451677747070789,1.0
5255,2020,15603,8859,Mikkel Damsgaard,h,ML,946.0,2.0,3.0,11.0,1.0,0.0,2.065913077443838,0.7539385147392745,8.5,6.451677747070789,0.0
5792,2020,15612,8859,Mikkel Damsgaard,a,Sub,1008.0,2.0,3.0,12.0,1.0,0.0,2.1176966167986393,0.7768680900335307,8.5,6.629957940429449,0.0
5870,2020,15617,8859,Mikkel Damsgaard,h,Sub,1040.0,2.0,3.0,13.0,1.0,0.0,2.4883392490446568,0.8663352653384203,8.5,7.831353012472391,0.0
6286,2020,15632,8859,Mikkel Damsgaard,a,Sub,1066.0,2.0,3.0,13.0,2.0,0.0,2.4883392490446568,0.8663352653384203,8.0,7.331353012472391,-0.5
6600,2020,15638,8859,Mikkel Damsgaard,h,MR,1092.0,2.0,4.0,13.0,2.0,0.0,2.4883392490446568,1.5865190550684924,9.0,8.051536802202463,1.0
6806,2020,15651,8859,Mikkel Damsgaard,a,Sub,1157.0,2.0,4.0,14.0,3.0,0.0,2.501135505735874,1.6464091688394542,8.5,7.649815686047077,-0.5
