,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1086,2020,15467,1792,Mário Rui,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1355,2020,15479,1792,Mário Rui,h,Sub,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7774754166603088,0.0,0.7774754166603088,0.0
1935,2020,15500,1792,Mário Rui,h,DL,109.0,0.0,0.0,1.0,0.0,0.0,0.0184276774525642,0.8649710416793822,0.0,0.920254074037075,0.0
2133,2020,15513,1792,Mário Rui,h,DL,199.0,0.0,0.0,2.0,1.0,0.0,0.034251794219016904,0.8649710416793822,0.0,0.46772642433643347,0.0
2366,2020,15516,1792,Mário Rui,a,DL,289.0,0.0,0.0,2.0,1.0,0.0,0.034251794219016904,0.970909334719181,0.0,0.5736647173762321,0.0
2614,2020,15533,1792,Mário Rui,h,Sub,379.0,0.0,0.0,3.0,1.0,0.0,0.0871004797518252,0.970909334719181,0.0,0.7322107739746571,0.0
2805,2020,15539,1792,Mário Rui,a,DL,409.0,0.0,0.0,3.0,2.0,0.0,0.0871004797518252,0.9915623739361762,0.0,0.25286381319165235,0.0
3151,2020,15551,1792,Mário Rui,a,DL,495.0,0.0,0.0,3.0,2.0,0.0,0.0871004797518252,1.1883340552449224,0.0,0.44963549450039864,0.0
3298,2020,15560,1792,Mário Rui,h,Sub,559.0,0.0,0.0,4.0,2.0,0.0,0.1007417337968944,1.1883340552449224,0.0,0.49055925663560623,0.0
3481,2020,15568,1792,Mário Rui,a,DL,577.0,0.0,0.0,4.0,2.0,0.0,0.1007417337968944,1.3362006619572637,0.0,0.6384258633479476,0.0
3859,2020,15582,1792,Mário Rui,h,DL,665.0,0.0,0.0,6.0,2.0,0.0,0.2130944477394221,1.351755844429135,0.0,0.9910391876474023,0.0
4054,2020,15594,1792,Mário Rui,a,Sub,755.0,0.0,0.0,7.0,2.0,0.0,0.2439783392474053,1.7045738268643615,0.0,1.4365088446065784,0.0
4249,2020,15602,1792,Mário Rui,h,DL,797.0,0.0,1.0,7.0,2.0,0.0,0.2439783392474053,1.9666489232331512,1.0,1.698583940975368,1.0
4870,2020,15620,1792,Mário Rui,h,DL,887.0,0.0,2.0,7.0,2.0,0.0,0.2439783392474053,2.009821413084864,2.0,1.7417564308270812,1.0
5032,2020,15630,1792,Mário Rui,a,DL,964.0,0.0,2.0,7.0,2.0,0.0,0.2439783392474053,2.009821413084864,2.0,1.7417564308270812,0.0
5219,2020,15640,1792,Mário Rui,h,DL,1054.0,0.0,2.0,11.0,3.0,0.0,0.3108982695266602,2.3981410842388864,2.0,1.8308358928188682,0.0
5601,2020,15649,1792,Mário Rui,a,DL,1144.0,0.0,2.0,11.0,3.0,0.0,0.3108982695266602,2.3981410842388864,2.0,1.8308358928188682,0.0
6837,2020,15702,1792,Mário Rui,a,DL,1223.0,0.0,2.0,11.0,3.0,0.0,0.3108982695266602,2.3981410842388864,2.0,1.8308358928188682,0.0
6875,2020,15706,1792,Mário Rui,h,DL,1313.0,0.0,2.0,13.0,3.0,0.0,0.3722787974402306,2.3981410842388864,2.0,2.0149774765595794,0.0
7308,2020,15723,1792,Mário Rui,a,DL,1403.0,0.0,2.0,14.0,3.0,0.0,0.3861930975690481,2.46274503134191,2.0,2.1213243240490556,0.0
7631,2020,15729,1792,Mário Rui,h,DL,1493.0,0.0,2.0,15.0,3.0,0.0,0.40837644692510333,2.491686815395951,2.0,2.2168161561712623,0.0
8441,2020,15772,1792,Mário Rui,a,Sub,1583.0,0.0,2.0,16.0,3.0,0.0,0.45639739092439374,2.603210942819714,2.0,2.472403115592897,0.0
9431,2020,15805,1792,Mário Rui,h,Sub,1602.0,0.0,2.0,17.0,3.0,0.0,0.5351446857675906,2.603210942819714,2.0,2.7086450001224875,0.0
