,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
558,2020,15449,8963,Nahuel Molina,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1138,2020,15469,8963,Nahuel Molina,a,DMR,28.0,0.0,0.0,1.0,0.0,0.0,0.0395134314894676,0.3835143148899078,0.0,0.5020546093583107,0.0
2058,2020,15511,8963,Nahuel Molina,a,Sub,118.0,0.0,0.0,1.0,0.0,0.0,0.0395134314894676,0.4347043856978416,0.0,0.5532446801662445,0.0
2677,2020,15544,8963,Nahuel Molina,h,DMR,147.0,0.0,0.0,1.0,0.0,0.0,0.0395134314894676,0.4347043856978416,0.0,0.5532446801662445,0.0
3656,2020,15572,8963,Nahuel Molina,a,Sub,227.0,0.0,0.0,3.0,0.0,0.0,0.1600793451070785,0.4347043856978416,0.0,0.9149424210190773,0.0
4033,2020,15594,8963,Nahuel Molina,h,DMR,251.0,0.0,0.0,3.0,0.0,0.0,0.1600793451070785,0.4876719899475574,0.0,0.9679100252687931,0.0
5101,2020,15635,8963,Nahuel Molina,h,Sub,341.0,0.0,0.0,4.0,0.0,0.0,0.172600177116692,0.5964979492127894,0.0,1.1142984805628657,0.0
5288,2020,15645,8963,Nahuel Molina,a,Sub,357.0,0.0,1.0,4.0,0.0,0.0,0.172600177116692,0.6690736599266527,1.0,1.186874191276729,1.0
5562,2020,15654,8963,Nahuel Molina,a,Sub,384.0,0.0,1.0,4.0,0.0,0.0,0.172600177116692,0.6690736599266527,1.0,1.186874191276729,0.0
5790,2020,15659,8963,Nahuel Molina,h,DMR,427.0,0.0,1.0,4.0,0.0,0.0,0.172600177116692,0.7928719259798523,1.0,1.3106724573299289,0.0
5996,2020,15672,8963,Nahuel Molina,a,DMR,517.0,0.0,1.0,5.0,0.0,0.0,0.2368020834401249,0.7928719259798523,1.0,1.5032781763002276,0.0
6136,2020,15684,8963,Nahuel Molina,h,DMR,607.0,0.0,1.0,5.0,0.0,0.0,0.2368020834401249,0.9051868654787536,1.0,1.615593115799129,0.0
6463,2020,15694,8963,Nahuel Molina,a,DMR,697.0,0.0,2.0,6.0,0.0,0.0,0.2552113020792602,1.4570030905306335,2.0,2.222636996768415,1.0
6727,2020,15700,8963,Nahuel Molina,h,DMR,787.0,0.0,2.0,6.0,0.0,0.0,0.2552113020792602,1.4905984513461585,2.0,2.25623235758394,0.0
7010,2020,15714,8963,Nahuel Molina,a,DMR,877.0,0.0,2.0,6.0,1.0,0.0,0.2552113020792602,1.4905984513461585,2.0,1.75623235758394,0.0
7199,2020,15725,8963,Nahuel Molina,h,DMR,967.0,0.0,4.0,7.0,1.0,0.0,0.3054624507203696,1.9697598330676551,4.0,2.386147185228765,2.0
7408,2020,15734,8963,Nahuel Molina,a,DMR,1057.0,0.0,4.0,8.0,1.0,0.0,0.7448251256719229,2.0240088589489456,4.0,3.7584842359647155,0.0
7726,2020,15738,8963,Nahuel Molina,h,DMR,1147.0,0.0,4.0,10.0,1.0,0.0,0.8319445336237548,2.07571380585432,4.0,4.0715474067255855,0.0
7984,2020,15754,8963,Nahuel Molina,a,DMR,1237.0,0.0,4.0,11.0,1.0,0.0,0.8742269100621339,2.1225525923073287,4.0,4.245233322493732,0.0
8328,2020,15762,8963,Nahuel Molina,h,DMR,1327.0,1.0,4.0,14.0,1.0,0.0,1.1552857877686615,2.6151440329849716,7.0,5.581001396290958,3.0
8398,2020,15767,8963,Nahuel Molina,h,DMR,1417.0,2.0,4.0,15.0,1.0,0.0,1.2084030704572792,2.6151440329849716,10.0,5.740353244356811,3.0
8666,2020,15784,8963,Nahuel Molina,a,DMR,1507.0,2.0,4.0,15.0,1.0,0.0,1.2084030704572792,2.6151440329849716,10.0,5.740353244356811,0.0
9063,2020,15793,8963,Nahuel Molina,h,DMR,1597.0,2.0,4.0,15.0,1.0,0.0,1.2084030704572792,2.6151440329849716,10.0,5.740353244356811,0.0
9278,2020,15804,8963,Nahuel Molina,a,DMR,1687.0,2.0,4.0,16.0,1.0,0.0,1.2219678014516826,2.6151440329849716,10.0,5.781047437340021,0.0
