,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
129,2020,14120,542,Pedro Obiang,h,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,2020,14127,542,Pedro Obiang,a,DMC,65.0,0.0,0.0,1.0,0.0,0.0,0.0200437903404235,0.0252542681992054,0.0,0.0853856392204761,0.0
662,2020,15447,542,Pedro Obiang,h,Sub,118.0,0.0,0.0,1.0,0.0,0.0,0.0200437903404235,0.0252542681992054,0.0,0.0853856392204761,0.0
1019,2020,15460,542,Pedro Obiang,a,Sub,153.0,0.0,0.0,1.0,0.0,0.0,0.0200437903404235,0.0252542681992054,0.0,0.0853856392204761,0.0
1690,2020,15479,542,Pedro Obiang,a,Sub,160.0,0.0,0.0,2.0,0.0,0.0,0.0789660066366194,0.0252542681992054,0.0,0.262152288109064,0.0
1832,2020,15494,542,Pedro Obiang,h,Sub,168.0,0.0,0.0,2.0,0.0,0.0,0.0789660066366194,0.0252542681992054,0.0,0.262152288109064,0.0
2361,2020,15505,542,Pedro Obiang,a,Sub,169.0,0.0,0.0,2.0,0.0,0.0,0.0789660066366194,0.0252542681992054,0.0,0.262152288109064,0.0
2439,2020,15514,542,Pedro Obiang,h,Sub,177.0,0.0,0.0,2.0,0.0,0.0,0.0789660066366194,0.0252542681992054,0.0,0.262152288109064,0.0
2903,2020,15521,542,Pedro Obiang,a,DMC,207.0,0.0,0.0,2.0,0.0,0.0,0.0789660066366194,0.0252542681992054,0.0,0.262152288109064,0.0
3418,2020,15537,542,Pedro Obiang,a,DMC,294.0,0.0,0.0,2.0,1.0,0.0,0.0789660066366194,0.0514842569828033,-0.5,-0.211617723107338,-0.5
3839,2020,15554,542,Pedro Obiang,h,Sub,375.0,0.0,0.0,3.0,1.0,0.0,0.12224620953202231,0.0946717113256454,-0.5,-0.03858966007828721,0.0
4164,2020,15562,542,Pedro Obiang,a,Sub,376.0,0.0,0.0,4.0,1.0,0.0,0.13640761096030452,0.0946717113256454,-0.5,0.0038945442065594915,0.0
4293,2020,15566,542,Pedro Obiang,a,Sub,405.0,0.0,0.0,4.0,1.0,0.0,0.13640761096030452,0.0946717113256454,-0.5,0.0038945442065594915,0.0
4734,2020,15584,542,Pedro Obiang,h,Sub,439.0,0.0,0.0,4.0,1.0,0.0,0.13640761096030452,0.0946717113256454,-0.5,0.0038945442065594915,0.0
5115,2020,15589,542,Pedro Obiang,a,DMC,453.0,0.0,0.0,4.0,1.0,0.0,0.13640761096030452,0.0946717113256454,-0.5,0.0038945442065594915,0.0
5757,2020,15610,542,Pedro Obiang,a,DMC,498.0,0.0,0.0,5.0,1.0,1.0,0.1538614900782701,0.0946717113256454,-1.0,-0.4437438184395434,-0.5
6032,2020,15621,542,Pedro Obiang,a,DMC,575.0,0.0,0.0,5.0,2.0,1.0,0.1538614900782701,0.0946717113256454,-1.5,-0.9437438184395435,-0.5
6141,2020,15633,542,Pedro Obiang,h,DMC,646.0,0.0,0.0,6.0,3.0,1.0,0.1803313745185729,0.0946717113256454,-2.0,-1.364334165118635,-0.5
6651,2020,15644,542,Pedro Obiang,a,Sub,730.0,0.0,1.0,6.0,3.0,1.0,0.1803313745185729,0.4857058376073837,-1.0,-0.9733000388368966,1.0
7345,2020,15667,542,Pedro Obiang,h,Sub,746.0,0.0,1.0,6.0,3.0,1.0,0.1803313745185729,0.4857058376073837,-1.0,-0.9733000388368966,0.0
7631,2020,15684,542,Pedro Obiang,a,Sub,749.0,0.0,1.0,6.0,3.0,1.0,0.1803313745185729,0.4857058376073837,-1.0,-0.9733000388368966,0.0
7945,2020,15695,542,Pedro Obiang,h,DMC,760.0,0.0,1.0,6.0,3.0,1.0,0.1803313745185729,0.4857058376073837,-1.0,-0.9733000388368966,0.0
8206,2020,15665,542,Pedro Obiang,a,DMC,850.0,0.0,1.0,6.0,3.0,1.0,0.1803313745185729,0.4857058376073837,-1.0,-0.9733000388368966,0.0
