,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
310,2020,14125,1334,Perparim Hetemaj,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,2020,14133,1334,Perparim Hetemaj,h,Sub,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,2020,15451,1334,Perparim Hetemaj,h,MC,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139,2020,15464,1334,Perparim Hetemaj,a,Sub,92.0,0.0,0.0,1.0,0.0,0.0,0.0082245161756873,0.0,0.0,0.0246735485270619,0.0
2236,2020,15497,1334,Perparim Hetemaj,a,MC,96.0,0.0,0.0,1.0,0.0,0.0,0.0082245161756873,0.0396880581974983,0.0,0.0643616067245602,0.0
2464,2020,15507,1334,Perparim Hetemaj,h,MC,186.0,0.0,0.0,2.0,1.0,0.0,0.0172340665012597,0.0512555530294775,-0.5,-0.397042247466743,-0.5
2874,2020,15520,1334,Perparim Hetemaj,a,MC,276.0,0.0,0.0,2.0,1.0,0.0,0.0172340665012597,0.0718572000041603,-0.5,-0.3764406004920602,0.0
3026,2020,15534,1334,Perparim Hetemaj,a,MC,366.0,0.0,0.0,2.0,1.0,0.0,0.0172340665012597,0.0718572000041603,-0.5,-0.3764406004920602,0.0
3345,2020,15536,1334,Perparim Hetemaj,h,MC,412.0,0.0,0.0,2.0,2.0,0.0,0.0172340665012597,0.0718572000041603,-1.0,-0.8764406004920602,-0.5
3740,2020,15547,1334,Perparim Hetemaj,h,MC,493.0,0.0,0.0,2.0,2.0,0.0,0.0172340665012597,0.0718572000041603,-1.0,-0.8764406004920602,0.0
4481,2020,15567,1334,Perparim Hetemaj,h,MC,583.0,0.0,1.0,2.0,2.0,0.0,0.0172340665012597,0.41763280425220717,0.0,-0.5306649962440133,1.0
4560,2020,15578,1334,Perparim Hetemaj,a,MC,632.0,0.0,1.0,3.0,2.0,0.0,0.0365910492837428,0.41763280425220717,0.0,-0.472594047896564,0.0
4860,2020,15586,1334,Perparim Hetemaj,h,Sub,722.0,0.0,1.0,3.0,2.0,0.0,0.0365910492837428,0.41763280425220717,0.0,-0.472594047896564,0.0
5331,2020,15599,1334,Perparim Hetemaj,a,MC,754.0,0.0,1.0,3.0,2.0,0.0,0.0365910492837428,0.41763280425220717,0.0,-0.472594047896564,0.0
5499,2020,15606,1334,Perparim Hetemaj,h,MC,844.0,0.0,1.0,6.0,2.0,0.0,0.194855075329542,0.5125101441517471,0.0,0.0970753701403737,0.0
5909,2020,15624,1334,Perparim Hetemaj,a,MC,934.0,0.0,1.0,7.0,2.0,0.0,0.2923275493085382,0.5125101441517471,0.0,0.3894927920773625,0.0
6438,2020,15637,1334,Perparim Hetemaj,a,MC,1024.0,0.0,1.0,7.0,2.0,0.0,0.2923275493085382,0.5125101441517471,0.0,0.3894927920773625,0.0
6970,2020,15650,1334,Perparim Hetemaj,h,MC,1106.0,0.0,1.0,7.0,2.0,0.0,0.2923275493085382,0.5623483220115302,0.0,0.4393309699371456,0.0
7259,2020,15657,1334,Perparim Hetemaj,a,MC,1185.0,0.0,1.0,7.0,2.0,0.0,0.2923275493085382,0.6002767467871306,0.0,0.477259394712746,0.0
7455,2020,15673,1334,Perparim Hetemaj,h,MC,1275.0,0.0,1.0,7.0,3.0,0.0,0.2923275493085382,0.6002767467871306,-0.5,-0.022740605287254023,-0.5
7599,2020,15677,1334,Perparim Hetemaj,a,MC,1365.0,0.0,1.0,7.0,3.0,0.0,0.2923275493085382,0.6002767467871306,-0.5,-0.022740605287254023,0.0
7976,2020,15687,1334,Perparim Hetemaj,h,MC,1455.0,0.0,1.0,7.0,3.0,0.0,0.2923275493085382,0.6002767467871306,-0.5,-0.022740605287254023,0.0
8392,2020,15704,1334,Perparim Hetemaj,a,MC,1527.0,0.0,1.0,8.0,3.0,0.0,0.34249343723058673,0.9864640319719908,-0.5,0.5139443436637519,0.0
8591,2020,15710,1334,Perparim Hetemaj,h,MC,1612.0,0.0,1.0,8.0,3.0,0.0,0.34249343723058673,0.9864640319719908,-0.5,0.5139443436637519,0.0
9137,2020,15724,1334,Perparim Hetemaj,h,MC,1702.0,0.0,1.0,8.0,4.0,0.0,0.34249343723058673,1.0266438359394667,-1.0,0.05412414763122775,-0.5
9554,2020,15737,1334,Perparim Hetemaj,a,MC,1758.0,0.0,1.0,8.0,4.0,0.0,0.34249343723058673,1.0266438359394667,-1.0,0.05412414763122775,0.0
9872,2020,15754,1334,Perparim Hetemaj,h,MC,1848.0,0.0,1.0,8.0,4.0,0.0,0.34249343723058673,1.0266438359394667,-1.0,0.05412414763122775,0.0
10572,2020,15768,1334,Perparim Hetemaj,h,MC,1908.0,0.0,1.0,9.0,4.0,0.0,0.40649290382862063,1.0266438359394667,-1.0,0.24612254742532944,0.0
10772,2020,15776,1334,Perparim Hetemaj,a,MC,1982.0,0.0,1.0,9.0,4.0,0.0,0.40649290382862063,1.0266438359394667,-1.0,0.24612254742532944,0.0
11152,2020,15789,1334,Perparim Hetemaj,h,MC,2056.0,0.0,1.0,9.0,4.0,0.0,0.40649290382862063,1.0266438359394667,-1.0,0.24612254742532944,0.0
11480,2020,15796,1334,Perparim Hetemaj,a,MC,2146.0,0.0,2.0,11.0,4.0,0.0,0.5434655547142025,1.1065828958526251,0.0,0.7369795599952338,1.0
