,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
324,2020,14126,1251,Radja Nainggolan,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262,2020,15470,1251,Radja Nainggolan,a,Sub,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1523,2020,15478,1251,Radja Nainggolan,h,Sub,23.0,0.0,0.0,1.0,0.0,0.0,0.0171322170644998,0.0,0.0,0.0513966511934995,0.0
2259,2020,15498,1251,Radja Nainggolan,h,Sub,33.0,0.0,0.0,2.0,0.0,0.0,0.033655039966106304,0.0,0.0,0.1009651198983191,0.0
4546,2020,15578,1251,Radja Nainggolan,h,AMC,35.0,0.0,0.0,3.0,0.0,0.0,0.1375932469964026,0.0,0.0,0.4127797409892081,0.0
5085,2020,15587,1251,Radja Nainggolan,a,AMC,119.0,0.0,0.0,8.0,0.0,0.0,0.2322472110390661,0.038854107260704,0.0,0.7355957403779028,0.0
5437,2020,15598,1251,Radja Nainggolan,h,MC,201.0,0.0,0.0,9.0,0.0,0.0,0.2456712787970898,0.15559111535549158,0.0,0.8926049517467616,0.0
5698,2020,15608,1251,Radja Nainggolan,a,AMC,291.0,0.0,0.0,12.0,0.0,0.0,0.31852828618139,0.24211645871400828,0.0,1.197701317258179,0.0
6020,2020,15621,1251,Radja Nainggolan,h,AMC,376.0,0.0,0.0,15.0,0.0,0.0,0.4173352187499401,0.2571410862728953,0.0,1.5091467425227163,0.0
6409,2020,15627,1251,Radja Nainggolan,a,AMC,466.0,0.0,0.0,17.0,1.0,0.0,0.4630546709522602,0.2571410862728953,-0.5,1.1463050991296766,-0.5
6572,2020,15636,1251,Radja Nainggolan,h,AMC,550.0,0.0,0.0,17.0,1.0,0.0,0.4630546709522602,0.2571410862728953,-0.5,1.1463050991296766,0.0
6756,2020,15653,1251,Radja Nainggolan,h,AMC,629.0,0.0,0.0,19.0,1.0,0.0,0.4867462040856477,0.2571410862728953,-0.5,1.2173796985298393,0.0
7170,2020,15658,1251,Radja Nainggolan,a,AMC,708.0,0.0,0.0,22.0,1.0,0.0,0.5700531499460336,0.4059840915724634,-0.5,1.6161435414105652,0.0
7490,2020,15674,1251,Radja Nainggolan,h,AMC,798.0,0.0,0.0,24.0,1.0,0.0,0.6208695592358704,0.45555038284510363,-0.5,1.818159060552716,0.0
7806,2020,15679,1251,Radja Nainggolan,a,MC,888.0,0.0,0.0,27.0,1.0,0.0,0.6857163058593864,0.5104416413232682,-0.5,2.0675905589014287,0.0
8130,2020,15689,1251,Radja Nainggolan,h,MC,978.0,1.0,0.0,29.0,1.0,0.0,0.7210392961278551,0.5104416413232682,2.5,2.1735595297068353,3.0
8300,2020,15698,1251,Radja Nainggolan,a,MC,1068.0,1.0,0.0,33.0,1.0,0.0,0.7907058009877794,0.5104416413232682,2.5,2.3825590442866083,0.0
8712,2020,15715,1251,Radja Nainggolan,h,MC,1158.0,1.0,0.0,34.0,2.0,0.0,0.8239858867600554,0.9499995512887833,2.0,2.421957211568951,-0.5
8969,2020,15718,1251,Radja Nainggolan,a,MC,1248.0,1.0,0.0,35.0,2.0,0.0,0.8381050722673529,1.1136558009311555,2.0,2.627971017733216,0.0
9261,2020,15731,1251,Radja Nainggolan,h,MC,1338.0,1.0,0.0,38.0,3.0,0.0,0.8772241370752447,1.1136558009311555,1.5,2.2453282121568914,-0.5
9585,2020,15738,1251,Radja Nainggolan,a,MC,1428.0,1.0,0.0,42.0,4.0,0.0,0.9967555748298758,1.6116084111854432,1.0,2.6018751356750722,-0.5
10257,2020,15758,1251,Radja Nainggolan,a,MC,1518.0,1.0,0.0,45.0,5.0,0.0,1.112241906113922,1.6116084111854432,0.5,2.4483341295272107,-0.5
10590,2020,15768,1251,Radja Nainggolan,a,AMC,1608.0,1.0,0.0,47.0,5.0,0.0,1.1510234856978052,1.688257980160415,0.5,2.6413284372538324,0.0
10728,2020,15777,1251,Radja Nainggolan,h,AMC,1698.0,1.0,0.0,47.0,5.0,0.0,1.1510234856978052,1.7352158268913624,0.5,2.68828628398478,0.0
11263,2020,15788,1251,Radja Nainggolan,a,AMC,1788.0,1.0,0.0,48.0,5.0,0.0,1.2340063164010637,1.7352158268913624,0.5,2.9372347760945554,0.0
11369,2020,15798,1251,Radja Nainggolan,h,MC,1878.0,1.0,0.0,50.0,5.0,0.0,1.2661555679514997,1.7352158268913624,0.5,3.0336825307458635,0.0
