,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
681,2020,15454,7193,Rafael Leão,h,AML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,2020,15457,7193,Rafael Leão,a,AML,86.0,2.0,0.0,3.0,0.0,0.0,1.5089101791381836,0.0,6.0,4.526730537414551,6.0
1180,2020,15473,7193,Rafael Leão,h,AML,150.0,2.0,1.0,4.0,0.0,0.0,1.5416197553277016,0.4074223935604095,7.0,5.032281659543514,1.0
1287,2020,15484,7193,Rafael Leão,a,AML,222.0,2.0,3.0,4.0,1.0,0.0,1.5416197553277016,1.2613210380077362,9.0,5.386180303990841,2.0
1690,2020,15492,7193,Rafael Leão,h,AML,294.0,2.0,3.0,4.0,1.0,0.0,1.5416197553277016,1.7144276201725006,9.0,5.839286886155605,0.0
2660,2020,15532,7193,Rafael Leão,h,Sub,372.0,2.0,3.0,8.0,1.0,0.0,1.8326574340462685,1.7789536118507385,9.0,6.776925913989544,0.0
2785,2020,15538,7193,Rafael Leão,a,AMR,413.0,2.0,3.0,8.0,1.0,0.0,1.8326574340462685,1.8772798627614975,9.0,6.875252164900303,0.0
3110,2020,15554,7193,Rafael Leão,a,FW,503.0,2.0,3.0,8.0,2.0,0.0,1.8326574340462685,2.156267061829567,9.0,6.654239363968372,0.0
3272,2020,15559,7193,Rafael Leão,h,FW,593.0,3.0,3.0,10.0,2.0,0.0,2.245119847357273,2.1964141614735126,12.0,7.931773703545332,3.0
3631,2020,15567,7193,Rafael Leão,a,FW,676.0,3.0,3.0,12.0,2.0,0.0,2.401174895465374,2.1964141614735126,12.0,8.399938847869635,0.0
3888,2020,15581,7193,Rafael Leão,h,FW,766.0,4.0,3.0,14.0,3.0,0.0,2.4688215851783752,2.635933119803667,15.0,8.542397875338793,3.0
3966,2020,15590,7193,Rafael Leão,h,FW,856.0,4.0,4.0,17.0,3.0,0.0,2.6089240461587906,2.7792770750820637,16.0,9.106049213558435,1.0
4473,2020,15611,7193,Rafael Leão,h,AML,944.0,5.0,4.0,18.0,4.0,0.0,2.9638467878103256,3.1250611133873463,19.0,10.016601476818323,3.0
4705,2020,15619,7193,Rafael Leão,a,AMC,1014.0,5.0,4.0,18.0,4.0,0.0,2.9638467878103256,3.1250611133873463,19.0,10.016601476818323,0.0
5074,2020,15628,7193,Rafael Leão,h,AMC,1087.0,5.0,4.0,21.0,4.0,0.0,3.1232613623142242,3.1250611133873463,19.0,10.494845200330019,0.0
5259,2020,15642,7193,Rafael Leão,a,AML,1149.0,5.0,5.0,24.0,4.0,0.0,3.429821878671646,3.5170471258461475,20.0,11.806512761861086,1.0
5576,2020,15648,7193,Rafael Leão,h,Sub,1213.0,5.0,5.0,24.0,4.0,0.0,3.429821878671646,3.5170471258461475,20.0,11.806512761861086,0.0
5881,2020,15663,7193,Rafael Leão,a,Sub,1235.0,5.0,5.0,24.0,4.0,0.0,3.429821878671646,3.5394663251936436,20.0,11.828931961208582,0.0
5989,2020,15672,7193,Rafael Leão,h,FW,1268.0,5.0,5.0,25.0,4.0,0.0,3.5241998061537743,3.5394663251936436,20.0,12.112065743654966,0.0
6231,2020,15682,7193,Rafael Leão,a,FW,1358.0,5.0,5.0,27.0,4.0,0.0,3.6626438722014427,3.5394663251936436,20.0,12.527397941797972,0.0
6580,2020,15690,7193,Rafael Leão,h,FW,1448.0,5.0,5.0,29.0,4.0,0.0,4.131325893104076,3.691649977117777,20.0,14.085627656430006,0.0
7503,2020,15728,7193,Rafael Leão,h,FW,1528.0,5.0,5.0,33.0,4.0,0.0,5.206652216613293,3.691649977117777,20.0,17.311606626957655,0.0
7683,2020,15744,7193,Rafael Leão,h,FW,1592.0,5.0,5.0,35.0,4.0,0.0,5.329317733645439,3.691649977117777,20.0,17.679603178054094,0.0
8152,2020,15749,7193,Rafael Leão,a,Sub,1682.0,5.0,5.0,38.0,4.0,0.0,5.4972595274448395,3.9856028594076633,20.0,18.477381441742182,0.0
8216,2020,15757,7193,Rafael Leão,h,AML,1708.0,5.0,5.0,38.0,4.0,0.0,5.4972595274448395,4.0304019041359425,20.0,18.52218048647046,0.0
8803,2020,15780,7193,Rafael Leão,a,Sub,1787.0,5.0,5.0,40.0,4.0,0.0,5.949537575244904,4.134232442826033,20.0,19.982845168560743,0.0
9125,2020,15788,7193,Rafael Leão,h,Sub,1805.0,5.0,6.0,40.0,4.0,0.0,5.949537575244904,4.694747667759657,21.0,20.543360393494368,1.0
9388,2020,15801,7193,Rafael Leão,a,FW,1848.0,5.0,6.0,40.0,4.0,0.0,5.949537575244904,4.694747667759657,21.0,20.543360393494368,0.0
