,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
184,2020,14123,1484,Rafael Toloi,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,2020,14135,1484,Rafael Toloi,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,2020,15456,1484,Rafael Toloi,a,DC,180.0,0.0,0.0,1.0,1.0,0.0,0.0163363143801689,0.0,0.0,-0.4509910568594932,0.0
977,2020,15466,1484,Rafael Toloi,h,Sub,270.0,0.0,0.0,2.0,2.0,0.0,0.0425755865871906,0.0165308248251676,0.0,-0.8557424154132605,0.0
1205,2020,15477,1484,Rafael Toloi,a,DC,313.0,0.0,0.0,2.0,2.0,0.0,0.0425755865871906,0.0165308248251676,0.0,-0.8557424154132605,0.0
1587,2020,15486,1484,Rafael Toloi,h,DC,403.0,0.0,0.0,3.0,3.0,0.0,0.122245792299509,0.1317879613488912,0.0,-1.0014746617525816,0.0
1747,2020,15503,1484,Rafael Toloi,a,DC,476.0,0.0,0.0,3.0,3.0,0.0,0.122245792299509,0.1446476615965365,0.0,-0.9886149615049363,0.0
2006,2020,15506,1484,Rafael Toloi,h,DC,566.0,0.0,0.0,4.0,3.0,0.0,0.1408132556825875,0.1446476615965365,0.0,-0.9329125713557006,0.0
2549,2020,15526,1484,Rafael Toloi,h,DC,656.0,0.0,0.0,9.0,4.0,0.0,0.45567178167402733,0.1589735765010117,0.0,-0.474011078476906,0.0
3113,2020,15546,1484,Rafael Toloi,h,DC,746.0,1.0,0.0,10.0,4.0,0.0,1.0545341316610575,0.22788485325872881,3.0,1.3914872482419012,3.0
3250,2020,15556,1484,Rafael Toloi,a,DC,836.0,1.0,0.0,10.0,4.0,0.0,1.0545341316610575,0.22788485325872881,3.0,1.3914872482419012,0.0
3680,2020,15576,1484,Rafael Toloi,h,DC,871.0,1.0,0.0,10.0,4.0,0.0,1.0545341316610575,0.22788485325872881,3.0,1.3914872482419012,0.0
3919,2020,15586,1484,Rafael Toloi,a,DC,961.0,1.0,0.0,10.0,4.0,0.0,1.0545341316610575,0.30425199307501294,3.0,1.4678543880581854,0.0
4319,2020,15596,1484,Rafael Toloi,h,DC,1051.0,2.0,0.0,13.0,4.0,0.0,2.0941604916006327,0.30425199307501294,6.0,4.586733467876911,3.0
4407,2020,15524,1484,Rafael Toloi,a,DC,1141.0,2.0,0.0,15.0,4.0,0.0,2.283144110813737,0.3922199252992865,6.0,5.241652257740498,0.0
4481,2020,15611,1484,Rafael Toloi,a,DC,1231.0,2.0,0.0,19.0,4.0,0.0,2.4240780267864466,0.3922199252992865,6.0,5.664454005658627,0.0
4818,2020,15618,1484,Rafael Toloi,h,DC,1321.0,2.0,0.0,19.0,4.0,0.0,2.4240780267864466,0.3922199252992865,6.0,5.664454005658627,0.0
4968,2020,15634,1484,Rafael Toloi,h,DC,1411.0,2.0,0.0,19.0,4.0,0.0,2.4240780267864466,0.3922199252992865,6.0,5.664454005658627,0.0
5590,2020,15649,1484,Rafael Toloi,h,DC,1501.0,2.0,0.0,20.0,5.0,0.0,2.5133439619094133,0.3922199252992865,6.0,5.432251811027527,0.0
5749,2020,15656,1484,Rafael Toloi,a,DC,1591.0,2.0,0.0,20.0,5.0,0.0,2.5133439619094133,0.3922199252992865,6.0,5.432251811027527,0.0
6339,2020,15676,1484,Rafael Toloi,a,DC,1681.0,2.0,0.0,22.0,6.0,0.0,2.6721237916499376,0.4316826891154047,6.0,5.448054064065218,0.0
6378,2020,15693,1484,Rafael Toloi,h,DC,1771.0,2.0,0.0,23.0,6.0,0.0,2.7162629310041666,0.5063927005976434,6.0,5.655181493610144,0.0
6712,2020,15696,1484,Rafael Toloi,a,DR,1861.0,2.0,0.0,24.0,7.0,0.0,2.7856095377355814,0.5063927005976434,6.0,5.363221313804388,0.0
6997,2020,15714,1484,Rafael Toloi,h,DC,1926.0,2.0,0.0,25.0,8.0,0.0,2.796729303896427,0.551089590415358,6.0,4.94127750210464,0.0
7356,2020,15716,1484,Rafael Toloi,a,DC,2016.0,2.0,0.0,25.0,8.0,0.0,2.796729303896427,0.6201543863862747,6.0,5.010342298075557,0.0
7551,2020,15730,1484,Rafael Toloi,h,DC,2106.0,2.0,0.0,26.0,8.0,0.0,3.1839777305722237,0.6201543863862747,6.0,6.172087578102946,0.0
7863,2020,15736,1484,Rafael Toloi,a,Sub,2196.0,2.0,0.0,28.0,8.0,0.0,3.2344521693885326,0.6444752216339106,6.0,6.347831729799509,0.0
8075,2020,15746,1484,Rafael Toloi,h,DC,2212.0,2.0,0.0,28.0,8.0,0.0,3.2344521693885326,0.7182457894086832,6.0,6.421602297574282,0.0
8271,2020,15756,1484,Rafael Toloi,a,DC,2284.0,2.0,0.0,28.0,8.0,0.0,3.2344521693885326,0.8298616707324975,6.0,6.533218178898096,0.0
8921,2020,15786,1484,Rafael Toloi,a,DC,2364.0,2.0,0.0,28.0,8.0,0.0,3.2344521693885326,0.8298616707324975,6.0,6.533218178898096,0.0
9368,2020,15801,1484,Rafael Toloi,h,DC,2454.0,2.0,0.0,28.0,9.0,0.0,3.2344521693885326,0.8298616707324975,6.0,6.033218178898096,0.0
