,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
141,2020,14120,265,Ragnar Klavan,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2020,14124,265,Ragnar Klavan,h,DC,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287017133086919,0.0,0.0287017133086919,0.0
738,2020,15450,265,Ragnar Klavan,a,Sub,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287017133086919,0.0,0.0287017133086919,0.0
1078,2020,15462,265,Ragnar Klavan,a,Sub,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287017133086919,0.0,0.0287017133086919,0.0
1313,2020,15468,265,Ragnar Klavan,h,Sub,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287017133086919,0.0,0.0287017133086919,0.0
2201,2020,15499,265,Ragnar Klavan,a,DC,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287017133086919,0.0,0.0287017133086919,0.0
2610,2020,15509,265,Ragnar Klavan,h,DC,224.0,0.0,0.0,1.0,0.0,0.0,0.0158433020114898,0.0287017133086919,0.0,0.0762316193431615,0.0
3141,2020,15528,265,Ragnar Klavan,h,Sub,314.0,0.0,0.0,1.0,0.0,0.0,0.0158433020114898,0.0287017133086919,0.0,0.0762316193431615,0.0
3507,2020,15541,265,Ragnar Klavan,a,DC,335.0,0.0,0.0,1.0,0.0,0.0,0.0158433020114898,0.0287017133086919,0.0,0.0762316193431615,0.0
7485,2020,15674,265,Ragnar Klavan,h,DC,425.0,0.0,0.0,2.0,0.0,0.0,0.0352725330740212,0.0287017133086919,0.0,0.13451931253075589,0.0
8134,2020,15689,265,Ragnar Klavan,h,Sub,515.0,0.0,0.0,2.0,0.0,0.0,0.0352725330740212,0.0287017133086919,0.0,0.13451931253075589,0.0
8296,2020,15698,265,Ragnar Klavan,a,DC,532.0,0.0,0.0,4.0,0.0,0.0,0.12600384093821032,0.0287017133086919,0.0,0.4067132361233233,0.0
8708,2020,15715,265,Ragnar Klavan,h,DC,615.0,0.0,0.0,4.0,0.0,0.0,0.12600384093821032,0.0287017133086919,0.0,0.4067132361233233,0.0
11266,2020,15788,265,Ragnar Klavan,a,Sub,676.0,0.0,0.0,5.0,1.0,0.0,0.15905033610761143,0.0287017133086919,-0.5,0.0058527216315267805,-0.5
11364,2020,15798,265,Ragnar Klavan,h,DC,678.0,0.0,0.0,5.0,1.0,0.0,0.15905033610761143,0.0287017133086919,-0.5,0.0058527216315267805,0.0
