,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
165,2020,14122,6160,Riccardo Orsolini,a,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,2020,15451,6160,Riccardo Orsolini,a,Sub,58.0,0.0,0.0,1.0,0.0,0.0,0.0496640093624591,0.0,0.0,0.1489920280873775,0.0
804,2020,15460,6160,Riccardo Orsolini,h,MR,78.0,0.0,0.0,2.0,0.0,0.0,0.11028691753745071,0.0,0.0,0.33086075261235226,0.0
1040,2020,15472,6160,Riccardo Orsolini,a,AMR,168.0,1.0,0.0,3.0,0.0,0.0,0.1898077838122843,0.0370753929018974,3.0,0.6064987443387506,3.0
1249,2020,15476,6160,Riccardo Orsolini,h,AMR,251.0,1.0,0.0,8.0,0.0,0.0,0.555435638874769,0.13509863615036,3.0,1.8014055527746675,0.0
1666,2020,15488,6160,Riccardo Orsolini,h,AMR,341.0,1.0,1.0,12.0,0.0,0.0,0.7401340119540689,0.6505802869796752,4.0,2.8709823228418827,1.0
1875,2020,15502,6160,Riccardo Orsolini,a,MR,431.0,1.0,1.0,14.0,0.0,0.0,1.1601364128291605,0.7743955627083777,4.0,4.25480480119586,0.0
2065,2020,15508,6160,Riccardo Orsolini,h,AMR,517.0,2.0,1.0,16.0,0.0,0.0,2.2069307081401344,0.8205653652548788,7.0,7.441357489675283,3.0
3248,2020,15556,6160,Riccardo Orsolini,h,Sub,534.0,2.0,1.0,17.0,0.0,0.0,2.258046224713325,0.8205653652548788,7.0,7.5947040393948555,0.0
3506,2020,15569,6160,Riccardo Orsolini,a,AMR,558.0,2.0,2.0,19.0,0.0,0.0,2.3985515832900997,1.111685089766979,8.0,8.30733983963728,1.0
3712,2020,15577,6160,Riccardo Orsolini,h,AMR,633.0,2.0,2.0,20.0,0.0,0.0,2.4145731125026937,1.3603943213820455,8.0,8.604113658890128,0.0
3950,2020,15588,6160,Riccardo Orsolini,a,AMR,711.0,2.0,3.0,23.0,0.0,0.0,2.8246039841324087,1.7345430478453634,9.0,10.208355000242591,1.0
4182,2020,15597,6160,Riccardo Orsolini,h,AMR,785.0,2.0,3.0,25.0,0.0,0.0,2.947870152071118,1.7960267737507818,9.0,10.639637229964137,0.0
4556,2020,15609,6160,Riccardo Orsolini,a,AMR,861.0,3.0,3.0,31.0,0.0,0.0,4.342078702524304,1.8826837688684461,12.0,14.90891987644136,3.0
4691,2020,15619,6160,Riccardo Orsolini,h,AMR,939.0,3.0,3.0,33.0,0.0,0.0,4.399133192375302,1.9342875145375726,12.0,15.13168709166348,0.0
5140,2020,15626,6160,Riccardo Orsolini,a,Sub,1006.0,3.0,3.0,36.0,0.0,0.0,4.467517929151654,1.9342875145375726,12.0,15.336841301992536,0.0
5178,2020,15637,6160,Riccardo Orsolini,h,Sub,1028.0,4.0,3.0,38.0,0.0,0.0,4.822706865146756,1.9342875145375726,15.0,16.40240810997784,3.0
5531,2020,15646,6160,Riccardo Orsolini,a,AMR,1047.0,4.0,3.0,38.0,0.0,0.0,4.822706865146756,1.9342875145375726,15.0,16.40240810997784,0.0
5690,2020,15662,6160,Riccardo Orsolini,h,AMR,1112.0,4.0,3.0,38.0,0.0,0.0,4.822706865146756,1.988560441881418,15.0,16.456681037321687,0.0
6049,2020,15674,6160,Riccardo Orsolini,a,AMR,1187.0,4.0,3.0,39.0,0.0,0.0,4.886165322735906,1.988560441881418,15.0,16.647056410089135,0.0
6665,2020,15697,6160,Riccardo Orsolini,a,AMR,1252.0,4.0,3.0,39.0,0.0,0.0,4.886165322735906,2.000399116426706,15.0,16.658895084634423,0.0
7339,2020,15717,6160,Riccardo Orsolini,a,Sub,1299.0,4.0,3.0,39.0,0.0,0.0,4.886165322735906,2.080478642135858,15.0,16.738974610343575,0.0
7581,2020,15733,6160,Riccardo Orsolini,h,AMR,1329.0,4.0,3.0,39.0,0.0,0.0,4.886165322735906,2.080478642135858,15.0,16.738974610343575,0.0
7822,2020,15745,6160,Riccardo Orsolini,h,AMR,1396.0,5.0,3.0,42.0,0.0,0.0,5.838394345715642,2.080478642135858,18.0,19.595661679282784,3.0
8098,2020,15746,6160,Riccardo Orsolini,a,Sub,1486.0,5.0,3.0,43.0,0.0,0.0,5.85785186290741,2.10866373963654,18.0,19.68221932835877,0.0
8307,2020,15759,6160,Riccardo Orsolini,h,DMR,1503.0,5.0,3.0,44.0,0.0,0.0,6.166588753461838,2.10866373963654,18.0,20.608430000022054,0.0
8416,2020,15767,6160,Riccardo Orsolini,a,Sub,1593.0,5.0,3.0,47.0,0.0,0.0,6.575671583414078,2.130823206156492,18.0,21.857837956398726,0.0
8736,2020,15778,6160,Riccardo Orsolini,h,AMC,1621.0,6.0,3.0,49.0,0.0,0.0,7.367069274187088,2.2314409576356407,21.0,24.332648780196905,3.0
9161,2020,15787,6160,Riccardo Orsolini,a,Sub,1684.0,6.0,3.0,51.0,0.0,0.0,8.23328247666359,2.3785039149224754,21.0,27.078351344913244,0.0
9324,2020,15799,6160,Riccardo Orsolini,h,Sub,1700.0,6.0,3.0,51.0,0.0,0.0,8.23328247666359,2.3785039149224754,21.0,27.078351344913244,0.0
