,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
360,2020,14130,7958,Sandro Tonali,a,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,2020,15454,7958,Sandro Tonali,h,DMC,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930768996477127,0.0,0.0930768996477127,0.0
1292,2020,15484,7958,Sandro Tonali,a,Sub,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930768996477127,0.0,0.0930768996477127,0.0
2087,2020,15512,7958,Sandro Tonali,h,DMC,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930768996477127,0.0,0.0930768996477127,0.0
2392,2020,15522,7958,Sandro Tonali,a,DMC,244.0,0.0,0.0,1.0,0.0,0.0,0.0180229227989912,0.1446098387241363,0.0,0.1986786071211099,0.0
2783,2020,15538,7958,Sandro Tonali,a,DMC,334.0,0.0,0.0,2.0,0.0,0.0,0.1649763118475675,0.1446098387241363,0.0,0.6395387742668389,0.0
3105,2020,15554,7958,Sandro Tonali,a,DMC,411.0,0.0,0.0,2.0,0.0,0.0,0.1649763118475675,0.1683202572166919,0.0,0.6632491927593945,0.0
3267,2020,15559,7958,Sandro Tonali,h,DMC,460.0,0.0,0.0,3.0,0.0,0.0,0.20184151269495482,0.1683202572166919,0.0,0.7738447953015565,0.0
3626,2020,15567,7958,Sandro Tonali,a,DMC,550.0,0.0,0.0,4.0,0.0,0.0,0.2266781758517026,0.1683202572166919,0.0,0.8483547847717998,0.0
3962,2020,15590,7958,Sandro Tonali,h,DMC,582.0,0.0,0.0,4.0,0.0,1.0,0.2266781758517026,0.1895937714725732,0.0,0.36962829902768113,0.0
4386,2020,15598,7958,Sandro Tonali,a,DMC,639.0,0.0,0.0,6.0,1.0,1.0,0.30263496004045,0.2064981888979672,0.0,0.1144030690193174,0.0
4469,2020,15611,7958,Sandro Tonali,h,DMC,711.0,0.0,0.0,6.0,1.0,1.0,0.30263496004045,0.217941786162555,0.0,0.1258466662839052,0.0
4702,2020,15619,7958,Sandro Tonali,a,DMC,801.0,0.0,0.0,6.0,1.0,1.0,0.30263496004045,0.9431671751663087,0.0,0.8510720552876588,0.0
5570,2020,15648,7958,Sandro Tonali,h,DMC,863.0,0.0,0.0,6.0,1.0,1.0,0.30263496004045,0.9746804861351844,0.0,0.8825853662565346,0.0
5875,2020,15663,7958,Sandro Tonali,a,DMC,931.0,0.0,0.0,7.0,1.0,1.0,0.3794900532811879,0.9746804861351844,0.0,1.1131506459787484,0.0
5984,2020,15672,7958,Sandro Tonali,h,DMC,1015.0,0.0,0.0,8.0,1.0,1.0,0.4019276537001131,0.9746804861351844,0.0,1.1804634472355242,0.0
6575,2020,15690,7958,Sandro Tonali,h,DMC,1063.0,0.0,0.0,8.0,1.0,1.0,0.4019276537001131,1.0729908002540465,0.0,1.2787737613543864,0.0
6814,2020,15701,7958,Sandro Tonali,a,DMC,1153.0,0.0,0.0,8.0,1.0,1.0,0.4019276537001131,1.1949383420869704,0.0,1.4007213031873103,0.0
6857,2020,15712,7958,Sandro Tonali,h,Sub,1213.0,0.0,0.0,9.0,1.0,1.0,0.4237727411091325,1.1949383420869704,0.0,1.4662565654143687,0.0
7507,2020,15728,7958,Sandro Tonali,h,Sub,1242.0,0.0,0.0,9.0,1.0,1.0,0.4237727411091325,1.2424730686470862,0.0,1.5137912919744845,0.0
8150,2020,15749,7958,Sandro Tonali,a,Sub,1257.0,0.0,0.0,9.0,1.0,1.0,0.4237727411091325,1.2424730686470862,0.0,1.5137912919744845,0.0
8218,2020,15757,7958,Sandro Tonali,h,Sub,1276.0,0.0,0.0,10.0,1.0,1.0,0.434504114091396,1.2424730686470862,0.0,1.5459854109212752,0.0
