,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
21,2020,14116,3739,Soualiho Meité,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2020,14123,3739,Soualiho Meité,h,MC,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,2020,15462,3739,Soualiho Meité,h,MC,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420188643038272,0.0,0.0420188643038272,0.0
1195,2020,15475,3739,Soualiho Meité,a,MC,242.0,0.0,0.0,2.0,0.0,0.0,0.0676217675209045,0.0420188643038272,0.0,0.2448841668665408,0.0
1640,2020,15483,3739,Soualiho Meité,h,MC,332.0,0.0,0.0,3.0,0.0,0.0,0.0977380033582448,0.0420188643038272,0.0,0.3352328743785618,0.0
1817,2020,15448,3739,Soualiho Meité,a,Sub,422.0,0.0,0.0,4.0,0.0,0.0,0.1106188297271727,0.08145862445235241,0.0,0.4133151136338709,0.0
2038,2020,15495,3739,Soualiho Meité,h,MC,456.0,0.0,0.0,5.0,0.0,0.0,0.1498591192066667,0.1392024233937262,0.0,0.588779781013727,0.0
2268,2020,15498,3739,Soualiho Meité,a,MC,538.0,0.0,0.0,5.0,0.0,0.0,0.1498591192066667,0.1392024233937262,0.0,0.588779781013727,0.0
2675,2020,15515,3739,Soualiho Meité,h,MC,628.0,0.0,1.0,5.0,0.0,0.0,0.1498591192066667,0.2952854856848715,1.0,0.7448628433048723,1.0
2782,2020,15519,3739,Soualiho Meité,a,MC,718.0,1.0,1.0,7.0,0.0,0.0,0.5504059083759782,0.3403615094721315,4.0,1.991579234600067,3.0
3074,2020,15535,3739,Soualiho Meité,h,MC,808.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3403615094721315,4.0,2.142183762043714,0.0
3604,2020,15542,3739,Soualiho Meité,a,MC,855.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3403615094721315,4.0,2.142183762043714,0.0
3718,2020,15555,3739,Soualiho Meité,h,Sub,902.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3403615094721315,4.0,2.142183762043714,0.0
4100,2020,15560,3739,Soualiho Meité,a,Sub,925.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3579851221293208,4.0,2.1598073747009034,0.0
5457,2020,15598,3739,Soualiho Meité,a,Sub,926.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3579851221293208,4.0,2.1598073747009034,0.0
5559,2020,15611,3739,Soualiho Meité,h,AMC,944.0,1.0,1.0,8.0,0.0,0.0,0.6006074175238606,0.3579851221293208,4.0,2.1598073747009034,0.0
6296,2020,15628,3739,Soualiho Meité,h,DMC,990.0,1.0,1.0,9.0,0.0,0.0,0.7199340164661404,0.3579851221293208,4.0,2.517787171527743,0.0
6528,2020,15642,3739,Soualiho Meité,a,Sub,1080.0,1.0,1.0,11.0,0.0,0.0,0.7583060972392555,0.4047955889254805,4.0,2.679713880643248,0.0
6915,2020,15648,3739,Soualiho Meité,h,Sub,1105.0,1.0,1.0,11.0,0.0,0.0,0.7583060972392555,0.4047955889254805,4.0,2.679713880643248,0.0
7297,2020,15663,3739,Soualiho Meité,a,Sub,1127.0,1.0,1.0,12.0,0.0,0.0,0.7776992097496982,0.42735988460481134,4.0,2.760457513853907,0.0
7433,2020,15672,3739,Soualiho Meité,h,Sub,1133.0,1.0,1.0,12.0,0.0,0.0,0.7776992097496982,0.42735988460481134,4.0,2.760457513853907,0.0
7719,2020,15682,3739,Soualiho Meité,a,DMC,1175.0,1.0,1.0,13.0,0.0,0.0,0.8018801342695947,0.42735988460481134,4.0,2.8330002874135967,0.0
8165,2020,15690,3739,Soualiho Meité,h,Sub,1265.0,1.0,1.0,14.0,0.0,0.0,0.836642442271113,0.42735988460481134,4.0,2.9372872114181514,0.0
8459,2020,15701,3739,Soualiho Meité,a,Sub,1287.0,1.0,1.0,14.0,0.0,0.0,0.836642442271113,0.43887019529938665,4.0,2.9487975221127267,0.0
8913,2020,15722,3739,Soualiho Meité,a,Sub,1288.0,1.0,1.0,14.0,1.0,0.0,0.836642442271113,0.43887019529938665,3.5,2.4487975221127267,-0.5
9504,2020,15744,3739,Soualiho Meité,h,DMC,1306.0,1.0,1.0,14.0,2.0,0.0,0.836642442271113,0.43887019529938665,3.0,1.9487975221127267,-0.5
10687,2020,15771,3739,Soualiho Meité,a,Sub,1392.0,1.0,1.0,14.0,2.0,0.0,0.836642442271113,0.43887019529938665,3.0,1.9487975221127267,0.0
10870,2020,15780,3739,Soualiho Meité,a,Sub,1397.0,1.0,1.0,14.0,2.0,0.0,0.836642442271113,0.43887019529938665,3.0,1.9487975221127267,0.0
11253,2020,15788,3739,Soualiho Meité,h,Sub,1439.0,1.0,1.0,14.0,2.0,0.0,0.836642442271113,0.43887019529938665,3.0,1.9487975221127267,0.0
11579,2020,15801,3739,Soualiho Meité,a,Sub,1465.0,1.0,1.0,15.0,2.0,0.0,0.8537722341716285,0.43887019529938665,3.0,2.0001868978142734,0.0
