,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
206,2020,14124,1542,Stefan Radu,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,2020,14135,1542,Stefan Radu,h,DC,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,2020,15452,1542,Stefan Radu,h,DC,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529602617025375,0.0,0.0529602617025375,0.0
1564,2020,15491,1542,Stefan Radu,h,DC,163.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
1721,2020,15496,1542,Stefan Radu,a,DC,219.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
2033,2020,15511,1542,Stefan Radu,h,DC,309.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
2220,2020,15523,1542,Stefan Radu,a,DC,399.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
2499,2020,15531,1542,Stefan Radu,h,DC,489.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
2710,2020,15536,1542,Stefan Radu,a,DC,579.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0529602617025375,0.0,0.1027927212417125,0.0
3137,2020,15551,1542,Stefan Radu,h,DC,659.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0730716343969106,0.0,0.1229040939360856,0.0
3276,2020,15559,1542,Stefan Radu,a,DC,749.0,0.0,0.0,1.0,0.0,0.0,0.0166108198463916,0.0730716343969106,0.0,0.1229040939360856,0.0
3527,2020,15570,1542,Stefan Radu,a,DC,839.0,0.0,0.0,2.0,0.0,0.0,0.0300652123987673,0.12234490923583499,0.0,0.21254054643213732,0.0
4017,2020,15591,1542,Stefan Radu,a,DC,929.0,0.0,0.0,2.0,0.0,0.0,0.0300652123987673,0.12234490923583499,0.0,0.21254054643213732,0.0
4149,2020,15601,1542,Stefan Radu,h,DC,1019.0,0.0,0.0,3.0,0.0,0.0,0.1110988296568392,0.2195616047829388,0.0,0.5528580937534568,0.0
4614,2020,15610,1542,Stefan Radu,h,DC,1104.0,0.0,0.0,4.0,1.0,0.0,0.1232565268874166,0.2195616047829388,0.0,0.08933118544518925,0.0
4830,2020,15618,1542,Stefan Radu,a,DC,1194.0,0.0,0.0,4.0,1.0,0.0,0.1232565268874166,0.2195616047829388,0.0,0.08933118544518925,0.0
5145,2020,15627,1542,Stefan Radu,h,DC,1284.0,0.0,1.0,4.0,1.0,0.0,0.1232565268874166,0.2417795695364473,1.0,0.11154915019869775,1.0
6352,2020,15686,1542,Stefan Radu,h,DC,1374.0,0.0,1.0,4.0,1.0,0.0,0.1232565268874166,0.2992041669785974,1.0,0.16897374764084785,0.0
6737,2020,15700,1542,Stefan Radu,a,DC,1458.0,0.0,2.0,4.0,1.0,0.0,0.1232565268874166,0.611419256776571,2.0,0.48118883743882146,1.0
6966,2020,15713,1542,Stefan Radu,h,DC,1548.0,0.0,2.0,4.0,1.0,0.0,0.1232565268874166,0.8193733356893059,2.0,0.6891429163515563,0.0
7285,2020,15721,1542,Stefan Radu,a,DC,1638.0,0.0,2.0,4.0,1.0,0.0,0.1232565268874166,0.8193733356893059,2.0,0.6891429163515563,0.0
7522,2020,15726,1542,Stefan Radu,h,DC,1728.0,0.0,3.0,4.0,1.0,0.0,0.1232565268874166,0.9160694517195221,3.0,0.7858390323817726,1.0
7881,2020,15741,1542,Stefan Radu,a,DC,1818.0,0.0,3.0,5.0,1.0,0.0,0.17226726561784722,0.9160694517195221,3.0,0.9328712485730644,0.0
8130,2020,15749,1542,Stefan Radu,h,DC,1908.0,0.0,3.0,5.0,1.0,0.0,0.17226726561784722,1.1881452836096282,3.0,1.2049470804631706,0.0
8230,2020,15760,1542,Stefan Radu,h,DC,1998.0,0.0,3.0,5.0,1.0,0.0,0.17226726561784722,1.1881452836096282,3.0,1.2049470804631706,0.0
8485,2020,15770,1542,Stefan Radu,a,DC,2088.0,0.0,3.0,5.0,1.0,0.0,0.17226726561784722,1.1881452836096282,3.0,1.2049470804631706,0.0
8806,2020,15781,1542,Stefan Radu,h,DC,2163.0,0.0,3.0,6.0,2.0,0.0,0.2879984527826306,1.2115367054939266,3.0,1.0755320638418193,0.0
8998,2020,15791,1542,Stefan Radu,a,DC,2222.0,0.0,3.0,6.0,2.0,0.0,0.2879984527826306,1.2115367054939266,3.0,1.0755320638418193,0.0
9162,2020,15671,1542,Stefan Radu,h,DC,2295.0,0.0,3.0,6.0,2.0,0.0,0.2879984527826306,1.2115367054939266,3.0,1.0755320638418193,0.0
9358,2020,15800,1542,Stefan Radu,a,DC,2372.0,0.0,3.0,7.0,2.0,0.0,0.3382114246487614,1.4600382745265956,3.0,1.4746725484728809,0.0
