,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
325,2020,14126,1465,Stefano Sensi,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,2020,14133,1465,Stefano Sensi,a,MC,24.0,0.0,0.0,2.0,0.0,0.0,0.0632942467927932,0.0,0.0,0.1898827403783798,0.0
806,2020,15452,1465,Stefano Sensi,a,Sub,90.0,0.0,0.0,3.0,0.0,0.0,0.08063280954957,0.0292838644236326,0.0,0.27118229307234276,0.0
2456,2020,15514,1465,Stefano Sensi,a,Sub,109.0,0.0,0.0,4.0,0.0,1.0,0.1316166557371615,0.0292838644236326,-0.5,-0.07586616836488252,-0.5
3155,2020,15528,1465,Stefano Sensi,a,Sub,113.0,0.0,0.0,4.0,0.0,1.0,0.1316166557371615,0.0292838644236326,-0.5,-0.07586616836488252,0.0
3472,2020,15539,1465,Stefano Sensi,h,Sub,144.0,0.0,0.0,7.0,0.0,1.0,0.2604223378002642,0.059850502759218105,-0.5,0.3411175161600112,0.0
3811,2020,15550,1465,Stefano Sensi,h,Sub,165.0,0.0,0.0,8.0,0.0,1.0,0.3476039282977579,0.059850502759218105,-0.5,0.6026622876524923,0.0
4244,2020,15571,1465,Stefano Sensi,h,Sub,207.0,0.0,0.0,8.0,0.0,1.0,0.3476039282977579,0.059850502759218105,-0.5,0.6026622876524923,0.0
5611,2020,15614,1465,Stefano Sensi,a,Sub,250.0,0.0,0.0,8.0,0.0,1.0,0.3476039282977579,0.059850502759218105,-0.5,0.6026622876524923,0.0
5899,2020,15624,1465,Stefano Sensi,h,Sub,269.0,0.0,0.0,9.0,1.0,1.0,0.37017606571316686,0.059850502759218105,-1.0,0.17037869989871962,-0.5
8837,2020,15703,1465,Stefano Sensi,h,Sub,279.0,0.0,0.0,9.0,1.0,1.0,0.37017606571316686,0.059850502759218105,-1.0,0.17037869989871962,0.0
8953,2020,15718,1465,Stefano Sensi,h,MC,310.0,0.0,0.0,9.0,1.0,1.0,0.37017606571316686,0.059850502759218105,-1.0,0.17037869989871962,0.0
9935,2020,15755,1465,Stefano Sensi,h,Sub,391.0,0.0,0.0,11.0,1.0,1.0,0.41831545531749686,0.2019432820379733,-1.0,0.456889647990465,0.0
10135,2020,15761,1465,Stefano Sensi,a,MC,416.0,0.0,0.0,12.0,1.0,1.0,0.43407912366092155,0.2019432820379733,-1.0,0.5041806530207393,0.0
10451,2020,15773,1465,Stefano Sensi,h,Sub,483.0,0.0,0.0,18.0,1.0,1.0,1.336075855419039,0.4679287709295748,-1.0,3.476156337186694,0.0
10916,2020,15782,1465,Stefano Sensi,h,Sub,500.0,0.0,0.0,18.0,1.0,1.0,1.336075855419039,0.4679287709295748,-1.0,3.476156337186694,0.0
11084,2020,15790,1465,Stefano Sensi,a,Sub,529.0,0.0,0.0,18.0,1.0,1.0,1.336075855419039,0.5460710041224954,-1.0,3.554298570379615,0.0
11431,2020,15804,1465,Stefano Sensi,h,MC,542.0,0.0,0.0,18.0,1.0,1.0,1.336075855419039,0.5460710041224954,-1.0,3.554298570379615,0.0
