,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2985,2020,15517,3515,Valentin Eysseric,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3183,2020,15526,3515,Valentin Eysseric,a,AML,10.0,0.0,0.0,2.0,0.0,0.0,0.1072112843394279,0.0,0.0,0.3216338530182838,0.0
4686,2020,15580,3515,Valentin Eysseric,a,Sub,69.0,0.0,0.0,2.0,0.0,0.0,0.1072112843394279,0.0,0.0,0.3216338530182838,0.0
5825,2020,15625,3515,Valentin Eysseric,a,Sub,122.0,0.0,0.0,2.0,0.0,0.0,0.1072112843394279,0.0,0.0,0.3216338530182838,0.0
6112,2020,15629,3515,Valentin Eysseric,h,MC,128.0,0.0,0.0,2.0,0.0,0.0,0.1072112843394279,0.0,0.0,0.3216338530182838,0.0
6728,2020,15652,3515,Valentin Eysseric,h,Sub,202.0,0.0,0.0,4.0,0.0,0.0,0.18507172912359232,0.0261607877910137,0.0,0.5813759751617908,0.0
7196,2020,15659,3515,Valentin Eysseric,a,MC,240.0,1.0,0.0,7.0,1.0,0.0,0.8706503137946129,0.0261607877910137,2.5,2.1381117291748524,2.5
7734,2020,15683,3515,Valentin Eysseric,h,MC,329.0,1.0,0.0,8.0,1.0,0.0,0.9201086200773716,0.0979747809469699,2.5,2.3583006411790848,0.0
7993,2020,15687,3515,Valentin Eysseric,a,MC,419.0,1.0,0.0,8.0,1.0,0.0,0.9201086200773716,0.1951081193983554,2.5,2.4554339796304703,0.0
8435,2020,15701,3515,Valentin Eysseric,h,MR,501.0,2.0,0.0,10.0,1.0,0.0,1.4039994217455387,0.6002221144735812,5.5,4.3122203797101974,3.0
8581,2020,15707,3515,Valentin Eysseric,a,Sub,591.0,2.0,0.0,10.0,1.0,0.0,1.4039994217455387,0.7863891310989854,5.5,4.498387396335602,0.0
9114,2020,15716,3515,Valentin Eysseric,h,Sub,610.0,2.0,0.0,10.0,1.0,0.0,1.4039994217455387,0.799669734202325,5.5,4.5116679994389415,0.0
9250,2020,15727,3515,Valentin Eysseric,a,Sub,627.0,2.0,0.0,10.0,1.0,0.0,1.4039994217455387,0.799669734202325,5.5,4.5116679994389415,0.0
9905,2020,15748,3515,Valentin Eysseric,h,Sub,644.0,2.0,0.0,11.0,2.0,0.0,1.4285171404480934,0.799669734202325,5.0,4.085221155546606,-0.5
11130,2020,15792,3515,Valentin Eysseric,h,Sub,648.0,2.0,0.0,11.0,2.0,0.0,1.4285171404480934,0.799669734202325,5.0,4.085221155546606,0.0
11359,2020,15797,3515,Valentin Eysseric,a,Sub,671.0,2.0,0.0,11.0,2.0,0.0,1.4285171404480934,0.799669734202325,5.0,4.085221155546606,0.0
