,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
131,2021,16760,8942,Aaron Hickey,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,2021,16769,8942,Aaron Hickey,a,DL,58.0,0.0,0.0,2.0,0.0,0.0,0.0354756750166416,0.0,0.0,0.1064270250499248,0.0
910,2021,16777,8942,Aaron Hickey,h,DL,142.0,0.0,0.0,2.0,1.0,0.0,0.0354756750166416,0.0,-0.5,-0.3935729749500752,-0.5
1020,2021,16789,8942,Aaron Hickey,a,DL,232.0,0.0,0.0,2.0,1.0,0.0,0.0354756750166416,0.0411209091544151,-0.5,-0.35245206579566013,0.0
1257,2021,16797,8942,Aaron Hickey,h,DL,288.0,0.0,0.0,3.0,2.0,0.0,0.048275987617671406,0.0411209091544151,-1.0,-0.8140511279925705,-0.5
1715,2021,16806,8942,Aaron Hickey,a,DL,369.0,1.0,0.0,5.0,2.0,0.0,0.1142985923215746,0.1095284521579742,2.0,-0.5475757708773018,3.0
2008,2021,16817,8942,Aaron Hickey,h,DML,416.0,1.0,0.0,5.0,2.0,0.0,0.1142985923215746,0.1095284521579742,2.0,-0.5475757708773018,0.0
2394,2021,16834,8942,Aaron Hickey,a,DML,505.0,2.0,0.0,6.0,2.0,0.0,0.1936920611187814,0.1095284521579742,5.0,-0.30939536448568117,3.0
2622,2021,16837,8942,Aaron Hickey,h,DML,595.0,2.0,0.0,7.0,3.0,0.0,0.2008274574764071,0.1810197755694388,4.5,-0.7164978520013392,-0.5
3100,2021,16851,8942,Aaron Hickey,a,DML,660.0,2.0,0.0,9.0,3.0,0.0,0.24333672272041418,0.1810197755694388,4.5,-0.5889700562693179,0.0
3398,2021,16857,8942,Aaron Hickey,h,DML,742.0,2.0,0.0,9.0,3.0,0.0,0.24333672272041418,0.1810197755694388,4.5,-0.5889700562693179,0.0
3597,2021,16872,8942,Aaron Hickey,a,DML,832.0,2.0,0.0,9.0,4.0,0.0,0.24333672272041418,0.1810197755694388,4.0,-1.0889700562693179,-0.5
3854,2021,16877,8942,Aaron Hickey,h,DML,922.0,2.0,0.0,9.0,5.0,0.0,0.24333672272041418,0.1810197755694388,3.5,-1.5889700562693179,-0.5
4269,2021,16893,8942,Aaron Hickey,a,DML,1001.0,2.0,0.0,9.0,5.0,0.0,0.24333672272041418,0.2548812776803969,3.5,-1.5151085541583598,0.0
4471,2021,16897,8942,Aaron Hickey,h,DML,1091.0,2.0,0.0,9.0,5.0,0.0,0.24333672272041418,0.2548812776803969,3.5,-1.5151085541583598,0.0
4756,2021,16906,8942,Aaron Hickey,h,Sub,1181.0,2.0,0.0,9.0,5.0,0.0,0.24333672272041418,0.2548812776803969,3.5,-1.5151085541583598,0.0
5105,2021,16923,8942,Aaron Hickey,a,DML,1208.0,3.0,0.0,10.0,5.0,0.0,0.2699970309622583,0.2548812776803969,6.5,-1.4351276294328272,3.0
5375,2021,16927,8942,Aaron Hickey,h,ML,1298.0,3.0,0.0,13.0,5.0,0.0,0.3594542075879869,0.2548812776803969,6.5,-1.1667560995556414,0.0
5668,2021,16943,8942,Aaron Hickey,a,DML,1383.0,3.0,0.0,13.0,5.0,0.0,0.3594542075879869,0.2843289282172917,6.5,-1.1373084490187466,0.0
6556,2021,16967,8942,Aaron Hickey,h,ML,1473.0,4.0,0.0,15.0,5.0,0.0,0.4263942320831117,0.4139511641114948,9.5,-0.806866139639169,3.0
