,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
124,2021,16761,6206,Bram Nuytinck,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2021,16766,6206,Bram Nuytinck,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,2021,16784,6206,Bram Nuytinck,a,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982,2021,16794,6206,Bram Nuytinck,h,DC,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,2021,16801,6206,Bram Nuytinck,a,DC,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1424,2021,16813,6206,Bram Nuytinck,h,DC,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691,2021,16823,6206,Bram Nuytinck,a,DC,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931,2021,16834,6206,Bram Nuytinck,h,DC,604.0,0.0,0.0,1.0,0.0,0.0,0.1150272935628891,0.0,0.0,0.3450818806886673,0.0
2180,2021,16836,6206,Bram Nuytinck,a,DC,694.0,0.0,0.0,2.0,0.0,0.0,0.2387506514787674,0.0,0.0,0.7162519544363022,0.0
2421,2021,16854,6206,Bram Nuytinck,h,DC,777.0,0.0,0.0,2.0,0.0,0.0,0.2387506514787674,0.0,0.0,0.7162519544363022,0.0
2630,2021,16861,6206,Bram Nuytinck,a,DC,867.0,0.0,0.0,5.0,0.0,0.0,0.4726036339998245,0.0,0.0,1.4178109019994736,0.0
2940,2021,16874,6206,Bram Nuytinck,h,DC,957.0,0.0,0.0,5.0,0.0,0.0,0.4726036339998245,0.0,0.0,1.4178109019994736,0.0
3260,2021,16885,6206,Bram Nuytinck,a,DC,1047.0,0.0,0.0,5.0,0.0,0.0,0.4726036339998245,0.265855997800827,0.0,1.6836668998003006,0.0
3396,2021,16894,6206,Bram Nuytinck,h,DC,1107.0,0.0,0.0,5.0,0.0,0.0,0.4726036339998245,0.265855997800827,0.0,1.6836668998003006,0.0
3996,2021,16908,6206,Bram Nuytinck,a,Sub,1155.0,0.0,0.0,6.0,0.0,0.0,0.5369952097535133,0.265855997800827,0.0,1.876841627061367,0.0
4096,2021,16924,6206,Bram Nuytinck,h,DC,1190.0,0.0,0.0,6.0,0.0,0.0,0.5369952097535133,0.265855997800827,0.0,1.876841627061367,0.0
4391,2021,16928,6206,Bram Nuytinck,a,DC,1280.0,0.0,0.0,6.0,0.0,0.0,0.5369952097535133,0.265855997800827,0.0,1.876841627061367,0.0
4966,2021,16964,6206,Bram Nuytinck,h,DC,1370.0,0.0,0.0,7.0,0.0,0.0,0.5639309603720903,0.265855997800827,0.0,1.957648878917098,0.0
5191,2021,16969,6206,Bram Nuytinck,a,DC,1460.0,0.0,0.0,7.0,0.0,0.0,0.5639309603720903,0.27505987975746393,0.0,1.966852760873735,0.0
