,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
233,2021,16763,7609,Carles Pérez,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,2021,16775,7609,Carles Pérez,a,AMR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611303448677063,0.0,0.611303448677063,0.0
889,2021,16782,7609,Carles Pérez,h,Sub,82.0,0.0,1.0,4.0,1.0,0.0,0.2281933724880218,0.8854724764823914,0.5,1.070052593946457,0.5
1156,2021,16788,7609,Carles Pérez,a,Sub,96.0,0.0,1.0,4.0,1.0,0.0,0.2281933724880218,0.9464196376502514,0.5,1.130999755114317,0.0
1819,2021,16810,7609,Carles Pérez,a,Sub,119.0,0.0,1.0,6.0,1.0,0.0,0.31463123857975,0.9793284125626087,0.5,1.423222128301859,0.0
3376,2021,16862,7609,Carles Pérez,h,Sub,131.0,0.0,1.0,6.0,1.0,0.0,0.31463123857975,1.0204224325716496,0.5,1.4643161483108997,0.0
3572,2021,16875,7609,Carles Pérez,a,Sub,152.0,0.0,1.0,9.0,1.0,0.0,0.4937819242477416,1.0297547243535519,0.5,2.011100497096777,0.0
4291,2021,16891,7609,Carles Pérez,h,Sub,174.0,0.0,1.0,11.0,1.0,0.0,0.5988129451870917,1.0297547243535519,0.5,2.3261935599148273,0.0
4492,2021,16897,7609,Carles Pérez,a,Sub,250.0,0.0,1.0,12.0,1.0,0.0,0.741202063858509,1.0814632400870323,0.5,2.8050694316625595,0.0
6005,2021,16951,7609,Carles Pérez,a,Sub,291.0,0.0,1.0,12.0,2.0,0.0,0.741202063858509,1.0814632400870323,0.0,2.3050694316625595,-0.5
6202,2021,16962,7609,Carles Pérez,h,Sub,292.0,0.0,1.0,12.0,2.0,0.0,0.741202063858509,1.0814632400870323,0.0,2.3050694316625595,0.0
