,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1509,2021,16814,6369,Ethan Ampadu,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,2021,16818,6369,Ethan Ampadu,a,MC,53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0
2011,2021,16835,6369,Ethan Ampadu,h,MC,109.0,0.0,0.0,0.0,2.0,0.0,0.0,0.015678621828556,0.0,-0.9843213781714439,0.0
2130,2021,16844,6369,Ethan Ampadu,a,MC,199.0,0.0,0.0,0.0,3.0,0.0,0.0,0.015678621828556,0.0,-1.484321378171444,0.0
2331,2021,16855,6369,Ethan Ampadu,h,Sub,269.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1386917158961295,1.0,-1.3613082841038704,1.0
2895,2021,16875,6369,Ethan Ampadu,h,MC,290.0,0.0,1.0,0.0,4.0,1.0,0.0,0.1386917158961295,1.0,-2.3613082841038704,0.0
3142,2021,16877,6369,Ethan Ampadu,a,MC,380.0,0.0,2.0,0.0,4.0,1.0,0.0,0.5135644003748892,2.0,-1.9864355996251106,1.0
3373,2021,16895,6369,Ethan Ampadu,h,MC,470.0,0.0,2.0,0.0,4.0,1.0,0.0,0.5135644003748892,2.0,-1.9864355996251106,0.0
3532,2021,16896,6369,Ethan Ampadu,a,MC,554.0,0.0,2.0,0.0,4.0,1.0,0.0,0.5717092789709566,2.0,-1.9282907210290432,0.0
4076,2021,16925,6369,Ethan Ampadu,h,MC,644.0,0.0,2.0,0.0,5.0,1.0,0.0,0.9692242778837679,2.0,-2.030775722116232,0.0
4468,2021,16933,6369,Ethan Ampadu,a,MC,710.0,0.0,2.0,0.0,6.0,1.0,0.0,0.9919502679258583,2.0,-2.5080497320741415,0.0
4607,2021,16945,6369,Ethan Ampadu,h,MC,768.0,0.0,2.0,0.0,6.0,1.0,0.0,0.9919502679258583,2.0,-2.5080497320741415,0.0
4891,2021,16965,6369,Ethan Ampadu,h,MC,844.0,0.0,2.0,1.0,7.0,1.0,0.0357231721282005,1.158241907134652,2.0,-2.7345885764807463,0.0
5224,2021,16975,6369,Ethan Ampadu,h,DR,934.0,0.0,2.0,2.0,7.0,1.0,0.0531894229352473,1.158241907134652,2.0,-2.6821898240596056,0.0
