,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
97,2021,16759,1208,Felipe Anderson,a,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,2021,16768,1208,Felipe Anderson,h,FWL,90.0,0.0,1.0,1.0,0.0,0.0,0.0330870151519775,0.4774149358272552,1.0,0.5766759812831879,1.0
691,2021,16780,1208,Felipe Anderson,a,FWR,174.0,1.0,1.0,4.0,0.0,0.0,0.3677519857883453,0.8429738283157349,4.0,1.9462297856807709,3.0
942,2021,16791,1208,Felipe Anderson,h,FWL,244.0,1.0,1.0,5.0,0.0,0.0,0.3993433751165866,0.8429738283157349,4.0,2.041003953665495,0.0
1233,2021,16805,1208,Felipe Anderson,a,FWR,334.0,1.0,1.0,7.0,0.0,0.0,0.7845440842211244,0.9995453506708145,4.0,3.3531776033341885,0.0
1459,2021,16810,1208,Felipe Anderson,h,FWR,424.0,1.0,1.0,7.0,0.0,0.0,0.7845440842211244,0.9995453506708145,4.0,3.3531776033341885,0.0
1643,2021,16817,1208,Felipe Anderson,a,FWR,514.0,2.0,2.0,8.0,0.0,0.0,1.3474276997148988,1.3643310815095901,8.0,5.406614180654287,4.0
1809,2021,16830,1208,Felipe Anderson,h,FWR,604.0,2.0,2.0,10.0,0.0,0.0,1.4203181602060793,1.8089170008897781,8.0,6.069871481508017,0.0
2237,2021,16839,1208,Felipe Anderson,a,FWR,690.0,3.0,2.0,12.0,1.0,0.0,1.9052358306944368,2.189148798584938,11.0,7.404856290668249,3.0
2503,2021,16849,1208,Felipe Anderson,h,FWR,780.0,3.0,2.0,14.0,1.0,0.0,2.199416372925043,2.189148798584938,11.0,8.287397917360067,0.0
2562,2021,16856,1208,Felipe Anderson,a,FWR,870.0,3.0,2.0,14.0,1.0,0.0,2.199416372925043,2.2166621778160334,11.0,8.314911296591163,0.0
2969,2021,16869,1208,Felipe Anderson,h,FWR,949.0,3.0,2.0,15.0,1.0,0.0,2.238796353340149,2.2166621778160334,11.0,8.43305123783648,0.0
3066,2021,16882,1208,Felipe Anderson,h,FWR,1035.0,3.0,3.0,17.0,1.0,0.0,2.718640834093094,2.4367734733968973,12.0,10.092695975676179,1.0
3510,2021,16890,1208,Felipe Anderson,a,FWR,1114.0,3.0,3.0,19.0,1.0,0.0,2.8154505491256714,2.457206519320607,12.0,10.403558166697621,0.0
3751,2021,16902,1208,Felipe Anderson,h,FWR,1170.0,3.0,3.0,19.0,1.0,0.0,2.8154505491256714,2.4887474048882723,12.0,10.435099052265286,0.0
3944,2021,16913,1208,Felipe Anderson,a,Sub,1231.0,3.0,3.0,19.0,1.0,0.0,2.8154505491256714,2.4887474048882723,12.0,10.435099052265286,0.0
4219,2021,16922,1208,Felipe Anderson,a,Sub,1256.0,3.0,3.0,19.0,1.0,0.0,2.8154505491256714,2.4887474048882723,12.0,10.435099052265286,0.0
4281,2021,16930,1208,Felipe Anderson,h,FW,1299.0,3.0,3.0,19.0,1.0,0.0,2.8154505491256714,2.4887474048882723,12.0,10.435099052265286,0.0
4624,2021,16945,1208,Felipe Anderson,a,FW,1386.0,3.0,4.0,19.0,1.0,0.0,2.8154505491256714,2.9809169936925173,13.0,10.927268641069531,1.0
4780,2021,16950,1208,Felipe Anderson,h,FWL,1468.0,3.0,4.0,19.0,1.0,0.0,2.8154505491256714,2.9809169936925173,13.0,10.927268641069531,0.0
5079,2021,16960,1208,Felipe Anderson,a,FWR,1558.0,3.0,5.0,21.0,1.0,0.0,2.99643811583519,3.09791318513453,14.0,11.5872275326401,1.0
5174,2021,16972,1208,Felipe Anderson,a,Sub,1619.0,3.0,5.0,21.0,1.0,0.0,2.99643811583519,3.4184956047683954,14.0,11.907809952273965,0.0
