,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
250,2021,16763,7909,Gaetano Castrovilli,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,2021,16770,7909,Gaetano Castrovilli,h,MC,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,2021,16776,7909,Gaetano Castrovilli,a,Sub,106.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0880264565348625,0.5,-0.4119735434651375,0.5
990,2021,16787,7909,Gaetano Castrovilli,a,MC,116.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0880264565348625,0.5,-0.4119735434651375,0.0
2693,2021,16838,7909,Gaetano Castrovilli,h,Sub,141.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0880264565348625,0.5,-0.4119735434651375,0.0
3070,2021,16849,7909,Gaetano Castrovilli,a,MC,161.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0880264565348625,0.5,-0.4119735434651375,0.0
3242,2021,16858,7909,Gaetano Castrovilli,h,MC,218.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0880264565348625,0.0,-0.9119735434651375,-0.5
3505,2021,16868,7909,Gaetano Castrovilli,a,MC,288.0,0.0,1.0,1.0,2.0,0.0,0.0433616824448108,0.1430968604981899,0.0,-0.7268180921673775,0.0
3800,2021,16878,7909,Gaetano Castrovilli,h,Sub,371.0,0.0,1.0,1.0,2.0,0.0,0.0433616824448108,0.1430968604981899,0.0,-0.7268180921673775,0.0
4091,2021,16887,7909,Gaetano Castrovilli,a,Sub,390.0,0.0,1.0,1.0,3.0,0.0,0.0433616824448108,0.1430968604981899,-0.5,-1.2268180921673775,-0.5
5735,2021,16938,7909,Gaetano Castrovilli,a,Sub,431.0,0.0,1.0,1.0,3.0,0.0,0.0433616824448108,0.1666932087391614,-0.5,-1.203221743926406,0.0
6302,2021,16963,7909,Gaetano Castrovilli,a,MC,474.0,1.0,1.0,3.0,3.0,0.0,0.4858797378838061,0.1666932087391614,2.5,0.12433242239058018,3.0
