,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
739,2021,16777,1102,Giovanni Simeone,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,2021,16788,1102,Giovanni Simeone,h,FW,90.0,0.0,0.0,1.0,0.0,0.0,0.0481865368783474,0.0,0.0,0.1445596106350422,0.0
1107,2021,16802,1102,Giovanni Simeone,a,Sub,155.0,0.0,1.0,2.0,0.0,0.0,0.1008012369275093,0.0439020656049251,1.0,0.3463057763874531,1.0
1342,2021,16807,1102,Giovanni Simeone,a,FWL,187.0,0.0,1.0,2.0,0.0,0.0,0.1008012369275093,0.179304253309965,1.0,0.48170796409249295,0.0
1658,2021,16820,1102,Giovanni Simeone,h,FW,253.0,1.0,1.0,3.0,0.0,0.0,0.2493759468197822,0.179304253309965,4.0,0.9274320937693117,3.0
1852,2021,16831,1102,Giovanni Simeone,a,Sub,343.0,2.0,2.0,4.0,0.0,0.0,0.6513633206486701,0.2602572701871393,8.0,2.21434723213315,4.0
2226,2021,16839,1102,Giovanni Simeone,h,FW,371.0,2.0,2.0,5.0,0.0,0.0,0.6630704654380678,0.2602572701871393,8.0,2.2494686665013433,0.0
2443,2021,16854,1102,Giovanni Simeone,a,Sub,461.0,6.0,2.0,9.0,0.0,0.0,1.7693429244682193,0.5018496476113794,20.0,5.8098784210160375,12.0
2575,2021,16860,1102,Giovanni Simeone,h,FW,484.0,6.0,2.0,11.0,0.0,0.0,1.8042782796546817,0.5018496476113794,20.0,5.914684486575425,0.0
3007,2021,16871,1102,Giovanni Simeone,a,FW,567.0,8.0,2.0,15.0,0.0,0.0,2.4986288202926517,0.5018496476113794,26.0,7.997736108489335,6.0
3233,2021,16880,1102,Giovanni Simeone,h,FW,642.0,9.0,2.0,16.0,0.0,0.0,3.1617784155532718,0.6888937614858148,29.0,10.17422900814563,3.0
3343,2021,16892,1102,Giovanni Simeone,a,FW,732.0,9.0,2.0,19.0,1.0,0.0,3.420576478354633,0.726575333625078,29.0,10.488304768688977,0.0
3576,2021,16900,1102,Giovanni Simeone,h,FW,802.0,9.0,2.0,21.0,1.0,0.0,3.5066127507016063,0.726575333625078,29.0,10.746413585729897,0.0
3915,2021,16915,1102,Giovanni Simeone,a,FW,880.0,9.0,2.0,24.0,2.0,0.0,3.991506758145988,0.7715832851827141,29.0,11.746103559620678,0.0
4152,2021,16918,1102,Giovanni Simeone,h,FW,970.0,11.0,2.0,26.0,3.0,0.0,4.3548007337376475,0.7715832851827141,35.0,12.335985486395657,6.0
4499,2021,16935,1102,Giovanni Simeone,a,FW,1060.0,12.0,2.0,31.0,3.0,0.0,4.610834243707359,0.826938364654779,38.0,13.159441095776856,3.0
4636,2021,16938,1102,Giovanni Simeone,h,FW,1150.0,12.0,2.0,31.0,4.0,0.0,4.610834243707359,0.826938364654779,38.0,12.659441095776856,0.0
4818,2021,16955,1102,Giovanni Simeone,a,FW,1240.0,12.0,2.0,32.0,4.0,0.0,5.128785136155784,0.826938364654779,38.0,14.213293773122132,0.0
5046,2021,16959,1102,Giovanni Simeone,h,FW,1311.0,12.0,3.0,34.0,4.0,0.0,5.223553384654224,1.3978900648653503,39.0,15.068550218828022,1.0
5221,2021,16974,1102,Giovanni Simeone,a,FW,1371.0,12.0,3.0,35.0,4.0,0.0,5.255419279448688,1.3978900648653503,39.0,15.164147903211415,0.0
