,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
93,2021,16758,1281,Giuseppe Pezzella,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063,2021,16792,1281,Giuseppe Pezzella,a,Sub,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,2021,16796,1281,Giuseppe Pezzella,h,Sub,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,2021,16816,1281,Giuseppe Pezzella,h,Sub,35.0,0.0,0.0,1.0,1.0,0.0,0.0297794211655855,0.0,-0.5,-0.4106617365032434,-0.5
2341,2021,16827,1281,Giuseppe Pezzella,a,Sub,102.0,0.0,0.0,2.0,1.0,0.0,0.0502907969057559,0.0227560363709926,-0.5,-0.3263715729117393,0.0
2653,2021,16836,1281,Giuseppe Pezzella,h,DML,103.0,0.0,0.0,2.0,1.0,0.0,0.0502907969057559,0.0227560363709926,-0.5,-0.3263715729117393,0.0
2956,2021,16852,1281,Giuseppe Pezzella,a,Sub,193.0,0.0,0.0,2.0,2.0,0.0,0.0502907969057559,0.08825578913092601,-1.0,-0.7608718201518058,-0.5
3542,2021,16866,1281,Giuseppe Pezzella,a,Sub,204.0,0.0,0.0,2.0,2.0,0.0,0.0502907969057559,0.08825578913092601,-1.0,-0.7608718201518058,0.0
4347,2021,16896,1281,Giuseppe Pezzella,h,DML,205.0,0.0,0.0,2.0,2.0,0.0,0.0502907969057559,0.08825578913092601,-1.0,-0.7608718201518058,0.0
5136,2021,16918,1281,Giuseppe Pezzella,a,DML,295.0,0.0,1.0,3.0,2.0,0.0,0.1100605279207228,0.16630547121167172,0.0,-0.5035129450261592,1.0
5341,2021,16926,1281,Giuseppe Pezzella,h,DML,380.0,0.0,2.0,6.0,2.0,0.0,0.2330985292792318,0.4978944845497607,1.0,0.197190072387457,1.0
6150,2021,16964,1281,Giuseppe Pezzella,a,DML,461.0,0.0,2.0,6.0,2.0,0.0,0.2330985292792318,0.6422653980553149,1.0,0.3415609858930112,0.0
6522,2021,16966,1281,Giuseppe Pezzella,h,DL,535.0,0.0,2.0,7.0,2.0,0.0,0.3782759830355642,0.6422653980553149,1.0,0.7770933471620084,0.0
