,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
275,2021,16767,8828,Ivan Ilic,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,2021,16777,8828,Ivan Ilic,a,MC,90.0,1.0,0.0,1.0,0.0,0.0,0.341544508934021,0.0619739219546318,3.0,1.0866074487566948,3.0
913,2021,16788,8828,Ivan Ilic,h,MC,174.0,1.0,0.0,1.0,0.0,0.0,0.341544508934021,0.0619739219546318,3.0,1.0866074487566948,0.0
1101,2021,16802,8828,Ivan Ilic,a,MC,264.0,1.0,1.0,1.0,0.0,0.0,0.341544508934021,0.1511824280023574,4.0,1.1758159548044205,1.0
1338,2021,16807,8828,Ivan Ilic,a,MC,312.0,1.0,2.0,1.0,0.0,0.0,0.341544508934021,0.5977375954389571,5.0,1.6223711222410202,1.0
1656,2021,16820,8828,Ivan Ilic,h,MC,402.0,1.0,2.0,1.0,1.0,0.0,0.341544508934021,0.7081830799579619,5.0,1.232816606760025,0.0
1847,2021,16831,8828,Ivan Ilic,a,MC,492.0,1.0,3.0,1.0,1.0,0.0,0.341544508934021,1.1324897110462187,6.0,1.6571232378482819,1.0
2223,2021,16839,8828,Ivan Ilic,h,MC,582.0,1.0,3.0,2.0,1.0,0.0,0.4235328584909439,1.1894308812916277,6.0,1.9600294567644596,0.0
2446,2021,16854,8828,Ivan Ilic,a,Sub,664.0,1.0,3.0,4.0,1.0,0.0,1.1920417696237564,1.2435232959687708,6.0,4.31964860484004,0.0
3340,2021,16892,8828,Ivan Ilic,a,MC,680.0,1.0,3.0,4.0,2.0,0.0,1.1920417696237564,1.2435232959687708,6.0,3.81964860484004,0.0
3572,2021,16900,8828,Ivan Ilic,h,MC,770.0,1.0,3.0,5.0,2.0,0.0,1.2867097109556198,1.2435232959687708,6.0,4.10365242883563,0.0
3914,2021,16915,8828,Ivan Ilic,a,AMC,848.0,1.0,3.0,5.0,2.0,0.0,1.2867097109556198,1.2435232959687708,6.0,4.10365242883563,0.0
4148,2021,16918,8828,Ivan Ilic,h,MC,928.0,1.0,3.0,7.0,2.0,0.0,1.3485268466174603,1.3088985569775102,6.0,4.354479096829891,0.0
4496,2021,16935,8828,Ivan Ilic,a,MC,988.0,1.0,3.0,7.0,2.0,0.0,1.3485268466174603,1.3388691190630195,6.0,4.3844496589154005,0.0
4633,2021,16938,8828,Ivan Ilic,h,MC,1076.0,1.0,3.0,7.0,2.0,0.0,1.3485268466174603,1.3388691190630195,6.0,4.3844496589154005,0.0
4815,2021,16955,8828,Ivan Ilic,a,MC,1166.0,1.0,3.0,7.0,3.0,0.0,1.3485268466174603,1.3388691190630195,6.0,3.8844496589154005,0.0
5043,2021,16959,8828,Ivan Ilic,h,MC,1256.0,1.0,3.0,8.0,3.0,0.0,1.3736193720251322,1.3388691190630195,6.0,3.9597272351384163,0.0
