,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
603,2021,16778,1210,Keita,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,2021,16791,1210,Keita,a,FW,67.0,0.0,0.0,1.0,0.0,0.0,0.1038703471422195,0.0,0.0,0.3116110414266586,0.0
1143,2021,16798,1210,Keita,h,FW,143.0,1.0,0.0,4.0,0.0,0.0,1.3766865283250806,0.0,3.0,4.130059584975243,3.0
1497,2021,16815,1210,Keita,a,Sub,233.0,1.0,0.0,7.0,0.0,0.0,1.5924103409051893,0.0123473489657044,3.0,4.789578371681273,0.0
1534,2021,16818,1210,Keita,h,FW,255.0,1.0,0.0,7.0,0.0,0.0,1.5924103409051893,0.0123473489657044,3.0,4.789578371681273,0.0
1863,2021,16826,1210,Keita,h,FW,322.0,2.0,0.0,8.0,0.0,0.0,2.064205005764961,0.0123473489657044,6.0,6.204962366260588,3.0
2210,2021,16838,1210,Keita,a,FW,411.0,2.0,1.0,10.0,0.0,0.0,2.303581669926643,0.5514917457476258,7.0,7.462236755527556,1.0
3124,2021,16884,1210,Keita,a,AML,471.0,2.0,1.0,10.0,1.0,0.0,2.303581669926643,0.6338073471561074,7.0,7.0445523569360375,0.0
3280,2021,16886,1210,Keita,h,FW,555.0,3.0,1.0,11.0,1.0,0.0,2.352369405329227,0.6338073471561074,10.0,7.19091556314379,3.0
3586,2021,16900,1210,Keita,a,FW,642.0,3.0,1.0,13.0,1.0,0.0,2.532324723899364,0.7166779646649957,10.0,7.813652136363089,0.0
4005,2021,16907,1210,Keita,h,FW,716.0,3.0,1.0,14.0,2.0,0.0,2.5481100324541326,0.7879539811983703,10.0,7.43228407856077,0.0
4243,2021,16919,1210,Keita,a,FW,780.0,3.0,1.0,15.0,2.0,0.0,2.6062848586589094,0.7879539811983703,10.0,7.6068085571751,0.0
4388,2021,16928,1210,Keita,h,Sub,850.0,3.0,1.0,15.0,2.0,0.0,2.6062848586589094,0.8364801676943896,10.0,7.655334743671119,0.0
