,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
367,2021,16767,7006,Lautaro Martínez,a,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,2021,16783,7006,Lautaro Martínez,a,FW,75.0,1.0,0.0,5.0,1.0,0.0,1.2809182405471802,0.0,2.5,3.3427547216415405,2.5
1009,2021,16789,7006,Lautaro Martínez,h,FW,139.0,2.0,0.0,7.0,1.0,0.0,1.818142294883728,0.0,5.5,4.954426884651184,3.0
1341,2021,16799,7006,Lautaro Martínez,a,FW,206.0,3.0,0.0,10.0,1.0,0.0,3.2094544172286987,0.0646422430872917,8.5,9.193005494773388,3.0
1608,2021,16808,7006,Lautaro Martínez,h,FW,290.0,3.0,0.0,15.0,1.0,0.0,3.9081060886383057,0.0646422430872917,8.5,11.288960509002209,0.0
1997,2021,16824,7006,Lautaro Martínez,a,FW,371.0,4.0,0.0,20.0,1.0,0.0,5.020142078399658,0.0646422430872917,11.5,14.625068478286266,3.0
2246,2021,16830,7006,Lautaro Martínez,a,Sub,460.0,5.0,0.0,21.0,1.0,0.0,5.781440913677216,0.1623418927192687,14.5,17.006664633750916,3.0
2779,2021,16840,7006,Lautaro Martínez,h,FW,474.0,5.0,0.0,22.0,2.0,0.0,5.8099026549607515,0.1623418927192687,14.0,16.592049857601523,-0.5
3041,2021,16847,7006,Lautaro Martínez,a,FW,549.0,5.0,0.0,22.0,2.0,0.0,5.8099026549607515,0.1989613883197306,14.0,16.628669353201985,0.0
3216,2021,16861,7006,Lautaro Martínez,h,Sub,633.0,5.0,1.0,26.0,2.0,0.0,6.385617719963193,0.6655998043715952,15.0,18.822452964261174,1.0
3723,2021,16870,7006,Lautaro Martínez,a,FW,642.0,5.0,1.0,26.0,2.0,0.0,6.385617719963193,0.6655998043715952,15.0,18.822452964261174,0.0
3921,2021,16881,7006,Lautaro Martínez,h,FW,727.0,5.0,1.0,30.0,2.0,0.0,7.287289844825864,0.6655998043715952,15.0,21.527469338849187,0.0
4180,2021,16895,7006,Lautaro Martínez,a,Sub,803.0,6.0,1.0,36.0,2.0,0.0,8.239413367584348,0.6655998043715952,18.0,24.38383990712464,3.0
4505,2021,16901,7006,Lautaro Martínez,h,FW,835.0,7.0,1.0,40.0,2.0,0.0,9.37009965069592,0.7271298915147779,21.0,27.837428843602538,3.0
5220,2021,16919,7006,Lautaro Martínez,h,FW,909.0,8.0,2.0,46.0,3.0,0.0,10.427410112693906,1.2549688369035719,24.5,31.03719917498529,3.5
5331,2021,16932,7006,Lautaro Martínez,a,Sub,981.0,10.0,2.0,50.0,4.0,0.0,11.930159317329526,1.4456353932619093,30.0,35.23611334525049,5.5
5748,2021,16939,7006,Lautaro Martínez,h,FW,1015.0,11.0,2.0,54.0,4.0,0.0,12.647466169670224,1.5718477219343183,33.0,37.51424623094499,3.0
6258,2021,16960,7006,Lautaro Martínez,h,FW,1084.0,11.0,2.0,56.0,4.0,0.0,13.032483654096723,1.6915444508194921,33.0,38.78899541310966,0.0
6545,2021,16966,7006,Lautaro Martínez,a,Sub,1158.0,11.0,2.0,57.0,4.0,0.0,13.381987707689404,2.159135289490223,33.0,40.305098412558436,0.0
