,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
230,2021,16763,1471,Lorenzo Pellegrini,h,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,2021,16775,1471,Lorenzo Pellegrini,a,AMC,87.0,0.0,0.0,1.0,1.0,0.0,0.0834833160042762,0.6362394690513611,-0.5,0.3866894170641899,-0.5
883,2021,16782,1471,Lorenzo Pellegrini,h,AMC,177.0,2.0,0.0,6.0,1.0,0.0,0.2546298429369925,0.655742598697543,5.5,0.9196321275085211,6.0
1152,2021,16788,1471,Lorenzo Pellegrini,a,AMC,267.0,2.0,1.0,10.0,1.0,0.0,0.6262710019946096,1.3247707020491362,6.5,2.7035837080329657,1.0
1546,2021,16801,1471,Lorenzo Pellegrini,h,AMC,357.0,3.0,1.0,14.0,1.0,0.0,0.9275863692164419,1.4291067477315664,9.5,3.7118658553808928,3.0
2133,2021,16821,1471,Lorenzo Pellegrini,h,AMC,447.0,3.0,1.0,17.0,1.0,1.0,1.0577182844281194,1.4612243603914976,9.0,3.6343792136758566,-0.5
2458,2021,16829,1471,Lorenzo Pellegrini,a,AMC,537.0,4.0,1.0,23.0,1.0,1.0,1.506770350039005,1.6358698587864637,12.0,5.15618090890348,3.0
2750,2021,16841,1471,Lorenzo Pellegrini,h,AMC,627.0,4.0,1.0,25.0,1.0,1.0,1.5541103817522524,1.835511414334178,12.0,5.497842559590936,0.0
3009,2021,16846,1471,Lorenzo Pellegrini,a,AMC,717.0,4.0,1.0,29.0,1.0,1.0,2.015894535928964,2.4073815625160933,12.0,7.455065170302988,0.0
3370,2021,16862,1471,Lorenzo Pellegrini,h,AMC,807.0,5.0,2.0,35.0,2.0,1.0,2.6727399267256255,2.5658358614891768,15.5,9.084055641666055,3.5
3569,2021,16875,1471,Lorenzo Pellegrini,a,AMC,897.0,5.0,2.0,40.0,2.0,1.0,2.9698455370962615,2.969054279848933,15.5,10.37859089113772,0.0
3964,2021,16879,1471,Lorenzo Pellegrini,a,MC,987.0,5.0,2.0,43.0,2.0,1.0,3.1685318239033218,3.949603436514735,15.5,11.955198908224702,0.0
4287,2021,16891,1471,Lorenzo Pellegrini,h,MC,1077.0,5.0,2.0,44.0,2.0,1.0,3.2863097749650474,4.233458457514644,15.5,12.592387782409787,0.0
5999,2021,16951,1471,Lorenzo Pellegrini,a,MC,1091.0,5.0,2.0,44.0,2.0,1.0,3.2863097749650474,4.233458457514644,15.5,12.592387782409787,0.0
6199,2021,16962,1471,Lorenzo Pellegrini,h,AMC,1167.0,5.0,3.0,46.0,2.0,1.0,3.357607770711183,4.737605391070247,16.5,13.310428703203797,1.0
